XCoord,YCoord,BASIN,SUBBASIN,BASINID,AREA_KM2
4388127.07420475,3548257.88804649, , ,NULL,387.104474
4427225.22744890,3547353.01213635, , ,NULL,940.202143
4373467.54386411,3631078.31850019, , ,NULL,41.240490
4345727.32628941,3600408.98835043, , ,NULL,23.627346
4332485.87605218,3708926.25076037, , ,NULL,6.225705
4339412.60242189,3663069.98153993, , ,NULL,2.698880
4371358.92948856,3688784.78049265, , ,NULL,7117.465054
4400090.53576624,3559415.62915888, , ,NULL,5517.719712
4635561.56686584,3569796.57722056, , ,NULL,232.637370
4322277.51972925,3593832.83371420, , ,NULL,409.340629
4427905.69681230,3637647.18907474, , ,NULL,344.033836
4319554.98839945,3667861.82163711, , ,NULL,816.602998
4252587.82022549,3745397.04424453, , ,NULL,1284.671862
4278129.20376502,3717588.93967126, , ,NULL,24.798863
5250392.79828809,4166175.40861313, , ,NULL,1580.676883
5160918.29770770,3998307.64055461, , ,NULL,220.347628
5146702.99834704,4131965.40744909, , ,NULL,2124.992408
5039320.20027080,4023310.06271258, , ,NULL,3347.469040
5079091.22102774,4032268.55462613, , ,NULL,1648.489977
5106766.19049315,3969130.84475624, , ,NULL,5544.356772
5027149.11724632,4185281.03848305, , ,NULL,1267.228624
5002867.31707650,4152143.41225889, , ,NULL,5592.935246
5211896.39308043,4241555.29697497, , ,NULL,1230.581837
5212611.09987495,4226210.19673600, , ,NULL,3065.160378
4974343.89964065,4183231.35267363, , ,NULL,1403.419864
4906956.80222519,4499614.30354912, , ,NULL,660.203336
4884874.38746815,4505921.66768494, , ,NULL,2821.978445
4927612.73432886,4314192.10724133, , ,NULL,933.340499
4910220.47070993,4333139.66747126, , ,NULL,2604.706585
5007166.01201509,4708371.33842233, , ,NULL,1293.220922
4992148.66805653,4707586.20987937, , ,NULL,4257.981948
4878858.57110860,4161136.88455029, , ,NULL,242.730653
4900114.58085316,4168125.38091701, , ,NULL,510.384252
4895750.59366053,4161348.51294799, , ,NULL,7083.441731
5018146.98304629,3674222.24403046, , ,NULL,6.750240
5016755.39996883,3649953.70860340, , ,NULL,83.009014
5007989.06994224,3707063.55605298, , ,NULL,33.143142
5025855.13305539,3634052.60399560, , ,NULL,211.595564
5024348.76874249,3652981.00656906, , ,NULL,175.085708
5010936.19737973,3683954.95930171, , ,NULL,112.896537
4630625.13974021,3438084.68872964,Bornholm Basin,Bornholm Basin,NULL,43.571767
4613664.90802388,3415931.88500426,Bornholm Basin,Bornholm Basin,NULL,406.949271
4936459.41949553,3512523.15324019,Baltic Proper,Gulf of Gdansk,NULL,302.157242
4866991.61351984,3544205.43509493,Baltic Proper,Gulf of Gdansk,NULL,111.278431
4877881.22309884,3533744.67594072,Baltic Proper,Gulf of Gdansk,NULL,286.327079
4896954.09341978,3518438.95734398,Baltic Proper,Gulf of Gdansk,NULL,711.211971
4630790.57935547,3446233.52072277,Bornholm Basin,Bornholm Basin,NULL,2.386028
4905226.18809542,3510194.94948465,Baltic Proper,Gulf of Gdansk,NULL,64.325165
4600641.86603869,3433338.04242666,Bornholm Basin,Bornholm Basin,NULL,8.916872
4878239.15403619,3544763.49638600,Baltic Proper,Gulf of Gdansk,NULL,70.250268
4935578.39458814,3519294.55748283,Baltic Proper,Gulf of Gdansk,NULL,41.389599
4861204.77641525,3552741.46073149,Baltic Proper,Gulf of Gdansk,NULL,0.115639
