Year	Denmark	Estonia	Finland	Latvia	Lithuania	Sweden	Poland	Russian Federation
1950	4268.271	1100.995	4008.294	1926.568	2567.403	7009.912	24824.018	102798.657
1951	4308.921	1113.247	4050.492	1933.991	2569.611	7073.227	25283.44	104306.139
1952	4346.182	1125.24	4096.554	1945.956	2578.047	7127.52	25764.925	105969.201
1953	4380.301	1136.904	4144.297	1961.655	2591.373	7175.667	26261.073	107729.374
1954	4411.657	1148.213	4191.979	1980.395	2608.522	7220.064	26764.864	109537.789
1955	4440.778	1159.231	4238.275	2001.57	2628.745	7262.623	27269.749	111355.221
1956	4468.346	1170.101	4282.379	2024.675	2651.625	7304.779	27769.541	113152.375
1957	4495.221	1181.019	4323.921	2049.315	2676.999	7347.479	28258.523	114909.591
1958	4522.334	1192.253	4362.913	2075.172	2704.985	7391.248	28731.444	116615.773
1959	4550.682	1204.108	4399.674	2102.004	2735.866	7436.262	29183.688	118266.782
1960	4581.101	1216.819	4434.59	2129.586	2769.866	7482.543	29611.556	119860.288
1961	4614.027	1230.499	4467.773	2157.66	2806.913	7530.181	30012.671	121390.406
1962	4649.346	1245.076	4498.817	2185.878	2846.388	7579.566	30386.276	122842.95
1963	4686.279	1260.213	4526.746	2213.803	2887.074	7631.457	30733.37	124193.394
1964	4723.629	1275.437	4550.239	2240.945	2927.38	7686.73	31056.315	125412.625
1965	4760.46	1290.396	4568.598	2266.941	2966.162	7745.673	31357.726	126483.875
1966	4796.487	1304.987	4581.115	2291.465	3002.79	7809.086	31637.766	127395.883
1967	4831.752	1319.245	4588.656	2314.5	3037.44	7875.907	31898.318	128164.764
1968	4866.068	1333.176	4594.024	2336.322	3070.69	7942.322	32146.054	128836.021
1969	4899.291	1346.818	4601.033	2357.395	3103.511	8003.185	32389.546	129472.835
1970	4931.241	1360.202	4612.366	2378.017	3136.58	8054.916	32635.557	130123.431
1971	4961.762	1373.306	4629.38	2398.376	3170.071	8095.793	32886.596	130805.201
1972	4990.546	1386.068	4651.172	2418.267	3203.628	8127.034	33143.187	131514.099
1973	5017.248	1398.471	4675.456	2437.177	3236.731	8151.598	33407.619	132250.78
1974	5041.419	1410.467	4698.779	2454.393	3268.642	8173.968	33681.72	133008.905
1975	5062.729	1422.042	4718.749	2469.436	3298.873	8197.34	33966.572	133784.384
1976	5081.267	1433.178	4734.437	2482.181	3327.257	8223.249	34261.866	134580.091
1977	5097.045	1443.889	4746.932	2492.978	3354.062	8250.695	34566.894	135402.802
1978	5109.69	1454.273	4758.252	2502.513	3379.798	8277.414	34881.38	136255.397
1979	5118.707	1464.416	4771.345	2511.735	3405.176	8300.003	35204.73	137140.562
1980	5123.945	1474.436	4788.243	2521.385	3430.759	8316.338	35535.108	138058.71
1981	5125.298	1483.873	4809.813	2531.013	3456.142	8325.493	35873.731	139002.314
1982	5123.349	1492.641	4835.1	2540.442	3481.132	8329.425	36216.709	139964.753
1983	5119.607	1501.42	4862.178	2550.927	3506.539	8332.443	36550.846	140946.861
1984	5116.058	1511.199	4888.204	2564.107	3533.478	8340.44	36858.895	141950.629
1985	5114.243	1522.397	4911.22	2580.751	3562.396	8357.652	37128.717	142971.168
1986	5114.657	1536.033	4930.341	2602.151	3594.056	8384.989	37354.265	144011.513
1987	5117.277	1551.208	4946.373	2626.899	3627.328	8421.056	37538.975	145051.663
1988	5122.441	1564.192	4961.087	2649.821	3658.49	8464.787	37691.897	146035.578
1989	5130.361	1569.971	4977.115	2663.924	3682.557	8514.206	37827.018	146890.544
1990	5141.115	1565.242	4996.222	2664.432	3696.034	8567.384	37954.553	147564.066
1991	5154.908	1548.215	5019.125	2649.152	3697.453	8625.137	38077.213	148035.898
1992	5171.65	1520.81	5044.925	2620.246	3688.1	8686.738	38191.777	148318.025
