Basin	Parameter	nYrs	1900	1901	1902	1903	1904	1905	1906	1907	1908	1909	1910	1911	1912	1913	1914	1915	1916	1917	1918	1919	1920	1921	1922	1923	1924	1925	1926	1927	1928	1929	1930	1931	1932	1933	1934	1935	1936	1937	1938	1939	1940	1941	1942	1943	1944	1945	1946	1947	1948	1949	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012
Kattegat	HEAT	1								0.879898645	0.781595161	0.730680832																																																					0.864895358	0.795115519	0.890839755	0.788754612	0.786975241	0.916155367	0.770781732	0.825522447	0.989524218	1.037523545	0.81191864	1.154349764	1.094334958	1.430797829	1.086002966	1.165993828	1.234275081	0.91051338	1.278318248	1.461968827	1.79619944	1.78604916	1.302443807	1.463358513	1.566103398	1.445431396	1.573372152	1.474805649	1.271055398	1.114169985	1.209028569	1.619439206	1.707599281	1.427849773	1.121925644	0.989804267	1.010401189	1.390273922	1.265084099	1.239784152	1.113677344	1.169809128	1.018279571	1.150869057	0.994152047	1.378254534	1.246606091	1.247311426	0.899470576	0.95909732	1.124476931
Kattegat	HEAT	5							0.830746903	0.797391546	0.797391546	0.797391546	0.756137997																																																			0.830005438	0.850283544	0.834901311	0.825316097	0.835568099	0.830701341	0.81763788	0.857791801	0.907901462	0.887054117	0.963767723	1.017530225	1.105784947	1.115480831	1.186295869	1.202280932	1.165516617	1.1350207	1.210213873	1.336254995	1.446609811	1.524995896	1.562003949	1.582830864	1.512677255	1.470141853	1.504614222	1.466153599	1.375766916	1.328486351	1.337699762	1.384258488	1.415617363	1.417168495	1.373323634	1.251516031	1.188050959	1.155497824	1.179069526	1.203844141	1.235725729	1.161326859	1.13848385	1.089357429	1.142272867	1.15763226	1.203438631	1.153158935	1.146147989	1.095392469	1.057589063	0.994348276
Danish_Straits	HEAT	1				0.972743862	0.810968807	0.72770134	0.939888232	1.050809083	0.950672479	0.913690123			1.04342375																																																						1.237745215	1.423162215	1.232161762	1.050836038	1.328595554	1.548481975	1.868187326	1.51067162	2.082587672	1.630695444	1.230177317	1.081835131	1.44420354	1.309893252	1.779395459	1.581718663	2.482990182	2.528004964	1.683288639	1.886221201	1.95473629	1.709766841	1.622584704	1.90113148	1.763921479	1.951314475	1.652900158	1.890674166	1.98514751	1.758920258	1.311274909	1.288306887	1.34029363	1.522640086	1.616072513	1.360014609	1.401385812	1.40604905	1.414610885	1.183263286	1.443170527	1.670196712	1.539581573	1.327570032	1.321992787	1.346268376	1.31530619
Danish_Straits	HEAT	5		0.972743862	0.891856334	0.837138003	0.86282556	0.900422265	0.896007988	0.916552251	0.963764979	0.971723895	0.969262117	0.978556937																																																						1.330453715	1.297689731	1.235976308	1.254500157	1.316647509	1.405652531	1.461354503	1.66770483	1.728124807	1.664463876	1.507193437	1.493899821	1.339360937	1.36910094	1.439409209	1.719640219	1.936400504	2.011079581	2.03244473	2.107048255	1.952403587	1.771319535	1.814888103	1.790428159	1.789743796	1.778370459	1.831988351	1.848791557	1.847791313	1.7197834	1.646864746	1.536788639	1.444287154	1.415717605	1.425465545	1.44808133	1.461232414	1.439626574	1.353064728	1.369695912	1.423458092	1.450164597	1.432756426	1.460502326	1.441121896	1.370143792	1.327784346	1.327855784
Arkona_Basin	HEAT	1				0.862200603	0.723358002	0.853597783	0.885414313			0.663848136																																																	0.783204851		0.963872609		0.889869044	0.934709309		0.750697666	1.092385769	1.092385769		0.886999035	1.075877122	1.214902821	1.395110076	1.038406884	1.129005613	1.537721733	1.571363931	1.36175155	1.722824541	1.505573319	1.50451905	1.44837352	2.816924455	1.977339847	1.586180689	1.713003359	1.848444145	1.821000837	1.638082052	1.410788382	1.789473684	2.012890719	1.795166936	1.889081652	1.764507742	1.568230588	1.587282112	1.333557252	1.276809184	1.494330936	1.731831793	1.538160374	1.425175577	1.64766303	1.078660852	1.339532961	1.387476803	1.653108018	1.449867406	1.580290342	1.612213409	1.477847655	1.201499024
Arkona_Basin	HEAT	5		0.862200603	0.792779302	0.813052129	0.831142675	0.831142675	0.820790033	0.800953411	0.774631225																																																		0.87353873	0.87353873	0.878982168	0.929483654	0.929483654	0.85842534	0.916915447	0.967544629	0.978489735	0.95561706	1.036911924	1.067541187	1.143222264	1.122259188	1.170660503	1.263029425	1.334321647	1.327649942	1.464533474	1.539847015	1.533206478	1.508608396	1.799642977	1.850546038	1.866667512	1.908364374	1.988378499	1.789193775	1.721342216	1.686263755	1.70155782	1.734447135	1.729280355	1.779480275	1.850224147	1.805975527	1.720853806	1.628531869	1.506077376	1.452042014	1.484762256	1.474937908	1.493261573	1.567432342	1.484298325	1.405838559	1.375701845	1.421288333	1.381729208	1.482055106	1.536591196	1.554665366	1.464343567	1.467962607	1.430520029
Bornholm_Basin	HEAT	1				0.813304569	0.68062162	0.844803425	0.943982327	0.791712771	0.913569302	0.693983493												0.686236136	0.91450678	1.133431045			0.697940953			0.658703082	0.761864717			0.890607396		0.787865326		0.716885824	0.821338756	0.81344681								0.24663878	0.655343051	1.045301473		0.919983624	0.965545906		0.965465814	1.198118907	0.931716283	1.174836655	1.121035074	0.710914277	0.75855987	0.952928211	1.109464541	0.907591572	0.929384558	1.125965045	1.127570794	1.170438951	1.245557553	0.901362246	1.235166342	1.265770471	3.029721943	0.965728614	1.428320405	1.795404868	1.730951844	1.628398692	2.11870833	2.364456463	1.478123132	3.315891629	3.436203485	2.220100545	1.819616863	2.265831875	1.93719104	2.07752746	3.298804919	2.056344831	1.723068982	2.073414622	2.034724433	2.25301842	1.725221195	1.676193075	1.560340582	1.61271814	1.472391084	1.770503253	2.514790579	1.744785456	1.496394002	1.692662622	2.759625759	1.927697783	1.820957818	1.89096434	1.651596547	2.052674719	1.74825684	1.538567475	1.510030567
Bornholm_Basin	HEAT	5		0.813304569	0.746963095	0.779576538	0.820677985	0.814884942	0.834937889	0.837610264	0.835811973	0.799755189	0.803776398										0.800371458	0.91139132	0.91139132	0.91139132	0.915292926	0.915685999		0.678322017	0.706169584	0.710283899	0.710283899	0.770391731	0.826236056	0.839236361	0.839236361	0.798452848	0.775363302	0.784884179	0.783890463	0.783890463	0.817392783						0.450990916	0.649094435	0.649094435	0.716816732	0.896543514	0.976943668	0.950331782	1.012278563	1.015211728	1.067534415	1.078234547	1.027324239	0.939412432	0.943654818	0.930580395	0.887891694	0.93158575	1.005066785	1.039995302	1.052190184	1.11978338	1.114178918	1.136019177	1.163659113	1.535515711	1.479549923	1.584941555	1.696989261	1.790025535	1.509760885	1.740356828	1.92758404	1.864127692	2.181115649	2.542676608	2.562955051	2.453987131	2.611528879	2.335788762	2.064053556	2.279794431	2.327140025	2.218587446	2.245832163	2.237271557	2.028114257	1.96188953	1.952514349	1.849899541	1.765498282	1.609372815	1.618429227	1.786148728	1.823037702	1.799772875	1.843827182	2.041651684	1.924233124	1.939467597	2.018381664	2.010168449	1.868778241	1.832890053	1.776411984	1.70022523	1.7123824	1.598951627
Baltic_Proper	HEAT	1		0.860134519	0.991417824	1.018148457	0.919988857	0.949935362	0.832587128	0.946055677	0.911160456	0.836717811	0.802346727	0.857581995	0.806970513	0.85083943	1.015899992							0.566705142	0.843974414	0.966810813	0.924562939	0.843726124	0.906633441	0.697086132	0.831154111	0.94380723	0.951156589	0.935195077	0.968054663	0.797476241	0.764804167	0.724172359	0.770209212	0.780985042	0.850693327	0.871958727								1.024942327	0.929080103					0.900754789	0.914664618	0.954973164	1.006726071	1.079306811	1.13732594	1.096849018	1.056723418	1.046016992	1.10007701	1.145313597	0.99291973	1.015224448	1.287933778	1.19831326	1.096416209	1.074899248	1.330099185	1.119324925	1.42519673	1.199249549	1.430524105	1.289594107	1.593977357	1.468587923	1.517310896	1.573341073	1.500263128	1.882966474	1.982581477	1.966901114	2.139700154	1.851412058	1.774529572	1.805359633	1.650317284	1.923000468	1.58541461	2.073361829	1.974051225	2.07533072	1.469519219	1.805048924	1.508496213	1.464524602	1.781246124	1.676512007	3.191419272	3.219178205	1.913262558	1.86076104	1.567726504	3.182865108	1.515635029	1.62892645	1.907364148	1.70069522	2.003637928	1.567370062	1.678484506
Baltic_Proper	HEAT	5	0.925776172	0.956566933	0.947422414	0.947925004	0.942415526	0.933343096	0.911945496	0.895291287	0.86577356	0.870772533	0.8429555	0.830891295	0.866727731	0.882822982	0.891236645	0.933369711					0.705339778	0.79249679	0.825513327	0.829155886	0.897141546	0.86776389	0.840632549	0.844481408	0.865967501	0.871679828	0.925873534	0.91913796	0.883337347	0.837940501	0.804943329	0.767529404	0.778172822	0.799603734	0.818461577	0.834545699	0.861326027						0.977011215	0.977011215	0.977011215	0.977011215			0.907709704	0.923464191	0.944279661	0.971285091	1.018599321	1.055036201	1.075386251	1.083244436	1.087398475	1.088996007	1.068210149	1.059910355	1.108293713	1.127940963	1.118161485	1.134557388	1.197532336	1.163810565	1.209187259	1.229753927	1.300878899	1.292777883	1.38770837	1.396386608	1.459998878	1.488562271	1.530696076	1.588493899	1.69129261	1.781210653	1.89448247	1.964712255	1.943024875	1.907580506	1.84426374	1.800923803	1.747724313	1.807490765	1.841229083	1.926231771	1.835535521	1.879462383	1.76648926	1.664583936	1.605767016	1.647165574	1.924439644	2.266576042	2.356323633	2.372226616	2.350469516	2.348758683	2.008050048	1.951182826	1.960503448	1.987097191	1.751251755	1.761598762	1.771510373	1.737546929	1.749830832
