Year	O2debt
1850	0.504526
1851	0.548195
1852	0.42549
1853	0.761114
1854	0.678577
1855	0.678152
1856	0.513936
1857	0.6621
1858	0.551214
1859	0.596403
1860	0.643914
1861	0.762512
1862	0.494953
1863	0.570679
1864	0.621116
1865	0.610048
1866	0.514961
1867	0.412037
1868	0.548984
1869	0.646651
1870	0.773404
1871	0.802158
1872	0.691294
1873	0.677821
1874	0.474499
1875	0.531913
1876	0.580794
1877	0.547915
1878	0.851404
1879	0.599987
1880	0.506455
1881	0.489263
1882	0.659611
1883	0.64794
1884	0.469602
1885	0.751721
1886	0.555317
1887	0.700698
1888	0.602825
1889	0.561851
1890	0.710954
1891	0.738582
1892	0.659642
1893	0.662753
1894	0.851989
1895	0.79508
1896	0.782102
1897	0.866758
1898	0.640057
1899	0.515587
1900	0.671844
1901	0.498831
1902	0.597261
1903	0.554093
1904	0.497683
1905	0.455992
1906	0.692466
1907	0.830065
1908	0.671211
1909	0.793585
1910	0.618609
1911	0.689981
1912	0.794944
1913	0.672175
1914	0.603402
1915	0.863582
1916	0.617411
1917	0.835036
1918	0.968123
1919	0.770711
1920	0.785108
1921	0.742919
1922	0.735225
1923	0.679975
1924	0.967157
1925	0.834312
1926	0.919248
1927	0.834262
1928	0.920746
1929	0.919753
1930	0.886838
1931	0.755323
1932	0.990778
1933	1.07054
1934	1.06865
1935	1.08287
1936	1.03848
1937	1.04796
1938	0.842302
1939	0.840273
1940	1.15208
1941	0.951966
1942	0.870677
1943	1.08993
1944	0.951121
1945	1.09861
1946	1.14131
1947	1.1117
1948	1.0605
1949	1.05781
1950	1.29978
1951	1.16824
1952	1.33055
1953	1.24521
1954	1.05679
1955	0.997313
1956	0.946916
1957	1.08171
1958	1.14002
1959	1.71847
1960	1.75703
1961	1.49953
1962	1.22684
1963	1.40872
1964	1.51454
1965	1.51173
1966	1.91813
1967	1.43908
1968	1.83886
1969	1.40389
1970	1.58665
1971	1.52726
1972	1.8986
1973	1.49976
1974	2.01009
1975	1.79065
1976	2.10086
1977	2.02903
1978	1.79421
1979	2.05803
1980	2.08559
1981	2.01205
1982	2.39226
1983	2.17149
1984	2.48364
1985	2.3201
1986	2.20317
1987	2.82033
1988	2.38385
1989	2.29928
1990	2.46776
1991	2.20402
1992	2.51195
1993	2.3875
1994	2.18994
1995	2.52008
1996	2.3446
1997	3.12338
1998	2.44719
1999	2.59534
2000	2.57175
2001	2.56958
2002	2.56676
2003	2.40041
2004	2.3496
2005	2.23241
2006	2.22686
2007	2.31853
2008	1.83962
2009	2.04031
2010	2.68762
2011	2.61507
2012	2.43895
2013	2.41017
2014	2.14561
2015	2.69193
2016	2.17553
2017	2.20712
2018	2.97249
2019	2.40432
2020	2.56047
2021	2.99166
2022	2.00565
2023	2.61415
2024	2.42282
2025	2.46986
2026	2.59396
2027	2.94448
2028	2.6585
2029	2.65155
2030	2.9535
2031	2.48273
2032	3.70241
2033	3.04327
2034	2.96919
2035	2.63128
2036	2.21896
2037	2.60516
2038	3.0625
2039	2.73564
2040	2.74395
2041	1.99874
2042	3.00106
2043	2.49471
2044	2.82482
2045	3.37509
2046	3.20141
2047	2.75123
2048	2.82137
2049	2.58823
2050	3.21901
2051	3.73053
2052	3.20109
2053	3.1428
2054	2.79907
2055	3.1334
2056	3.04832
2057	2.74623
2058	3.46519
2059	2.81947
2060	4.03091
2061	3.40128
2062	3.1409
2063	3.43821
2064	2.90046
2065	2.78408
2066	3.40702
2067	3.3123
2068	3.48135
2069	3.25735
2070	3.13369
2071	3.42625
2072	4.41193
2073	3.60711
2074	4.01267
2075	3.18062
2076	3.36724
2077	3.75289
2078	3.31949
2079	4.71061
2080	3.48798
2081	3.39291
2082	3.98043
2083	3.4152
2084	3.51627
2085	3.23972
2086	3.12165
2087	4.34917
2088	3.60026
2089	4.18566
2090	3.55885
2091	3.5883
2092	4.27855
2093	3.39118
2094	3.12137
2095	4.53561
2096	3.36502
2097	4.01125
2098	3.98816
2099	4.05861
2100	3.30664
2101	3.42289
2102	3.03164
2103	3.82671
2104	3.74961
2105	2.71815
2106	3.63098
2107	2.86178
2108	4.32865
2109	3.66688
2110	4.43915
2111	3.52657
2112	3.22724
2113	3.5895
2114	4.06886
2115	3.72854
2116	3.79216
2117	3.67765
2118	3.77977
2119	3.34333
2120	3.59473
2121	3.52718
2122	3.55504
2123	3.69172
2124	3.96595
2125	3.56955
2126	4.06838
2127	4.00384
2128	3.1299
2129	3.19444
2130	3.52401
2131	3.38198
2132	3.60344
2133	4.15123
2134	4.10464
2135	3.75195
2136	3.4776
2137	3.61178
2138	3.49231
2139	4.27039
2140	4.1798
2141	3.32205
2142	3.50948
2143	3.41968
2144	4.09368
