Year	Chla	Secchi	DIN	PO4
1850	0.074217383	7.215976429	2.805786929	0.050577661
1851	0.05878355	7.223824884	2.712907667	0.043384785
1852	0.070896408	7.217783504	2.762750643	0.050380505
1853	0.027576617	7.232697115	2.680324762	0.045583656
1854	0.067813317	7.219407593	2.726271024	0.051846581
1855	0.076947558	7.214449238	2.623693381	0.049459968
1856	0.068992175	7.218792958	2.543493571	0.042424441
1857	0.076597092	7.214647286	2.637438619	0.052020806
1858	0.037130275	7.231482003	2.566932643	0.051950495
1859	0.067732933	7.219449209	2.587399262	0.056814301
1860	0.035560117	7.231804563	2.652322738	0.056339882
1861	0.068205025	7.219204256	2.578808786	0.052867043
1862	0.101638717	7.199270181	2.460503643	0.053742204
1863	0.071895483	7.217245947	2.361391048	0.049389613
1864	0.083142267	7.210857467	2.455758429	0.052239516
1865	0.104016908	7.197702268	2.426010238	0.051079882
1866	0.069286292	7.218638368	2.356385786	0.052731645
1867	0.090438658	7.206426788	2.4709355	0.057793925
1868	0.086638183	7.208759768	2.441260214	0.052163559
1869	0.0771813	7.214316829	2.351891738	0.052850667
1870	0.0415044	7.230379296	2.384525214	0.052943774
1871	0.070494667	7.217998142	2.406879405	0.053058462
1872	0.033243583	7.232200491	2.401300548	0.054025419
1873	0.075732592	7.215133318	2.469487071	0.05793557
1874	0.0980168	7.201627125	2.4094205	0.058130151
1875	0.079630775	7.212914172	2.388158405	0.053972043
1876	0.068102183	7.219257728	2.387111381	0.047915473
1877	0.078862758	7.213356889	2.438653071	0.055108204
1878	0.045791842	7.229045318	2.455279286	0.060856269
1879	0.087886167	7.207999511	2.485802452	0.05979472
1880	0.047008325	7.228626769	2.40765131	0.058035914
1881	0.066764367	7.219947643	2.421835143	0.05291786
1882	0.051701767	7.226865212	2.433571595	0.053070237
1883	0.080193575	7.212588093	2.496282119	0.052062161
1884	0.092015933	7.205443442	2.491934571	0.056568129
1885	0.090054708	7.206664849	2.404413595	0.054321032
1886	0.080895792	7.212179303	2.412721095	0.051707344
1887	0.083436617	7.210682719	2.3875125	0.050772118
1888	0.0741776	7.215998412	2.446028762	0.051917312
1889	0.056544192	7.224831117	2.456695452	0.053972731
1890	0.027810358	7.232691807	2.525161357	0.060077613
1891	0.089985408	7.206707762	2.558041595	0.057584484
1892	0.065989933	7.220342109	2.472308238	0.058947624
1893	0.084700408	7.209928469	2.495442286	0.057180333
1894	0.044701417	7.229406048	2.443719262	0.053347624
1895	0.0672231	7.219712271	2.43717719	0.048966409
1896	0.072170233	7.217097185	2.448400595	0.050309828
1897	0.038271975	7.231222016	2.547335	0.053125387
1898	0.030642617	7.232518833	2.517148976	0.051956301
1899	0.082570017	7.21119618	2.537989143	0.053125387
1900	0.080973783	7.212133769	2.544257667	0.052755323
1901	0.080546492	7.212382912	2.556832524	0.051590559
1902	0.073076033	7.216603941	2.519261524	0.05165929
1903	0.080252842	7.212553674	2.578203262	0.051752108
1904	0.100131617	7.200255567	2.472372619	0.05286714
1905	0.059229567	7.223619885	2.419099167	0.052913269
1906	0.045989767	7.228978359	2.500618714	0.058400527
1907	0.0566118	7.224801315	2.515412595	0.056660301
1908	0.075976658	7.214996464	2.390356952	0.043137871
1909	0.094613983	7.203805386	2.527834857	0.054835419
1910	0.021460425	7.23224801	2.512516643	0.049223247
1911	0.079487917	7.21299672	2.585550357	0.055477462
1912	0.102667658	7.198593733	2.664072952	0.063910118
1913	0.079036825	7.21325678	2.419860405	0.043380796
1914	0.0920304	7.205434384	2.511325262	0.050916505
1915	0.0876596	7.208137965	2.528383762	0.051503839
1916	0.080856592	7.212202179	2.4959545	0.048408882
1917	0.078218642	7.213726142	2.587766238	0.053644581
1918	0.078242033	7.213712765	2.582103833	0.053159258
1919	0.065685142	7.22049635	2.631456262	0.050658075
1920	0.0285572	7.232665317	2.678732167	0.05371814
1921	0.030027492	7.232572691	2.681526405	0.049904602
1922	0.059472467	7.22350762	2.696908476	0.049557032
1923	0.105029808	7.197029792	2.843170786	0.058045161
1924	0.081002017	7.212117279	2.899208667	0.056846366
1925	0.0879893	7.207936423	2.943743381	0.05423857
1926	0.069388608	7.218584474	2.930767476	0.052989194
1927	0.083858075	7.210431899	2.919616667	0.05195328
1928	0.095993625	7.202926598	3.099337857	0.055798645
1929	0.086906983	7.208596512	3.059993476	0.056460097
1930	0.035130492	7.231885417	3.080910214	0.05652314
1931	0.053209858	7.226253743	3.15590081	0.05902371
1932	0.071997217	7.217190911	3.111543357	0.052223183
1933	0.069794375	7.218370164	3.232974786	0.051658226
1934	0.034645217	7.231972768	3.305984095	0.054587946
1935	0.102771083	7.198525576	3.417344024	0.057417677
1936	0.030674058	7.23251585	3.305995024	0.04902414
1937	0.032940775	7.232244718	3.440667952	0.056950935
1938	0.088774525	7.207454816	3.538548714	0.057442903
1939	0.045001075	7.229308311	3.523051286	0.055814699
1940	0.080527708	7.212393846	3.543827905	0.054748527
1941	0.103245625	7.198212474	3.538590214	0.056459892
1942	0.08848315	7.20763379	3.459491143	0.053307634
1943	0.054203217	7.225839831	3.404926286	0.053056086
1944	0.093556925	7.204474549	3.4194785	0.055943258
1945	0.088160217	7.207831786	3.516371833	0.062352097
1946	0.083813858	7.210458247	3.556722857	0.060109376
1947	0.041237467	7.230454521	3.579214881	0.062180591
1948	0.041172192	7.230472768	3.641645143	0.065809237
1949	0.077014233	7.214411494	3.601173238	0.066594215
1950	0.103568092	7.197999359	3.541068548	0.058165677
1951	0.068166117	7.219224494	3.660231952	0.065414022
1952	0.067171767	7.219738672	3.506991738	0.064504495
1953	0.071081383	7.217684382	3.464237429	0.064216054
1954	0.049420058	7.22774948	3.691203524	0.078823129
1955	0.125924342	7.182614266	3.660876952	0.071781366
1956	0.128631183	7.18068069	3.650061976	0.066515323
1957	0.137209625	7.174468819	3.644183167	0.071584591
1958	0.059872167	7.22332194	3.802855071	0.075097376
1959	0.061280217	7.222658643	3.945719381	0.078726957
1960	0.062984192	7.221837427	4.074314429	0.084357548
1961	0.104959808	7.197076354	4.051041857	0.077398269
1962	0.06977145	7.218382297	3.99960481	0.07748372
1963	0.128695933	7.180634275	4.028464929	0.073698441
1964	0.094273142	7.204021551	4.128146619	0.081968505
