Year	O2debt
1850	0.183417
1851	0.298864
1852	0.366719
1853	0.472542
1854	0.455403
1855	0.432012
1856	0.455091
1857	0.482667
1858	0.494005
1859	0.471143
1860	0.434137
1861	0.524601
1862	0.557989
1863	0.54292
1864	0.512362
1865	0.520881
1866	0.515608
1867	0.510896
1868	0.528301
1869	0.581197
1870	0.533586
1871	0.538696
1872	0.578059
1873	0.543646
1874	0.470365
1875	0.521668
1876	0.585102
1877	0.632578
1878	0.490929
1879	0.434689
1880	0.51145
1881	0.506396
1882	0.480074
1883	0.532329
1884	0.519359
1885	0.509585
1886	0.512694
1887	0.502005
1888	0.491312
1889	0.484464
1890	0.516061
1891	0.573727
1892	0.569056
1893	0.557516
1894	0.546129
1895	0.517869
1896	0.474515
1897	0.482134
1898	0.469477
1899	0.474563
1900	0.449157
1901	0.536343
1902	0.584167
1903	0.550211
1904	0.594268
1905	0.63319
1906	0.512594
1907	0.468473
1908	0.596262
1909	0.538867
1910	0.579374
1911	0.594303
1912	0.492118
1913	0.534215
1914	0.533591
1915	0.482696
1916	0.463723
1917	0.452198
1918	0.503357
1919	0.490179
1920	0.504319
1921	0.545942
1922	0.561111
1923	0.550048
1924	0.500448
1925	0.62406
1926	0.677001
1927	0.66987
1928	0.684776
1929	0.531369
1930	0.459031
1931	0.406417
1932	0.471551
1933	0.485664
1934	0.597183
1935	0.558899
1936	0.619799
1937	0.576524
1938	0.544287
1939	0.517547
1940	0.52477
1941	0.532073
1942	0.484119
1943	0.479618
1944	0.530503
1945	0.569294
1946	0.593568
1947	0.505617
1948	0.519388
1949	0.4613
1950	0.499025
1951	0.512148
1952	0.620984
1953	0.78587
1954	0.694992
1955	0.664353
1956	0.798365
1957	0.802947
1958	0.817664
1959	0.770766
1960	0.624716
1961	0.705555
1962	0.861288
1963	0.839545
1964	0.792957
1965	0.719682
1966	0.801919
1967	0.770814
1968	0.876259
1969	0.981697
1970	0.84308
1971	0.792794
1972	0.796676
1973	0.73969
1974	0.733072
1975	0.797937
1976	0.783432
1977	0.84431
1978	0.951388
1979	0.945466
1980	0.941671
1981	0.976377
1982	1.05637
1983	1.07538
1984	1.08949
1985	1.14157
1986	1.20352
1987	1.21479
1988	1.22488
1989	1.18101
1990	1.06455
1991	1.00726
1992	0.932488
1993	0.973794
1994	1.06207
1995	0.99807
1996	1.10209
1997	1.13809
1998	1.12865
1999	1.17945
2000	1.21888
2001	1.29597
2002	1.37723
2003	1.32594
2004	1.04696
2005	0.998916
2006	1.03144
2007	0.931739
2008	1.02041
2009	0.990383
2010	1.02735
2011	1.03325
2012	1.00276
2013	1.03006
2014	1.01744
2015	1.01744
2016	1.04241
2017	1.06103
2018	1.00362
2019	0.874964
2020	0.869484
2021	0.887381
2022	1.03795
2023	1.15055
2024	1.12177
2025	1.03135
2026	1.05135
2027	0.969047
2028	1.0491
2029	1.21092
2030	1.22365
2031	1.18548
2032	1.1734
2033	1.21088
2034	1.22244
2035	1.14522
2036	1.0087
2037	0.91852
2038	1.01361
2039	1.23036
2040	1.3303
2041	1.39579
2042	1.43278
2043	1.3827
2044	1.16947
2045	1.13913
2046	1.22736
2047	1.22822
2048	1.07462
2049	0.994138
2050	1.01115
2051	1.05382
2052	1.14966
2053	1.20487
2054	1.26717
2055	1.31792
2056	1.41766
2057	1.30925
2058	1.15731
2059	1.13864
2060	1.07733
2061	1.12463
2062	1.07611
2063	1.10579
2064	1.09459
2065	1.07929
2066	1.03661
2067	1.08864
2068	1.13591
2069	1.22096
2070	1.13342
2071	1.18476
2072	1.05379
2073	1.05127
2074	1.09163
2075	1.18814
2076	1.22258
2077	1.29013
2078	1.41329
2079	1.44235
2080	1.5135
2081	1.47424
2082	1.20886
2083	1.32446
2084	1.36151
2085	1.19542
2086	1.26384
2087	1.36009
2088	1.44676
2089	1.37572
2090	1.27461
2091	1.2138
2092	1.3271
2093	1.47568
2094	1.54573
2095	1.44981
2096	1.34401
2097	1.41897
2098	1.47449
2099	1.37435
2100	1.41857
2101	1.32665
2102	1.26843
2103	1.25085
2104	1.20202
2105	1.28562
2106	1.29451
2107	1.41972
2108	1.33646
2109	1.28524
2110	1.08681
2111	1.24602
2112	1.22595
2113	1.46032
2114	1.64741
2115	1.63435
2116	1.53838
2117	1.54993
2118	1.52836
2119	1.49047
2120	1.2425
2121	1.17451
2122	1.154
2123	1.14678
2124	1.20984
2125	1.51747
2126	1.57628
2127	1.40774
2128	1.28052
2129	1.23801
2130	1.13867
2131	1.21912
2132	1.21119
2133	1.31
2134	1.42231
2135	1.50076
2136	1.59062
2137	1.45469
2138	1.28539
2139	1.29601
2140	1.34923
2141	1.2538
2142	1.38246
2143	1.39795
2144	1.42585
2145	1.28044
2146	1.12815
2147	1.17612
2148	1.23238
2149	1.21007
2150	1.35053
2151	1.52483
2152	1.46561
2153	1.34912
2154	1.40423
2155	1.19765
2156	1.37799
2157	1.45108
2158	1.28969
2159	1.36545
2160	1.25135
2161	1.32274
2162	1.38899
2163	1.34027
2164	1.20762
2165	1.11776
2166	1.2778
2167	1.35546
2168	1.34923
2169	1.35492
2170	1.37493
2171	1.34992
2172	1.41858
2173	1.35169
2174	1.33556
2175	1.43547
2176	1.3899
2177	1.55446
2178	1.53504
2179	1.51343
2180	1.61302
2181	1.55354
2182	1.44104
2183	1.3391
2184	1.23481
2185	1.50533
2186	1.59936
2187	1.66488
2188	1.45455
2189	1.39227
2190	1.41202
2191	1.43069
2192	1.45145
2193	1.40194
2194	1.47307
2195	1.35947
2196	1.39191
2197	1.38907
2198	1.33272
2199	1.24549
2200	1.2665
