Year	O2debt
1850	2.93706
1851	2.77166
1852	3.22609
1853	2.96417
1854	2.64291
1855	3.18029
1856	2.93536
1857	3.03353
1858	2.47859
1859	2.90396
1860	3.54277
1861	2.70568
1862	2.91559
1863	2.48511
1864	2.76287
1865	3.24979
1866	3.49803
1867	3.1712
1868	3.07595
1869	2.70376
1870	3.59654
1871	3.50389
1872	3.20974
1873	2.9448
1874	3.14413
1875	3.30513
1876	2.20427
1877	3.3342
1878	3.92015
1879	3.54225
1880	2.70993
1881	2.87106
1882	2.64426
1883	2.63377
1884	3.10114
1885	2.93382
1886	3.08262
1887	2.71331
1888	3.6837
1889	3.16766
1890	2.83901
1891	3.02789
1892	3.04394
1893	3.29289
1894	3.21738
1895	2.82856
1896	2.89293
1897	2.46485
1898	2.50862
1899	3.70836
1900	3.77643
1901	3.03297
1902	3.30633
1903	2.83544
1904	2.93199
1905	2.77916
1906	2.65665
1907	2.53877
1908	3.12288
1909	3.26762
1910	3.45883
1911	2.69272
1912	3.04128
1913	3.2888
1914	3.01286
1915	2.97888
1916	2.98247
1917	3.8656
1918	4.14404
1919	3.55972
1920	2.74518
1921	2.12794
1922	2.80235
1923	3.70454
1924	5.28461
1925	3.95228
1926	3.58053
1927	3.49834
1928	3.34467
1929	3.79706
1930	4.11962
1931	4.30937
1932	3.71574
1933	3.39968
1934	2.85707
1935	3.04641
1936	4.73019
1937	4.13591
1938	3.29848
1939	3.85307
1940	3.9175
1941	4.29825
1942	3.45526
1943	3.07133
1944	3.52638
1945	3.97883
1946	3.15083
1947	3.29564
1948	3.75697
1949	3.83355
1950	3.38535
1951	4.9066
1952	4.61542
1953	4.80779
1954	4.7865
1955	5.43622
1956	3.42431
1957	4.04108
1958	5.31407
1959	4.32099
1960	3.9832
1961	3.94772
1962	5.82049
1963	6.73072
1964	5.64813
1965	4.80479
1966	5.1981
1967	4.45562
1968	5.39929
1969	3.77161
1970	5.06606
1971	7.43881
1972	5.8112
1973	5.72966
1974	5.82875
1975	9.00827
1976	5.61614
1977	6.11569
1978	8.53113
1979	9.12117
1980	8.43566
1981	9.87744
1982	11.6138
1983	9.4184
1984	6.48442
1985	7.39752
1986	7.87174
1987	7.57101
1988	9.19243
1989	7.80787
1990	8.31069
1991	6.98029
1992	6.6266
1993	7.12635
1994	6.82993
1995	7.20685
1996	7.22872
1997	7.5115
1998	10.0596
1999	10.7212
2000	11.31
2001	14.1459
2002	11.1158
2003	5.83308
2004	8.59265
2005	10.8995
2006	9.22685
2007	7.10257
2008	7.41285
2009	7.71591
2010	8.36898
2011	7.21669
2012	7.23712
2013	7.38307
2014	7.63537
2015	6.84954
2016	8.83957
2017	8.09483
2018	12.2338
2019	12.1941
2020	11.1656
2021	8.20221
2022	7.88084
2023	9.07315
2024	9.55044
2025	8.00524
2026	7.12553
2027	9.00586
2028	8.19068
2029	8.10059
2030	9.00663
2031	9.65756
2032	9.695
2033	10.0622
2034	9.17858
2035	9.90216
2036	11.6987
2037	9.99946
2038	12.9259
2039	14.4757
2040	11.236
2041	9.56295
2042	9.63821
2043	8.68953
2044	12.4958
2045	16.9481
2046	15.5197
2047	10.2977
2048	7.86703
2049	9.69725
2050	8.25818
2051	8.20794
2052	9.43001
2053	12.2028
2054	13.3722
2055	9.45272
2056	11.046
2057	10.6166
2058	11.1139
2059	12.572
2060	13.8048
2061	12.3172
2062	12.4971
2063	12.9944
2064	11.5431
2065	12.9647
2066	14.7556
2067	13.1989
2068	13.425
2069	9.34922
2070	13.188
2071	12.3982
2072	13.7585
2073	13.7237
2074	12.6893
2075	13.0064
2076	12.6956
2077	12.5214
2078	14.5471
2079	15.3848
2080	11.3648
2081	13.3403
2082	14.7531
2083	16.0506
2084	17.2105
2085	12.0613
2086	14.204
2087	17.3109
2088	13.0892
2089	13.7583
2090	14.8921
2091	18.4337
2092	14.2468
2093	11.1219
2094	13.609
2095	14.9103
2096	14.7588
2097	15.911
2098	14.0322
2099	11.4302
2100	10.8274
2101	12.7568
2102	11.2169
2103	10.7456
2104	15.947
2105	11.8252
2106	11.0654
2107	11.8013
2108	14.6465
2109	10.4441
2110	12.284
2111	13.9222
2112	14.0308
2113	13.5396
2114	14.9221
2115	15.9262
2116	11.9862
2117	13.9708
2118	17.2016
2119	18.2938
2120	12.8039
2121	12.2681
2122	11.6292
2123	10.7929
2124	13.7747
2125	14.5637
2126	10.2192
2127	12.1866
2128	11.419
2129	13.9139
2130	14.2424
2131	14.8621
2132	14.9475
2133	13.3285
2134	10.9941
2135	15.469
2136	16.8246
2137	13.616
2138	10.7255
2139	11.1268
2140	14.1558
2141	15.7186
2142	16.4701
2143	13.3917
2144	15.6087
2145	18.8538
2146	17.7197
2147	13.5499
2148	12.1203
2149	16.3921
2150	15.7346
2151	14.6234
2152	12.7059
2153	11.2038
2154	14.1962
2155	13.0507
2156	11.1425
2157	16.0071
2158	18.3781
2159	18.3344
2160	13.548
2161	13.8768
2162	15.2187
2163	12.7378
2164	15.8701
2165	12.6037
2166	13.3567
2167	14.637
2168	12.8484
2169	14.012
2170	20.0175
2171	14.6597
2172	14.8452
2173	14.0723
2174	13.5997
2175	12.8827
2176	12.3924
2177	12.1866
2178	13.3411
2179	17.1099
2180	16.5757
2181	15.0185
2182	11.4224
2183	12.5818
2184	10.6095
2185	13.971
2186	15.9184
2187	10.5268
2188	15.1615
2189	20.0694
2190	17.1765
2191	13.614
2192	11.5936
2193	13.7743
2194	11.6731
2195	12.7084
2196	14.7712
2197	15.415
2198	14.4131
2199	14.5748
2200	14.2431
