Year	O2debt
1850	0.758278
1851	0.895153
1852	0.95187
1853	0.965773
1854	1.06992
1855	1.13519
1856	1.19871
1857	1.26853
1858	1.23511
1859	1.24602
1860	1.27385
1861	1.38243
1862	1.42872
1863	1.42521
1864	1.34067
1865	1.25656
1866	1.20216
1867	1.19196
1868	1.17551
1869	1.15501
1870	1.22751
1871	1.38358
1872	1.40846
1873	1.37561
1874	1.31326
1875	1.31153
1876	1.31437
1877	1.39218
1878	1.30471
1879	1.31101
1880	1.3002
1881	1.27224
1882	1.20968
1883	1.15038
1884	1.13115
1885	1.14341
1886	1.15701
1887	1.17446
1888	1.19332
1889	1.19255
1890	1.22488
1891	1.21834
1892	1.24409
1893	1.29645
1894	1.31416
1895	1.32394
1896	1.32403
1897	1.30673
1898	1.31437
1899	1.32298
1900	1.24329
1901	1.23472
1902	1.26396
1903	1.28369
1904	1.25085
1905	1.23605
1906	1.1781
1907	1.22858
1908	1.2991
1909	1.30539
1910	1.33216
1911	1.35279
1912	1.35098
1913	1.31666
1914	1.26959
1915	1.20368
1916	1.15545
1917	1.21129
1918	1.28881
1919	1.35791
1920	1.34399
1921	1.32025
1922	1.30651
1923	1.28858
1924	1.37608
1925	1.43749
1926	1.44861
1927	1.44633
1928	1.48604
1929	1.52889
1930	1.49268
1931	1.51066
1932	1.44884
1933	1.52844
1934	1.53679
1935	1.57518
1936	1.62947
1937	1.49416
1938	1.45312
1939	1.35761
1940	1.38089
1941	1.48749
1942	1.54433
1943	1.34142
1944	1.23757
1945	1.2334
1946	1.28123
1947	1.39554
1948	1.47346
1949	1.36382
1950	1.33831
1951	0.910561
1952	1.06457
1953	1.28311
1954	1.32052
1955	1.37296
1956	1.46294
1957	1.57421
1958	1.69888
1959	1.77058
1960	1.76979
1961	1.80105
1962	1.87084
1963	1.96478
1964	1.99874
1965	2.01074
1966	2.07778
1967	2.15936
1968	2.2303
1969	2.33
1970	2.43878
1971	2.37487
1972	2.15973
1973	2.0627
1974	1.99171
1975	2.01951
1976	1.95976
1977	1.98047
1978	2.09275
1979	2.30359
1980	2.37977
1981	2.51602
1982	2.79976
1983	2.83498
1984	2.68333
1985	2.75985
1986	2.98604
1987	3.10522
1988	3.17919
1989	3.16026
1990	3.18088
1991	3.20145
1992	2.98729
1993	2.76515
1994	2.70066
1995	2.64036
1996	2.89092
1997	2.95424
1998	2.83749
1999	2.97872
2000	2.99131
2001	3.11042
2002	3.22951
2003	3.26319
2004	3.26963
2005	3.06175
2006	3.01455
2007	2.89788
2008	2.85184
2009	2.92646
2010	3.15439
2011	3.38718
2012	3.50598
2013	3.61406
2014	3.70797
2015	3.87075
2016	3.89804
2017	3.6978
2018	3.58823
2019	3.38457
2020	3.33956
2021	3.18917
2022	3.07825
2023	3.04869
2024	3.05744
2025	2.9747
2026	2.78102
2027	2.63713
2028	1.47316
2029	1.89118
2030	2.20436
2031	2.46424
2032	2.4975
2033	2.69463
2034	2.95539
2035	3.06845
2036	3.00207
2037	3.017
2038	3.09291
2039	3.2479
2040	3.38303
2041	3.03036
2042	2.92507
2043	2.92598
2044	2.942
2045	3.18737
2046	3.56169
2047	3.76641
2048	3.80823
2049	3.72356
2050	3.7674
2051	3.88128
2052	3.82135
2053	4.02091
2054	4.14777
2055	4.10504
2056	4.04963
2057	3.7582
2058	3.46195
2059	3.15121
2060	2.91066
2061	2.96743
2062	3.04152
2063	3.23622
2064	3.35103
2065	3.14638
2066	1.94225
2067	2.31772
2068	2.51384
2069	2.83303
2070	2.95724
2071	3.20179
2072	3.11844
2073	3.14158
2074	3.30462
2075	3.50419
2076	3.42013
2077	3.50693
2078	3.5042
2079	3.63589
2080	3.69851
2081	3.70632
2082	3.67602
2083	3.67146
2084	3.79651
2085	3.80168
2086	3.73782
2087	3.93063
2088	4.14089
2089	4.31385
2090	4.23331
2091	4.09331
2092	4.06892
2093	4.01019
2094	3.92607
2095	3.82697
2096	3.83202
2097	3.84087
2098	3.99308
2099	4.02003
2100	3.92887
2101	3.98985
2102	4.01
2103	4.02838
2104	3.97698
2105	3.8729
2106	3.49195
2107	3.55838
2108	3.54643
2109	3.65526
2110	3.773
2111	3.84436
2112	1.93921
2113	2.40356
2114	2.82523
2115	3.01055
2116	2.96538
2117	2.37378
2118	2.82136
2119	3.11638
2120	3.10699
2121	3.23176
2122	3.27977
2123	3.28101
2124	3.35739
2125	3.48032
2126	3.58915
2127	3.57295
2128	3.62932
2129	3.6078
2130	3.52667
2131	3.79044
2132	3.86979
2133	4.05529
2134	4.14231
2135	4.18847
2136	4.27763
2137	4.34517
2138	4.51541
2139	4.47201
2140	4.43516
2141	4.18831
2142	4.10703
2143	4.26139
2144	4.29816
2145	4.02917
2146	3.73907
2147	3.52431
2148	3.57304
2149	3.397
2150	3.63403
2151	3.84292
2152	3.91634
2153	3.9174
2154	3.95548
2155	3.9447
2156	3.88798
2157	3.80156
2158	3.83319
2159	3.86232
2160	3.72445
2161	3.70575
2162	3.71141
2163	3.80514
2164	3.67507
2165	3.6689
2166	3.83732
2167	3.96171
2168	3.96161
2169	3.69354
2170	3.6986
2171	3.69386
2172	4.04248
2173	3.93408
2174	2.03971
2175	2.42151
2176	2.65821
2177	3.08655
2178	3.32839
2179	3.55251
2180	3.83486
2181	3.9119
2182	3.97669
2183	4.10754
2184	2.02414
2185	2.62078
2186	2.92008
2187	3.07326
2188	3.14393
2189	3.3148
2190	3.37828
2191	3.47644
2192	3.73739
2193	4.02921
2194	3.94213
2195	3.78835
2196	3.85859
2197	3.81586
2198	3.76315
2199	3.73768
2200	3.79871
