Year	O2debt
1850	3.28372
1851	2.4496
1852	3.52974
1853	3.40977
1854	4.21472
1855	3.25374
1856	3.9938
1857	2.73305
1858	2.16192
1859	2.51862
1860	3.90486
1861	4.75319
1862	3.70872
1863	2.12866
1864	2.40076
1865	4.16161
1866	1.89778
1867	2.69226
1868	3.60409
1869	2.94935
1870	3.47844
1871	4.51847
1872	4.48369
1873	4.29089
1874	2.09131
1875	4.22726
1876	4.77128
1877	5.66512
1878	4.85723
1879	5.15326
1880	4.20983
1881	4.66446
1882	2.56178
1883	4.69371
1884	4.43575
1885	3.97707
1886	4.44356
1887	3.15091
1888	4.54604
1889	4.4511
1890	3.80008
1891	4.26882
1892	4.10705
1893	4.81832
1894	3.52966
1895	4.66612
1896	3.60927
1897	4.54499
1898	3.87007
1899	4.13928
1900	4.53866
1901	4.69855
1902	4.91228
1903	5.04097
1904	4.57412
1905	3.93465
1906	3.04164
1907	4.79771
1908	4.93699
1909	4.75524
1910	4.68574
1911	4.64542
1912	4.65218
1913	3.92959
1914	2.06561
1915	2.11158
1916	4.34513
1917	5.64445
1918	5.00541
1919	4.45332
1920	4.34717
1921	4.73426
1922	4.96959
1923	4.11626
1924	5.5275
1925	3.88836
1926	4.76496
1927	3.96704
1928	5.2259
1929	6.62277
1930	4.5126
1931	5.14949
1932	2.39094
1933	3.13481
1934	3.1521
1935	3.00279
1936	3.2439
1937	3.5358
1938	4.12671
1939	3.96607
1940	6.4307
1941	7.36852
1942	8.3495
1943	6.18815
1944	4.99448
1945	5.6722
1946	5.78236
1947	7.22892
1948	7.71156
1949	4.35318
1950	5.63741
1951	6.91442
1952	6.39053
1953	6.40726
1954	7.08111
1955	5.43169
1956	6.54168
1957	5.75369
1958	6.91778
1959	6.66363
1960	8.08946
1961	7.0565
1962	5.74673
1963	8.76397
1964	7.8529
1965	8.73378
1966	9.25957
1967	8.58074
1968	9.60425
1969	9.95274
1970	9.54946
1971	9.56572
1972	9.69424
1973	5.81507
1974	5.76899
1975	6.34182
1976	4.06926
1977	5.6043
1978	7.23605
1979	9.86707
1980	10.1651
1981	9.52782
1982	11.7049
1983	5.53202
1984	3.61875
1985	9.37114
1986	11.9683
1987	12.9524
1988	10.6037
1989	3.54074
1990	4.58126
1991	5.16449
1992	2.86702
1993	2.8694
1994	5.77214
1995	3.5826
1996	9.39784
1997	9.01835
1998	6.96551
1999	8.45271
2000	4.84769
2001	6.69894
2002	6.47463
2003	9.92842
2004	7.84391
2005	6.7528
2006	7.82761
2007	3.53482
2008	6.76397
2009	7.01649
2010	7.9499
2011	11.2657
2012	9.46812
2013	6.43086
2014	8.52309
2015	11.6288
2016	13.2955
2017	12.2752
2018	7.27431
2019	6.9589
2020	10.3659
2021	10.3463
2022	12.2155
2023	10.3108
2024	11.4699
2025	10.546
2026	9.70161
2027	9.28957
2028	10.7624
2029	8.12917
2030	11.547
2031	8.96825
2032	12.1478
2033	13.1576
2034	12.3522
2035	13.1599
2036	9.12325
2037	11.5609
2038	14.8369
2039	12.9388
2040	12.3213
2041	3.43382
2042	8.33296
2043	9.19008
2044	9.72812
2045	11.3491
2046	14.6545
2047	13.9109
2048	13.142
2049	15.709
2050	17.1964
2051	17.7759
2052	21.3548
2053	20.3673
2054	17.174
2055	18.6001
2056	20.4847
2057	17.103
2058	13.4126
2059	7.7966
2060	4.65038
2061	9.17138
2062	5.47013
2063	10.6649
2064	6.19754
2065	4.59735
2066	4.84311
2067	7.36294
2068	4.66513
2069	8.15973
2070	6.0076
2071	5.42756
2072	4.71029
2073	7.71899
2074	6.93959
2075	6.16743
2076	7.51019
2077	8.67104
2078	13.8458
2079	14
2080	10.1698
2081	10.9122
2082	12.1658
2083	11.0113
2084	15.2759
2085	12.6654
2086	8.4444
2087	13.1883
2088	14.135
2089	13.8475
2090	15.8227
2091	11.8059
2092	8.88367
2093	9.26385
2094	12.4736
2095	10.0757
2096	12.5623
2097	9.87326
2098	14.1354
2099	17.6323
2100	13.0848
2101	14.4281
2102	9.10904
2103	10.7139
2104	10.7805
2105	11.2588
2106	7.53031
2107	9.53001
2108	4.26474
2109	8.90813
2110	6.193
2111	12.564
2112	11.1023
2113	11.0473
2114	17.1432
2115	11.9091
2116	11.4687
2117	16.9403
2118	19.5248
2119	18.7161
2120	7.04609
2121	12.1743
2122	13.3426
2123	13.3714
2124	13.986
2125	11.7139
2126	16.9069
2127	15.9697
2128	12.8647
2129	9.28803
2130	9.27717
2131	14.082
2132	14.1754
2133	18.4544
2134	20.5998
2135	20.197
2136	18.6071
2137	20.867
2138	25.0113
2139	21.4909
2140	20.5392
2141	18.5065
2142	19.4353
2143	19.5971
2144	20.0635
2145	15.0394
2146	15.164
2147	7.8636
2148	14.6226
2149	7.8555
2150	14.2571
2151	15.823
2152	12.6685
2153	15.8533
2154	16.9926
2155	11.1329
2156	20.1802
2157	21.9789
2158	18.314
2159	19.224
2160	20.0563
2161	13.0658
2162	9.0297
2163	11.9942
2164	8.26349
2165	6.65638
2166	7.78014
2167	9.23906
2168	7.95106
2169	7.03324
2170	4.78214
2171	6.74474
2172	17.2793
2173	11.8636
2174	6.04735
2175	5.80462
2176	4.5266
2177	11.3597
2178	9.87554
2179	7.14435
2180	10.4655
2181	6.51434
2182	13.2102
2183	11.6796
2184	10.5965
2185	14.2884
2186	9.50183
2187	14.4677
2188	10.7124
2189	12.7919
2190	11.6619
2191	12.6723
2192	14.6063
2193	16.1655
2194	13.2628
2195	7.04123
2196	9.10023
2197	5.49451
2198	5.80262
2199	5.92404
2200	9.85958
