Year	O2debt
1850	1.03054
1851	0.929051
1852	0.283932
1853	0.499301
1854	0.820741
1855	1.26089
1856	0.969477
1857	0.282477
1858	0.328628
1859	0.502305
1860	1.21812
1861	0.632858
1862	0.961895
1863	0.450776
1864	0.420971
1865	0.863082
1866	0.217766
1867	0.514404
1868	0.465613
1869	0.791297
1870	0.904341
1871	1.74952
1872	0.551756
1873	0.483848
1874	0.349585
1875	0.874825
1876	1.14764
1877	1.46662
1878	0.307682
1879	0.825032
1880	0.50445
1881	1.03326
1882	0.342569
1883	0.661901
1884	0.320556
1885	0.447436
1886	0.574766
1887	0.323926
1888	1.25239
1889	1.11423
1890	0.414143
1891	0.749465
1892	0.777813
1893	0.605226
1894	0.30267
1895	1.00716
1896	0.699273
1897	0.357875
1898	0.958178
1899	0.395452
1900	0.80592
1901	0.522856
1902	0.534907
1903	0.669952
1904	0.33871
1905	0.319709
1906	0.459274
1907	0.589269
1908	0.693348
1909	0.766404
1910	0.275008
1911	0.539194
1912	0.511494
1913	0.25553
1914	0.320063
1915	0.497321
1916	0.586766
1917	0.900451
1918	0.685624
1919	0.786236
1920	0.475145
1921	0.354796
1922	0.878108
1923	0.88513
1924	1.33587
1925	0.257346
1926	0.902265
1927	0.565347
1928	0.768483
1929	0.842657
1930	0.573483
1931	0.883259
1932	0.790742
1933	0.592174
1934	0.683221
1935	0.482105
1936	0.767426
1937	0.51195
1938	0.413475
1939	0.547772
1940	1.35739
1941	1.38598
1942	1.45533
1943	0.703341
1944	0.54612
1945	1.036
1946	0.45203
1947	1.46399
1948	0.801282
1949	0.481101
1950	0.856723
1951	0.904908
1952	0.758506
1953	0.882862
1954	0.733886
1955	1.05333
1956	1.56903
1957	0.990272
1958	1.57047
1959	0.840161
1960	1.21196
1961	0.437703
1962	1.48572
1963	2.3596
1964	1.06115
1965	1.94859
1966	2.31231
1967	1.36052
1968	1.42906
1969	1.66291
1970	2.67055
1971	1.34551
1972	1.1431
1973	1.42766
1974	1.19052
1975	1.14138
1976	2.01016
1977	2.56897
1978	2.02867
1979	2.94801
1980	1.81482
1981	2.99284
1982	3.35802
1983	2.81572
1984	2.28253
1985	2.5473
1986	3.46074
1987	3.88638
1988	2.13214
1989	1.87314
1990	2.94432
1991	2.79105
1992	2.72417
1993	2.65708
1994	3.29501
1995	2.88162
1996	4.15915
1997	2.35684
1998	2.95043
1999	3.06441
2000	3.17146
2001	2.98382
2002	1.78342
2003	2.83476
2004	2.61111
2005	1.69297
2006	2.66211
2007	2.25934
2008	3.46994
2009	3.27814
2010	3.15306
2011	2.22858
2012	2.65028
2013	2.93301
2014	3.08177
2015	2.84111
2016	2.73428
2017	3.28758
2018	3.15538
2019	2.88096
2020	2.85066
2021	2.69373
2022	3.75845
2023	2.12254
2024	2.6331
2025	2.91127
2026	2.25455
2027	4.14521
2028	2.45044
2029	2.61734
2030	2.73066
2031	3.02103
2032	4.57833
2033	3.1652
2034	4.17168
2035	2.88053
2036	3.23521
2037	3.29669
2038	4.61493
2039	3.66841
2040	3.4382
2041	2.95783
2042	4.3062
2043	3.08875
2044	3.70206
2045	3.21877
2046	3.20294
2047	3.11548
2048	4.92641
2049	3.30293
2050	3.79612
2051	4.85467
2052	4.64605
2053	3.19248
2054	2.76839
2055	4.0582
2056	3.5094
2057	2.39939
2058	3.5553
2059	3.8184
2060	4.24988
2061	3.7122
2062	3.50207
2063	4.43124
2064	3.10288
2065	3.23742
2066	5.26543
2067	2.9893
2068	4.41428
2069	4.67546
2070	4.5827
2071	4.03777
2072	4.19342
2073	3.50991
2074	3.99291
2075	3.22819
2076	3.28947
2077	4.35517
2078	4.30127
2079	4.44269
2080	4.08007
2081	4.29442
2082	5.1483
2083	4.61808
2084	4.7088
2085	4.46255
2086	3.34804
2087	4.86968
2088	4.97345
2089	4.77458
2090	4.24883
2091	4.86598
2092	4.31051
2093	4.47224
2094	5.45919
2095	4.84053
2096	3.85137
2097	4.83368
2098	3.3794
2099	3.60857
2100	3.75444
2101	4.18853
2102	5.39233
2103	4.45824
2104	3.8556
2105	3.72361
2106	5.06918
2107	4.20987
2108	3.37729
2109	3.36699
2110	4.80879
2111	4.3529
2112	4.20027
2113	4.19957
2114	3.70567
2115	3.52297
2116	4.11263
2117	5.48801
2118	3.76693
2119	4.37727
2120	4.49753
2121	4.14109
2122	4.46577
2123	4.54771
2124	3.23873
2125	4.68832
2126	3.07696
2127	4.22312
2128	3.87105
2129	4.52795
2130	4.16743
2131	4.46009
2132	4.17968
2133	5.06956
2134	5.39659
2135	3.56697
2136	4.22017
2137	3.68502
2138	5.36104
2139	4.79221
2140	4.51489
2141	5.0098
2142	2.99301
2143	5.16828
2144	4.41001
2145	3.97238
2146	5.58395
2147	3.4717
2148	4.12279
2149	3.61236
2150	5.04727
2151	4.3906
2152	3.81978
2153	3.72965
2154	4.83445
2155	4.13505
2156	6.15932
2157	3.79259
2158	6.00428
2159	4.60229
2160	6.39963
2161	5.40819
2162	3.83122
2163	4.19529
2164	3.9565
2165	3.22626
2166	3.99975
2167	4.2394
2168	4.34768
2169	3.9351
2170	3.33402
2171	4.84757
2172	6.08644
2173	5.7867
2174	4.47733
2175	3.75473
2176	3.48529
2177	5.09499
2178	6.08643
2179	4.63827
2180	5.07808
2181	3.93693
2182	4.01362
2183	4.42663
2184	5.39963
2185	4.04626
2186	4.01275
2187	3.22196
2188	4.0454
2189	4.58478
2190	4.12225
2191	3.31121
2192	4.71082
2193	3.1504
2194	2.81976
2195	4.95562
2196	3.45117
2197	2.81286
2198	6.12007
2199	4.3987
2200	5.04941
