Year	O2debt
1850	5.24918
1851	5.32102
1852	5.20627
1853	5.27101
1854	5.44043
1855	5.29033
1856	5.33812
1857	5.29596
1858	5.53965
1859	5.22068
1860	5.08566
1861	5.34711
1862	5.43066
1863	5.18843
1864	4.9724
1865	4.97452
1866	4.98001
1867	4.99142
1868	4.92637
1869	5.09567
1870	5.08736
1871	5.38524
1872	5.49875
1873	5.6921
1874	5.47658
1875	5.44687
1876	5.59726
1877	5.45052
1878	5.36794
1879	5.56908
1880	5.6731
1881	5.77465
1882	5.66736
1883	5.67619
1884	5.54782
1885	5.80174
1886	5.64842
1887	5.67033
1888	5.60238
1889	5.4699
1890	5.46737
1891	5.52553
1892	5.43444
1893	5.38804
1894	5.2879
1895	5.35342
1896	5.33179
1897	5.46388
1898	5.52887
1899	5.3251
1900	5.45141
1901	5.67037
1902	5.6519
1903	5.46301
1904	5.55741
1905	5.4641
1906	5.3182
1907	5.50045
1908	5.40539
1909	5.42168
1910	5.51742
1911	5.64616
1912	5.83708
1913	5.7341
1914	5.65891
1915	5.90028
1916	5.7203
1917	5.69759
1918	5.6294
1919	5.87035
1920	5.96808
1921	5.96019
1922	5.73611
1923	5.61917
1924	5.78133
1925	5.94926
1926	5.97912
1927	6.07977
1928	6.17391
1929	6.22766
1930	6.14562
1931	5.99422
1932	5.97741
1933	6.11491
1934	6.0792
1935	6.04091
1936	6.05552
1937	6.19359
1938	6.32859
1939	6.35769
1940	6.71969
1941	6.73822
1942	6.88403
1943	6.95755
1944	6.98975
1945	6.86508
1946	6.93053
1947	7.04041
1948	7.09403
1949	6.96031
1950	7.19254
1951	7.20404
1952	7.32024
1953	7.29212
1954	7.3223
1955	7.31238
1956	7.66133
1957	7.59327
1958	7.56327
1959	7.74658
1960	7.98686
1961	8.04824
1962	7.91159
1963	8.1716
1964	8.36969
1965	8.57114
1966	8.61898
1967	8.71996
1968	8.71958
1969	9.16584
1970	9.11254
1971	9.08983
1972	9.3032
1973	9.18409
1974	9.07031
1975	9.41069
1976	9.60683
1977	9.33172
1978	9.09427
1979	9.44026
1980	9.90949
1981	10.0121
1982	10.5717
1983	11.4406
1984	11.7142
1985	11.5997
1986	11.5621
1987	11.5997
1988	11.5765
1989	11.681
1990	11.6697
1991	11.9667
1992	11.0556
1993	10.0265
1994	9.93924
1995	9.6583
1996	10.1652
1997	10.2341
1998	10.2136
1999	10.6204
2000	10.7958
2001	11.6742
2002	12.3835
2003	12.494
2004	11.5304
2005	11.3289
2006	11.8672
2007	12.2472
2008	12.0483
2009	12.0878
2010	12.4553
2011	12.7394
2012	12.7661
2013	12.5594
2014	12.7084
2015	13.0584
2016	13.0565
2017	13.3315
2018	13.6147
2019	13.9321
2020	14.1179
2021	14.0679
2022	13.5217
2023	13.2434
2024	13.032
2025	13.2805
2026	13.0525
2027	12.8588
2028	13.2179
2029	12.8236
2030	12.961
2031	12.9175
2032	13.3479
2033	13.8287
2034	14.1837
2035	14.2422
2036	14.5158
2037	15.0795
2038	15.256
2039	15.8175
2040	16.226
2041	14.6702
2042	13.9844
2043	13.6914
2044	14.0282
2045	15.1219
2046	16.6496
2047	17.5315
2048	17.2111
2049	16.3105
2050	16.1894
2051	16.088
2052	15.8175
2053	15.9697
2054	16.7338
2055	17.5069
2056	17.9334
2057	17.4662
2058	16.3798
2059	16.2658
2060	16.5018
2061	17.205
2062	16.8168
2063	17.0991
2064	17.2362
2065	16.2394
2066	16.3926
2067	16.6757
2068	16.9397
2069	17.2375
2070	15.9591
2071	15.67
2072	15.3701
2073	15.7089
2074	16.0543
2075	16.1744
2076	16.0719
2077	16.5617
2078	16.7159
2079	17.2149
2080	16.6831
2081	16.4438
2082	17.1295
2083	17.1555
2084	17.6419
2085	17.8801
2086	17.7595
2087	17.8627
2088	18.6143
2089	18.1857
2090	17.8765
2091	18.1056
2092	19.1317
2093	19.2426
2094	18.6935
2095	18.1762
2096	18.6934
2097	19.0433
2098	19.5506
2099	19.4954
2100	18.7437
2101	18.1604
2102	18.1131
2103	17.5361
2104	18.2629
2105	19.1293
2106	18.1051
2107	17.7388
2108	17.2446
2109	17.9175
2110	16.5998
2111	17.5002
2112	17.7537
2113	16.7104
2114	17.1928
2115	17.849
2116	18.84
2117	19.0783
2118	19.1896
2119	20.0775
2120	20.2544
2121	20.1197
2122	18.8173
2123	18.8239
2124	18.4618
2125	18.9231
2126	19.5435
2127	18.9766
2128	19.0518
2129	18.6781
2130	19.3719
2131	20.193
2132	19.8645
2133	20.179
2134	20.5194
2135	20.1897
2136	20.1198
2137	20.6273
2138	21.1767
2139	20.3899
2140	20.5238
2141	20.4306
2142	21.1465
2143	21.6108
2144	20.5048
2145	20.4622
2146	21.0259
2147	20.5178
2148	20.7517
2149	20.4987
2150	21.0182
2151	20.6619
2152	20.6006
2153	20.3624
2154	19.1746
2155	19.3101
2156	20.0958
2157	19.9611
2158	20.1454
2159	20.6359
2160	20.7417
2161	19.7895
2162	20.5924
2163	20.6125
2164	19.4655
2165	19.2803
2166	19.1887
2167	18.7825
2168	18.8284
2169	18.461
2170	18.9765
2171	19.8167
2172	20.4788
2173	19.066
2174	18.7133
2175	18.7164
2176	16.6892
2177	17.2802
2178	17.3741
2179	18.2212
2180	18.967
2181	19.4931
2182	19.77
2183	19.0536
2184	18.8541
2185	19.0008
2186	19.4724
2187	20.2185
2188	19.1025
2189	19.7377
2190	20.3443
2191	20.1475
2192	19.3315
2193	18.9921
2194	18.6958
2195	18.4065
2196	18.6145
2197	18.9301
2198	19.6211
2199	19.504
2200	19.4365
