Year	O2debt
1850	0.504526
1851	0.548195
1852	0.42549
1853	0.761114
1854	0.678577
1855	0.678152
1856	0.513936
1857	0.6621
1858	0.551214
1859	0.596403
1860	0.643914
1861	0.762512
1862	0.494953
1863	0.570679
1864	0.621116
1865	0.610048
1866	0.514961
1867	0.412037
1868	0.548984
1869	0.646651
1870	0.773404
1871	0.802158
1872	0.691294
1873	0.677821
1874	0.474499
1875	0.531913
1876	0.580794
1877	0.547915
1878	0.851404
1879	0.599987
1880	0.506455
1881	0.489263
1882	0.659611
1883	0.64794
1884	0.469602
1885	0.751721
1886	0.555317
1887	0.700698
1888	0.602825
1889	0.561851
1890	0.710954
1891	0.738582
1892	0.659642
1893	0.662753
1894	0.851989
1895	0.79508
1896	0.782102
1897	0.866758
1898	0.640057
1899	0.515587
1900	0.671844
1901	0.498831
1902	0.597261
1903	0.554093
1904	0.497683
1905	0.455992
1906	0.692466
1907	0.830065
1908	0.671211
1909	0.793585
1910	0.618609
1911	0.689981
1912	0.794944
1913	0.672175
1914	0.603402
1915	0.863582
1916	0.617411
1917	0.835036
1918	0.968123
1919	0.770711
1920	0.785108
1921	0.742919
1922	0.735225
1923	0.679975
1924	0.967157
1925	0.834312
1926	0.919248
1927	0.834262
1928	0.920746
1929	0.919753
1930	0.886838
1931	0.755323
1932	0.990778
1933	1.07054
1934	1.06865
1935	1.08287
1936	1.03848
1937	1.04796
1938	0.842302
1939	0.840273
1940	1.15208
1941	0.951966
1942	0.870677
1943	1.08993
1944	0.951121
1945	1.09861
1946	1.14131
1947	1.1117
1948	1.0605
1949	1.05781
1950	1.29978
1951	1.16824
1952	1.33055
1953	1.24521
1954	1.05679
1955	0.997313
1956	0.946916
1957	1.08171
1958	1.14002
1959	1.71847
1960	1.75703
1961	1.49953
1962	1.22684
1963	1.40872
1964	1.51454
1965	1.51173
1966	1.91813
1967	1.43908
1968	1.83886
1969	1.40389
1970	1.58665
1971	1.52726
1972	1.8986
1973	1.49976
1974	2.01009
1975	1.79065
1976	2.10086
1977	2.02903
1978	1.79421
1979	2.05803
1980	2.08559
1981	2.01205
1982	2.39226
1983	2.17149
1984	2.48364
1985	2.3201
1986	2.20317
1987	2.82033
1988	2.38385
1989	2.29928
1990	2.46776
1991	2.20402
1992	2.51195
1993	2.3875
1994	2.18994
1995	2.52008
1996	2.3446
1997	3.12338
1998	2.44719
1999	2.59534
2000	2.57175
2001	2.56958
2002	2.56676
2003	2.40041
2004	2.3496
2005	2.23241
2006	2.22686
2007	2.31772
2008	1.83557
2009	2.03092
2010	2.67091
2011	2.58379
2012	2.3954
2013	2.35282
2014	2.08186
2015	2.56945
2016	2.07366
2017	2.07587
2018	2.74976
2019	2.2062
2020	2.32882
2021	2.67847
2022	1.76523
2023	2.28676
2024	2.0782
2025	2.10416
2026	2.16577
2027	2.43289
2028	2.16102
2029	2.08983
2030	2.30208
2031	1.87963
2032	2.77248
2033	2.23021
2034	2.13101
2035	1.84117
2036	1.4919
2037	1.72828
2038	1.98298
2039	1.73241
2040	1.71446
2041	1.19909
2042	1.80554
2043	1.47701
2044	1.67524
2045	1.94417
2046	1.83375
2047	1.5301
2048	1.46501
2049	1.3844
2050	1.68501
2051	1.99399
2052	1.62364
2053	1.6479
2054	1.44319
2055	1.6613
2056	1.5826
2057	1.38822
2058	1.65694
2059	1.37576
2060	1.98355
2061	1.60998
2062	1.4709
2063	1.64956
2064	1.33928
2065	1.26994
2066	1.5163
2067	1.48958
2068	1.50592
2069	1.42038
2070	1.35391
2071	1.52631
2072	1.89388
2073	1.53503
2074	1.71005
2075	1.30496
2076	1.37731
2077	1.58906
2078	1.33063
2079	2.02584
2080	1.33197
2081	1.3164
2082	1.62514
2083	1.28856
2084	1.40232
2085	1.28449
2086	1.19512
2087	1.67238
2088	1.42509
2089	1.58571
2090	1.32027
2091	1.3639
2092	1.65334
2093	1.31411
2094	1.21498
2095	1.74281
2096	1.23351
2097	1.61229
2098	1.50086
2099	1.56352
2100	1.23474
2101	1.22414
2102	1.10115
2103	1.44218
2104	1.34227
2105	1.01052
2106	1.32116
2107	0.982614
2108	1.52046
2109	1.26147
2110	1.58424
2111	1.29649
2112	1.13305
2113	1.28733
2114	1.5191
2115	1.31147
2116	1.36332
2117	1.21051
2118	1.27454
2119	1.12073
2120	1.16299
2121	1.21433
2122	1.2428
2123	1.23856
2124	1.26619
2125	1.13833
2126	1.30089
2127	1.31753
2128	0.97208
2129	0.999987
2130	1.20052
2131	1.1095
2132	1.19187
2133	1.37539
2134	1.3482
2135	1.21109
2136	1.1503
2137	1.23023
2138	1.14099
2139	1.39424
2140	1.33525
2141	0.978474
2142	1.1015
2143	1.03086
2144	1.24546
