Year	O2debt
1850	0.183417
1851	0.298864
1852	0.366719
1853	0.472542
1854	0.455403
1855	0.432012
1856	0.455091
1857	0.482667
1858	0.494005
1859	0.471143
1860	0.434137
1861	0.524601
1862	0.557989
1863	0.54292
1864	0.512362
1865	0.520881
1866	0.515608
1867	0.510896
1868	0.528301
1869	0.581197
1870	0.533586
1871	0.538696
1872	0.578059
1873	0.543646
1874	0.470365
1875	0.521668
1876	0.585102
1877	0.632578
1878	0.490929
1879	0.434689
1880	0.51145
1881	0.506396
1882	0.480074
1883	0.532329
1884	0.519359
1885	0.509585
1886	0.512694
1887	0.502005
1888	0.491312
1889	0.484464
1890	0.516061
1891	0.573727
1892	0.569056
1893	0.557516
1894	0.546129
1895	0.517869
1896	0.474515
1897	0.482134
1898	0.469477
1899	0.474563
1900	0.449157
1901	0.536343
1902	0.584167
1903	0.550211
1904	0.594268
1905	0.63319
1906	0.512594
1907	0.468473
1908	0.596262
1909	0.538867
1910	0.579374
1911	0.594303
1912	0.492118
1913	0.534215
1914	0.533591
1915	0.482696
1916	0.463723
1917	0.452198
1918	0.503357
1919	0.490179
1920	0.504319
1921	0.545942
1922	0.561111
1923	0.550048
1924	0.500448
1925	0.62406
1926	0.677001
1927	0.66987
1928	0.684776
1929	0.531369
1930	0.459031
1931	0.406417
1932	0.471551
1933	0.485664
1934	0.597183
1935	0.558899
1936	0.619799
1937	0.576524
1938	0.544287
1939	0.517547
1940	0.52477
1941	0.532073
1942	0.484119
1943	0.479618
1944	0.530503
1945	0.569294
1946	0.593568
1947	0.505617
1948	0.519388
1949	0.4613
1950	0.499025
1951	0.512148
1952	0.620984
1953	0.78587
1954	0.694992
1955	0.664353
1956	0.798365
1957	0.802947
1958	0.817664
1959	0.770766
1960	0.624716
1961	0.705555
1962	0.861288
1963	0.839545
1964	0.792957
1965	0.719682
1966	0.801919
1967	0.770814
1968	0.876259
1969	0.981697
1970	0.84308
1971	0.792794
1972	0.796676
1973	0.73969
1974	0.733072
1975	0.797937
1976	0.783432
1977	0.84431
1978	0.951388
1979	0.945466
1980	0.941671
1981	0.976377
1982	1.05637
1983	1.07538
1984	1.08949
1985	1.14157
1986	1.20352
1987	1.21479
1988	1.22488
1989	1.18101
1990	1.06455
1991	1.00726
1992	0.932488
1993	0.973794
1994	1.06207
1995	0.99807
1996	1.10209
1997	1.13809
1998	1.12865
1999	1.17945
2000	1.21888
2001	1.29597
2002	1.37723
2003	1.32594
2004	1.04696
2005	0.998916
2006	1.03144
2007	0.931718
2008	1.02028
2009	0.989818
2010	1.02652
2011	1.03121
2012	0.999795
2013	1.02478
2014	1.00899
2015	1.00672
2016	1.02937
2017	1.04544
2018	0.98499
2019	0.853615
2020	0.844366
2021	0.856268
2022	1.00087
2023	1.11036
2024	1.07966
2025	0.986583
2026	1.00487
2027	0.919459
2028	0.98957
2029	1.13838
2030	1.14536
2031	1.10454
2032	1.08255
2033	1.11606
2034	1.1255
2035	1.03754
2036	0.894218
2037	0.797224
2038	0.872667
2039	1.04839
2040	1.12629
2041	1.17988
2042	1.21323
2043	1.16594
2044	0.963815
2045	0.917141
2046	0.986186
2047	0.987749
2048	0.851795
2049	0.800936
2050	0.815926
2051	0.851985
2052	0.930078
2053	0.959862
2054	1.00269
2055	1.03368
2056	1.09774
2057	1.00544
2058	0.888435
2059	0.876403
2060	0.809997
2061	0.850998
2062	0.796239
2063	0.806717
2064	0.767615
2065	0.762259
2066	0.711411
2067	0.736553
2068	0.768123
2069	0.855092
2070	0.786324
2071	0.826143
2072	0.712319
2073	0.715595
2074	0.751273
2075	0.835751
2076	0.861015
2077	0.89191
2078	0.99268
2079	1.00731
2080	1.07039
2081	1.04766
2082	0.840303
2083	0.919863
2084	0.941093
2085	0.809966
2086	0.854613
2087	0.945522
2088	1.00885
2089	0.953923
2090	0.865184
2091	0.806629
2092	0.875736
2093	1.00126
2094	1.03059
2095	0.939927
2096	0.876059
2097	0.930316
2098	0.985668
2099	0.922635
2100	0.942097
2101	0.874379
2102	0.813172
2103	0.792983
2104	0.736293
2105	0.831
2106	0.83231
2107	0.924192
2108	0.84945
2109	0.795072
2110	0.620272
2111	0.737104
2112	0.718359
2113	0.895617
2114	1.0211
2115	1.00638
2116	0.948498
2117	0.975504
2118	0.974629
2119	0.958224
2120	0.790358
2121	0.730219
2122	0.710743
2123	0.715021
2124	0.772189
2125	0.995333
2126	1.03933
2127	0.90119
2128	0.78622
2129	0.741149
2130	0.659747
2131	0.713442
2132	0.716781
2133	0.805454
2134	0.873668
2135	0.921789
2136	0.986765
2137	0.901978
2138	0.774647
2139	0.762111
2140	0.802296
2141	0.723102
2142	0.812654
2143	0.823039
2144	0.855065
2145	0.761565
2146	0.64495
2147	0.686447
2148	0.716646
2149	0.682701
2150	0.773902
2151	0.895028
2152	0.854463
2153	0.760578
2154	0.79535
2155	0.644958
2156	0.774863
2157	0.827048
2158	0.700084
2159	0.742046
2160	0.67119
2161	0.737702
2162	0.804678
2163	0.760133
2164	0.662577
2165	0.597764
2166	0.700308
2167	0.768047
2168	0.776373
2169	0.762543
2170	0.739256
2171	0.760241
2172	0.81778
2173	0.759796
2174	0.731285
2175	0.798963
2176	0.795091
2177	0.89522
2178	0.895372
2179	0.853746
2180	0.906452
2181	0.866923
2182	0.81184
2183	0.749368
2184	0.655634
2185	0.821321
2186	0.877733
2187	0.924492
2188	0.811465
2189	0.774582
2190	0.78895
2191	0.808982
2192	0.833221
2193	0.798721
2194	0.867259
2195	0.80041
2196	0.819195
2197	0.844691
2198	0.777547
2199	0.712207
2200	0.715574
