Year	O2debt
1850	2.93706
1851	2.77166
1852	3.22609
1853	2.96417
1854	2.64291
1855	3.18029
1856	2.93536
1857	3.03353
1858	2.47859
1859	2.90396
1860	3.54277
1861	2.70568
1862	2.91559
1863	2.48511
1864	2.76287
1865	3.24979
1866	3.49803
1867	3.1712
1868	3.07595
1869	2.70376
1870	3.59654
1871	3.50389
1872	3.20974
1873	2.9448
1874	3.14413
1875	3.30513
1876	2.20427
1877	3.3342
1878	3.92015
1879	3.54225
1880	2.70993
1881	2.87106
1882	2.64426
1883	2.63377
1884	3.10114
1885	2.93382
1886	3.08262
1887	2.71331
1888	3.6837
1889	3.16766
1890	2.83901
1891	3.02789
1892	3.04394
1893	3.29289
1894	3.21738
1895	2.82856
1896	2.89293
1897	2.46485
1898	2.50862
1899	3.70836
1900	3.77643
1901	3.03297
1902	3.30633
1903	2.83544
1904	2.93199
1905	2.77916
1906	2.65665
1907	2.53877
1908	3.12288
1909	3.26762
1910	3.45883
1911	2.69272
1912	3.04128
1913	3.2888
1914	3.01286
1915	2.97888
1916	2.98247
1917	3.8656
1918	4.14404
1919	3.55972
1920	2.74518
1921	2.12794
1922	2.80235
1923	3.70454
1924	5.28461
1925	3.95228
1926	3.58053
1927	3.49834
1928	3.34467
1929	3.79706
1930	4.11962
1931	4.30937
1932	3.71574
1933	3.39968
1934	2.85707
1935	3.04641
1936	4.73019
1937	4.13591
1938	3.29848
1939	3.85307
1940	3.9175
1941	4.29825
1942	3.45526
1943	3.07133
1944	3.52638
1945	3.97883
1946	3.15083
1947	3.29564
1948	3.75697
1949	3.83355
1950	3.38535
1951	4.9066
1952	4.61542
1953	4.80779
1954	4.7865
1955	5.43622
1956	3.42431
1957	4.04108
1958	5.31407
1959	4.32099
1960	3.9832
1961	3.94772
1962	5.82049
1963	6.73072
1964	5.64813
1965	4.80479
1966	5.1981
1967	4.45562
1968	5.39929
1969	3.77161
1970	5.06606
1971	7.43881
1972	5.8112
1973	5.72966
1974	5.82875
1975	9.00827
1976	5.61614
1977	6.11569
1978	8.53113
1979	9.12117
1980	8.43566
1981	9.87744
1982	11.6138
1983	9.4184
1984	6.48442
1985	7.39752
1986	7.87174
1987	7.57101
1988	9.19243
1989	7.80787
1990	8.31069
1991	6.98029
1992	6.6266
1993	7.12635
1994	6.82993
1995	7.20685
1996	7.22872
1997	7.5115
1998	10.0596
1999	10.7212
2000	11.31
2001	14.1459
2002	11.1158
2003	5.83308
2004	8.59265
2005	10.8995
2006	9.22685
2007	7.10241
2008	7.40743
2009	7.69734
2010	8.32724
2011	7.1508
2012	7.13975
2013	7.23528
2014	7.44737
2015	6.60079
2016	8.44952
2017	7.65347
2018	11.4195
2019	11.2975
2020	10.2586
2021	7.44336
2022	6.96003
2023	7.76112
2024	8.07139
2025	6.74167
2026	6.07632
2027	7.55167
2028	6.6449
2029	6.5515
2030	7.057
2031	7.2443
2032	6.99694
2033	7.2537
2034	6.51244
2035	7.09684
2036	7.80798
2037	6.577
2038	8.17827
2039	8.99575
2040	6.71008
2041	5.7622
2042	5.68163
2043	5.22502
2044	7.05874
2045	9.37649
2046	8.79873
2047	5.57245
2048	4.5221
2049	5.33947
2050	4.34771
2051	4.50853
2052	5.04164
2053	6.1555
2054	6.33132
2055	4.59861
2056	5.49287
2057	4.99262
2058	5.36337
2059	5.77284
2060	6.0982
2061	5.42533
2062	5.36595
2063	5.6555
2064	5.17242
2065	5.58977
2066	6.20845
2067	5.40375
2068	5.45635
2069	4.06126
2070	5.6355
2071	4.97255
2072	5.40771
2073	5.29434
2074	5.06803
2075	5.0145
2076	4.83767
2077	4.72468
2078	5.40892
2079	5.58393
2080	4.39366
2081	5.06816
2082	5.39981
2083	5.82456
2084	5.99278
2085	4.34311
2086	5.13013
2087	6.08207
2088	4.69839
2089	5.00556
2090	5.16019
2091	6.20079
2092	5.0018
2093	4.09144
2094	4.9884
2095	5.26329
2096	5.14352
2097	5.56515
2098	4.82337
2099	4.13607
2100	4.15617
2101	4.81666
2102	4.22574
2103	4.12693
2104	5.78968
2105	4.19098
2106	4.22111
2107	4.44857
2108	5.20274
2109	3.69857
2110	4.39681
2111	4.75408
2112	4.66848
2113	4.56822
2114	4.92083
2115	5.21519
2116	4.14226
2117	4.68965
2118	5.51593
2119	5.88558
2120	4.23589
2121	4.10771
2122	3.91287
2123	3.66862
2124	4.52013
2125	4.65591
2126	3.44996
2127	3.98697
2128	3.89589
2129	4.6229
2130	4.5407
2131	4.79763
2132	4.74971
2133	4.26403
2134	3.65121
2135	5.06388
2136	5.23313
2137	4.33794
2138	3.49861
2139	3.92454
2140	4.6285
2141	4.91287
2142	5.03244
2143	4.13849
2144	4.77856
2145	5.67625
2146	5.32792
2147	4.22026
2148	3.79321
2149	5.04871
2150	4.71653
2151	4.35274
2152	3.80503
2153	3.50148
2154	4.4448
2155	4.16372
2156	3.66892
2157	5.08447
2158	5.46587
2159	5.45104
2160	4.00344
2161	4.12756
2162	4.64686
2163	3.95579
2164	4.88728
2165	3.9542
2166	4.09961
2167	4.44485
2168	4.01398
2169	4.27686
2170	5.89531
2171	4.369
2172	4.45994
2173	4.32099
2174	4.10423
2175	3.9217
2176	4.06826
2177	3.88307
2178	4.28476
2179	5.16903
2180	4.86545
2181	4.4011
2182	3.52961
2183	3.83689
2184	3.34888
2185	4.38598
2186	4.97036
2187	3.4199
2188	4.8317
2189	5.96905
2190	5.02733
2191	4.05409
2192	3.56941
2193	4.28052
2194	3.77459
2195	4.07055
2196	4.47439
2197	4.57651
2198	4.28641
2199	4.37917
2200	4.31677
