Year	Chla	Secchi	DIN	PO4
1850	0.135032392	8.181544416	1.571024821	0.174118677
1851	0.11427815	8.206021297	1.185364167	0.136418602
1852	0.148678075	8.165276593	1.343062048	0.149814441
1853	0.139844017	8.175820822	1.32941669	0.148838978
1854	0.251223583	8.041670174	1.420626405	0.151273473
1855	0.234283408	8.062092624	1.250968833	0.145626387
1856	0.071931708	8.254047046	1.341847738	0.158122495
1857	0.246393292	8.047489397	1.433281619	0.173224398
1858	0.312419158	7.96834861	1.314541762	0.153464581
1859	0.198412433	8.105413776	1.48938781	0.162543204
1860	0.148399825	8.165609338	1.379080214	0.154285269
1861	0.124999467	8.193424971	1.258975714	0.151721624
1862	0.0906087	8.23330682	1.320105167	0.147879538
1863	0.188518983	8.11735988	1.343983833	0.168093495
1864	0.086233292	8.238243302	1.321051452	0.155053
1865	0.302905983	7.979688872	1.361246452	0.174583871
1866	0.2185281	8.081114081	1.34670919	0.170448484
1867	0.216960625	8.08300739	1.33603881	0.157523774
1868	0.235709833	8.060371587	1.391484381	0.176906409
1869	0.221051308	8.078066617	1.44701569	0.168836075
1870	0.169906508	8.139798354	1.274190048	0.151169796
1871	0.204072517	8.098576691	1.198324	0.147764054
1872	0.141619508	8.173705131	1.322166714	0.158450989
1873	0.16211475	8.149168432	1.242052333	0.146940108
1874	0.21193725	8.089075557	1.438492381	0.163222828
1875	0.138105333	8.177890779	1.339381786	0.155926753
1876	0.1409597	8.174491585	1.199999143	0.144851957
1877	0.202097933	8.100962012	1.324923262	0.156508613
1878	0.305882325	7.976138323	1.350261738	0.16214972
1879	0.286604733	7.999174714	1.403429238	0.156781925
1880	0.13541815	8.18108611	1.350671762	0.149702871
1881	0.1341116	8.18263796	1.243971071	0.143018043
1882	0.126003967	8.192239159	1.369909905	0.155339656
1883	0.089622983	8.234422482	1.310591024	0.155239935
1884	0.294620433	7.989584874	1.40464869	0.171589839
1885	0.207361467	8.094603435	1.220734952	0.150825763
1886	0.139151075	8.176646018	1.194606262	0.144953065
1887	0.072176592	8.253781469	1.3703655	0.156867495
1888	0.195427283	8.109019072	1.386291905	0.175591699
1889	0.171431225	8.137962828	1.25717681	0.168059839
1890	0.098741358	8.224031128	1.32560831	0.153638527
1891	0.208139225	8.09366384	1.456913667	0.174599806
1892	0.113533642	8.206891496	1.359677524	0.158192376
1893	0.143375575	8.171610767	1.371521429	0.15963672
1894	0.178788283	8.129098657	1.318162262	0.151466806
1895	0.130784675	8.186583951	1.277913238	0.149336183
1896	0.150814125	8.162720961	1.232310667	0.142530247
1897	0.163446558	8.147568144	1.314694571	0.155386817
1898	0.116075517	8.203917902	1.400193476	0.156354097
1899	0.095807483	8.22739121	1.410321048	0.156731011
1900	0.183671367	8.123209608	1.606044714	0.184121699
1901	0.146520267	8.167855999	1.295460929	0.155607495
1902	0.263254833	8.027192302	1.382116738	0.162462387
1903	0.0972167	8.225779122	1.375632571	0.174560538
1904	0.173209342	8.135821536	1.250606095	0.163751323
1905	0.226555175	8.071420538	1.345926262	0.169887215
1906	0.118187183	8.201442187	1.226313262	0.152106344
1907	0.105457683	8.216286934	1.325378429	0.154866312
1908	0.151374475	8.162050189	1.15600169	0.146852086
1909	0.101160033	8.221250307	1.430327929	0.175224677
1910	0.06968815	8.256470737	1.344124405	0.168171828
1911	0.10066525	8.221819936	1.369902833	0.178693699
1912	0.224887133	8.073434525	1.362253643	0.181221333
1913	0.167464442	8.142736974	1.25992719	0.157978989
1914	0.24755675	8.046087419	1.497925619	0.173090892
1915	0.203729283	8.098991328	1.325262071	0.166719086
1916	0.0909489	8.232921313	1.464181786	0.172330892
1917	0.182020067	8.125201525	1.333822929	0.172150677
