Year	O2debt
1850	0.758278
1851	0.895153
1852	0.95187
1853	0.965773
1854	1.06992
1855	1.13519
1856	1.19871
1857	1.26853
1858	1.23511
1859	1.24602
1860	1.27385
1861	1.38243
1862	1.42872
1863	1.42521
1864	1.34067
1865	1.25656
1866	1.20216
1867	1.19196
1868	1.17551
1869	1.15501
1870	1.22751
1871	1.38358
1872	1.40846
1873	1.37561
1874	1.31326
1875	1.31153
1876	1.31437
1877	1.39218
1878	1.30471
1879	1.31101
1880	1.3002
1881	1.27224
1882	1.20968
1883	1.15038
1884	1.13115
1885	1.14341
1886	1.15701
1887	1.17446
1888	1.19332
1889	1.19255
1890	1.22488
1891	1.21834
1892	1.24409
1893	1.29645
1894	1.31416
1895	1.32394
1896	1.32403
1897	1.30673
1898	1.31437
1899	1.32298
1900	1.24329
1901	1.23472
1902	1.26396
1903	1.28369
1904	1.25085
1905	1.23605
1906	1.1781
1907	1.22858
1908	1.2991
1909	1.30539
1910	1.33216
1911	1.35279
1912	1.35098
1913	1.31666
1914	1.26959
1915	1.20368
1916	1.15545
1917	1.21129
1918	1.28881
1919	1.35791
1920	1.34399
1921	1.32025
1922	1.30651
1923	1.28858
1924	1.37608
1925	1.43749
1926	1.44861
1927	1.44633
1928	1.48604
1929	1.52889
1930	1.49268
1931	1.51066
1932	1.44884
1933	1.52844
1934	1.53679
1935	1.57518
1936	1.62947
1937	1.49416
1938	1.45312
1939	1.35761
1940	1.38089
1941	1.48749
1942	1.54433
1943	1.34142
1944	1.23757
1945	1.2334
1946	1.28123
1947	1.39554
1948	1.47346
1949	1.36382
1950	1.33831
1951	0.910561
1952	1.06457
1953	1.28311
1954	1.32052
1955	1.37296
1956	1.46294
1957	1.57421
1958	1.69888
1959	1.77058
1960	1.76979
1961	1.80105
1962	1.87084
1963	1.96478
1964	1.99874
1965	2.01074
1966	2.07778
1967	2.15936
1968	2.2303
1969	2.33
1970	2.43878
1971	2.37487
1972	2.15973
1973	2.0627
1974	1.99171
1975	2.01951
1976	1.95976
1977	1.98047
1978	2.09275
1979	2.30359
1980	2.37977
1981	2.51602
1982	2.79976
1983	2.83498
1984	2.68333
1985	2.75985
1986	2.98604
1987	3.10522
1988	3.17919
1989	3.16026
1990	3.18088
1991	3.20145
1992	2.98729
1993	2.76515
1994	2.70066
1995	2.64036
1996	2.89092
1997	2.95424
1998	2.83749
1999	2.97872
2000	2.99131
2001	3.11042
2002	3.22951
2003	3.26319
2004	3.26963
2005	3.06175
2006	3.01455
2007	2.89785
2008	2.85171
2009	2.92592
2010	3.15237
2011	3.38316
2012	3.50011
2013	3.60492
2014	3.69386
2015	3.85205
2016	3.87634
2017	3.67078
2018	3.55301
2019	3.34144
2020	3.28679
2021	3.13167
2022	3.01243
2023	2.97131
2024	2.96324
2025	2.87026
2026	2.67153
2027	2.52049
2028	1.38145
2029	1.7741
2030	2.05609
2031	2.29384
2032	2.3107
2033	2.48286
2034	2.70724
2035	2.78497
2036	2.70824
2037	2.71453
2038	2.75173
2039	2.85551
2040	2.95394
2041	2.62878
2042	2.50956
2043	2.49582
2044	2.46002
2045	2.63258
2046	2.91604
2047	3.05371
2048	3.07116
2049	3.01304
2050	3.04586
2051	3.14691
2052	3.09265
2053	3.2508
2054	3.27785
2055	3.19703
2056	3.11854
2057	2.90082
2058	2.68686
2059	2.43146
2060	2.24127
2061	2.23115
2062	2.27517
2063	2.38241
2064	2.43575
2065	2.29305
2066	1.3762
2067	1.62987
2068	1.75422
2069	1.95407
2070	2.03385
2071	2.17972
2072	2.12109
2073	2.12624
2074	2.22233
2075	2.34518
2076	2.28171
2077	2.31456
2078	2.30256
2079	2.38339
2080	2.40976
2081	2.39445
2082	2.4013
2083	2.39148
2084	2.43076
2085	2.43801
2086	2.3928
2087	2.50322
2088	2.59818
2089	2.70136
2090	2.68871
2091	2.6222
2092	2.555
2093	2.53179
2094	2.46092
2095	2.36799
2096	2.32839
2097	2.32608
2098	2.39802
2099	2.41393
2100	2.3532
2101	2.385
2102	2.3669
2103	2.43068
2104	2.43349
2105	2.41901
2106	2.20868
2107	2.24919
2108	2.19124
2109	2.22741
2110	2.29296
2111	2.2841
2112	1.11203
2113	1.37403
2114	1.60205
2115	1.694
2116	1.66766
2117	1.33722
2118	1.61168
2119	1.76246
2120	1.79237
2121	1.86875
2122	1.87895
2123	1.91972
2124	2.0089
2125	2.03755
2126	2.06285
2127	2.059
2128	2.05455
2129	2.03516
2130	2.01872
2131	2.14937
2132	2.20717
2133	2.30436
2134	2.35269
2135	2.39556
2136	2.39793
2137	2.37268
2138	2.46791
2139	2.48018
2140	2.46019
2141	2.35396
2142	2.28393
2143	2.32626
2144	2.33366
2145	2.16839
2146	2.01822
2147	1.92407
2148	2.01304
2149	1.96203
2150	2.1092
2151	2.26075
2152	2.2597
2153	2.21598
2154	2.19876
2155	2.22557
2156	2.20074
2157	2.13343
2158	2.09556
2159	2.12388
2160	2.06797
2161	2.11998
2162	2.12987
2163	2.16792
2164	2.03065
2165	1.98043
2166	2.08024
2167	2.12112
2168	2.10492
2169	1.99848
2170	1.98936
2171	2.0236
2172	2.25305
2173	2.13923
2174	1.1437
2175	1.40205
2176	1.60313
2177	1.87973
2178	1.94792
2179	2.08779
2180	2.29971
2181	2.35999
2182	2.39196
2183	2.48347
2184	1.16732
2185	1.48254
2186	1.64876
2187	1.7159
2188	1.74265
2189	1.82179
2190	1.86902
2191	1.89854
2192	2.01636
2193	2.15138
2194	2.08833
2195	2.03701
2196	2.06466
2197	2.0962
2198	2.08248
2199	2.08967
2200	2.16214
