Year	O2debt
1850	1.03054
1851	0.929051
1852	0.283932
1853	0.499301
1854	0.820741
1855	1.26089
1856	0.969477
1857	0.282477
1858	0.328628
1859	0.502305
1860	1.21812
1861	0.632858
1862	0.961895
1863	0.450776
1864	0.420971
1865	0.863082
1866	0.217766
1867	0.514404
1868	0.465613
1869	0.791297
1870	0.904341
1871	1.74952
1872	0.551756
1873	0.483848
1874	0.349585
1875	0.874825
1876	1.14764
1877	1.46662
1878	0.307682
1879	0.825032
1880	0.50445
1881	1.03326
1882	0.342569
1883	0.661901
1884	0.320556
1885	0.447436
1886	0.574766
1887	0.323926
1888	1.25239
1889	1.11423
1890	0.414143
1891	0.749465
1892	0.777813
1893	0.605226
1894	0.30267
1895	1.00716
1896	0.699273
1897	0.357875
1898	0.958178
1899	0.395452
1900	0.80592
1901	0.522856
1902	0.534907
1903	0.669952
1904	0.33871
1905	0.319709
1906	0.459274
1907	0.589269
1908	0.693348
1909	0.766404
1910	0.275008
1911	0.539194
1912	0.511494
1913	0.25553
1914	0.320063
1915	0.497321
1916	0.586766
1917	0.900451
1918	0.685624
1919	0.786236
1920	0.475145
1921	0.354796
1922	0.878108
1923	0.88513
1924	1.33587
1925	0.257346
1926	0.902265
1927	0.565347
1928	0.768483
1929	0.842657
1930	0.573483
1931	0.883259
1932	0.790742
1933	0.592174
1934	0.683221
1935	0.482105
1936	0.767426
1937	0.51195
1938	0.413475
1939	0.547772
1940	1.35739
1941	1.38598
1942	1.45533
1943	0.703341
1944	0.54612
1945	1.036
1946	0.45203
1947	1.46399
1948	0.801282
1949	0.481101
1950	0.856723
1951	0.904908
1952	0.758506
1953	0.882862
1954	0.733886
1955	1.05333
1956	1.56903
1957	0.990272
1958	1.57047
1959	0.840161
1960	1.21196
1961	0.437703
1962	1.48572
1963	2.3596
1964	1.06115
1965	1.94859
1966	2.31231
1967	1.36052
1968	1.42906
1969	1.66291
1970	2.67055
1971	1.34551
1972	1.1431
1973	1.42766
1974	1.19052
1975	1.14138
1976	2.01016
1977	2.56897
1978	2.02867
1979	2.94801
1980	1.81482
1981	2.99284
1982	3.35802
1983	2.81572
1984	2.28253
1985	2.5473
1986	3.46074
1987	3.88638
1988	2.13214
1989	1.87314
1990	2.94432
1991	2.79105
1992	2.72417
1993	2.65708
1994	3.29501
1995	2.88162
1996	4.15915
1997	2.35684
1998	2.95043
1999	3.06441
2000	3.17146
2001	2.98382
2002	1.78342
2003	2.83476
2004	2.61111
2005	1.69297
2006	2.66211
2007	2.25832
2008	3.46548
2009	3.2613
2010	3.12864
2011	2.2055
2012	2.6155
2013	2.86546
2014	3.00667
2015	2.70325
2016	2.66306
2017	3.15431
2018	2.99767
2019	2.67956
2020	2.62323
2021	2.3952
2022	3.39128
2023	1.69323
2024	2.20164
2025	2.47409
2026	1.87762
2027	3.57253
2028	1.94862
2029	2.12547
2030	2.13811
2031	2.33684
2032	3.6905
2033	2.29839
2034	3.23901
2035	1.84442
2036	2.27036
2037	2.2893
2038	3.22147
2039	2.36955
2040	2.01112
2041	1.47041
2042	2.79022
2043	1.81655
2044	2.176
2045	1.55636
2046	1.68114
2047	1.63614
2048	3.07049
2049	1.79014
2050	2.33744
2051	2.89357
2052	2.94787
2053	1.60568
2054	1.35457
2055	2.30447
2056	1.79867
2057	1.44124
2058	1.87477
2059	1.93956
2060	2.02004
2061	1.50221
2062	1.64227
2063	2.38722
2064	1.56907
2065	1.37757
2066	2.53409
2067	1.3765
2068	1.97463
2069	2.26036
2070	2.05535
2071	1.66293
2072	1.71296
2073	1.31244
2074	1.4637
2075	1.36393
2076	1.16917
2077	1.70566
2078	1.85151
2079	1.80908
2080	1.50977
2081	1.93038
2082	2.434
2083	1.65243
2084	1.84053
2085	1.65133
2086	1.13119
2087	1.8482
2088	1.94392
2089	1.74778
2090	1.75189
2091	1.75437
2092	1.3789
2093	1.81737
2094	2.3992
2095	1.71924
2096	1.45231
2097	1.7268
2098	1.30436
2099	1.27205
2100	1.41859
2101	1.46403
2102	2.22305
2103	1.73879
2104	1.40006
2105	1.1751
2106	1.72841
2107	1.60088
2108	1.24521
2109	1.19769
2110	1.92676
2111	1.54533
2112	1.60537
2113	1.61511
2114	1.32161
2115	1.07811
2116	1.66277
2117	2.5735
2118	1.23688
2119	1.71012
2120	1.76953
2121	1.56746
2122	1.5266
2123	1.72697
2124	1.08681
2125	1.71823
2126	1.10428
2127	1.64951
2128	1.15041
2129	1.68895
2130	1.29532
2131	1.5382
2132	1.44258
2133	1.77865
2134	1.89639
2135	1.12248
2136	1.48378
2137	1.2679
2138	2.33236
2139	1.59959
2140	1.44987
2141	1.90906
2142	0.921561
2143	1.77058
2144	1.34372
2145	1.20381
2146	2.19903
2147	0.979763
2148	1.59876
2149	1.15655
2150	1.77985
2151	1.43264
2152	1.27406
2153	1.29264
2154	1.85091
2155	1.2347
2156	2.75467
2157	1.2415
2158	2.16185
2159	1.65539
2160	2.80845
2161	1.98396
2162	1.24319
2163	1.47549
2164	1.25373
2165	0.858655
2166	1.33911
2167	1.22109
2168	1.34619
2169	1.19501
2170	0.977946
2171	1.62388
2172	2.57082
2173	2.20712
2174	1.34476
2175	1.43046
2176	1.07402
2177	1.89824
2178	2.21239
2179	1.53336
2180	1.70176
2181	1.25228
2182	1.43772
2183	1.56122
2184	1.90862
2185	1.25998
2186	1.3937
2187	1.06365
2188	1.45025
2189	1.38957
2190	1.44085
2191	1.02287
2192	1.70396
2193	0.949962
2194	0.910378
2195	1.77458
2196	1.04526
2197	0.938161
2198	2.46693
2199	1.39642
2200	1.91733
