Year	Chla	Secchi	DIN	PO4
1850	0.384410308	8.084533502	1.642335393	0.180289952
1851	0.323314483	8.161013224	1.507030286	0.160116892
1852	0.341701325	8.137843723	1.325026786	0.151117634
1853	0.339409	8.140725298	1.294468762	0.15699157
1854	0.328405408	8.154585308	1.145308286	0.136357366
1855	0.349321408	8.128279452	1.272774167	0.162134548
1856	0.3625601	8.111716995	1.205529548	0.148545925
1857	0.374728608	8.096554694	1.336268405	0.160032237
1858	0.331615783	8.150536812	1.211338786	0.138315871
1859	0.394726092	8.071766822	1.159519595	0.146046505
1860	0.370194242	8.102197724	1.224692167	0.147430226
1861	0.345812483	8.132680849	1.302402524	0.143005269
1862	0.343607367	8.135449266	1.176041643	0.144343677
1863	0.483688508	7.96349054	1.4098075	0.17071157
1864	0.387841533	8.080282258	1.230765048	0.148858441
1865	0.335169217	8.146060238	1.261718095	0.145843484
1866	0.395835475	8.070396446	1.324352643	0.153854032
1867	0.316405017	8.169752636	1.392449381	0.16145328
1868	0.375029025	8.096181117	1.283570429	0.163021903
1869	0.386975983	8.081354212	1.29530069	0.162189753
1870	0.375370917	8.095756008	1.325869595	0.148092634
1871	0.285866817	8.208582617	1.231388833	0.141900645
1872	0.289866967	8.203478089	1.189652	0.135969183
1873	0.32341295	8.160888806	1.227537714	0.14098557
1874	0.39777325	8.068004	1.252335571	0.146982301
1875	0.336145775	8.144830822	1.203437024	0.14138072
1876	0.331737058	8.150383952	1.359064238	0.165302204
1877	0.262592517	8.238383715	1.136810405	0.13123729
1878	0.380584167	8.089279671	1.193717548	0.136714925
1879	0.303314667	8.186357409	1.117947095	0.133021204
1880	0.3288558	8.1540171	1.172742619	0.134207828
1881	0.352755492	8.123976579	1.256506952	0.151464409
1882	0.396124575	8.070039416	1.239712452	0.151561301
1883	0.331445042	8.15075203	1.357562286	0.148514161
1884	0.321017492	8.163916613	1.4149295	0.155075441
1885	0.350746375	8.126493424	1.230042071	0.155959484
1886	0.356674617	8.119071599	1.334995714	0.170184903
1887	0.394174433	8.07244845	1.363777357	0.154538957
1888	0.273258475	8.224705889	1.301285881	0.153973151
1889	0.385367092	8.083347579	1.463965071	0.175482806
1890	0.398994925	8.066496465	1.266720738	0.146783484
1891	0.378637525	8.091696671	1.327524262	0.151457602
1892	0.326202042	8.15736614	1.317988262	0.156679667
1893	0.343703208	8.135328902	1.253500881	0.148681204
1894	0.410193933	8.052705539	1.551262881	0.169883151
1895	0.37485945	8.096391984	1.290008881	0.159360903
1896	0.407736525	8.05572728	1.433549929	0.170088269
1897	0.331868542	8.150218232	1.26679731	0.138735097
1898	0.398483925	8.06712696	1.348782643	0.158124495
1899	0.359175367	8.115944945	1.26996731	0.145746301
1900	0.361601333	8.112914152	1.238199238	0.154951946
1901	0.339877592	8.140136089	1.262842667	0.156339086
1902	0.373643958	8.097903793	1.277012595	0.164844925
1903	0.479929975	7.967998499	1.096569214	0.156175323
1904	0.386104192	8.082434205	1.230356643	0.152141785
1905	0.458232425	7.994137365	1.398781714	0.168238452
1906	0.483720417	7.963452295	1.263964452	0.161196892
1907	0.4183277	8.042721647	1.38459231	0.160775011
1908	0.357704842	8.117783224	1.273469286	0.153712161
1909	0.459780533	7.992265876	1.254660357	0.15862143
1910	0.455634317	7.997280429	1.307051143	0.158451538
1911	0.465010467	7.985950856	1.33557669	0.165158774
1912	0.439630158	8.016703435	1.284399381	0.156306011
1913	0.468995217	7.981147011	1.247030429	0.170527075
1914	0.503856033	7.939402042	1.594409071	0.192279656
1915	0.49545755	7.949412832	1.262648143	0.170206183
1916	0.493937908	7.951227337	1.271470929	0.181979731
1917	0.503157958	7.940233016	1.288393357	0.166146419
1918	0.530493192	7.907844401	1.500653143	0.189496935
1919	0.496737442	7.947885341	1.217473048	0.155275806
1920	0.571065367	7.860338099	1.348223929	0.173918258
1921	0.4978841	7.946517436	1.359103738	0.172007484
1922	0.552576617	7.881903267	1.499162048	0.189081785
1923	0.547682042	7.887635618	1.477769048	0.193770462
1924	0.48474055	7.962229782	1.701652333	0.192842828
1925	0.482487542	7.964930333	1.605117167	0.178743753
1926	0.556014958	7.877882261	1.529967524	0.185943656
1927	0.550773708	7.884013629	1.590322976	0.187903022
1928	0.52405255	7.915447907	1.544167238	0.177807065
1929	0.492062025	7.953468529	1.56616169	0.178370591
1930	0.622671875	7.800874714	1.704796214	0.189435
1931	0.583652008	7.84573652	1.783140238	0.202164849
1932	0.5688305	7.862937445	1.811417571	0.210240871
1933	0.575051283	7.855707158	1.66143869	0.194617462
1934	0.692359733	7.722244622	1.65532931	0.190158624
1935	0.697226075	7.716823779	1.838284738	0.202792
1936	0.619501283	7.804497337	1.819893714	0.189986946
1937	0.65712745	7.761762041	1.651039071	0.196350355
1938	0.635813033	7.785902383	1.665534833	0.194689333
1939	0.698113267	7.715836465	1.755727024	0.198448387
1940	0.523143717	7.916522209	1.734719714	0.202123462
1941	0.604595658	7.821581587	1.633024286	0.198778118
1942	0.606141842	7.819805296	1.551099429	0.201896
1943	0.799894142	7.604510848	1.750197952	0.20977272
1944	0.744324758	7.664818941	1.674844786	0.199857204
1945	0.7199864	7.691588913	1.935962929	0.212948602
1946	0.725834725	7.685136175	1.905442214	0.222828699
1947	0.636832875	7.784743275	1.620465024	0.192954462
1948	0.816801417	7.586381563	1.636653667	0.195898785
1949	0.877346283	7.522277439	1.725319262	0.217803968
1950	0.773296942	7.633236629	1.994555143	0.225301194
1951	0.622282967	7.801318855	1.917591286	0.200989301
1952	0.806518417	7.597395738	2.042368119	0.250743398
1953	0.6843725	7.731161527	1.987481333	0.207370688
1954	0.723648217	7.687547159	1.889374429	0.21846257
1955	0.726527783	7.684372337	2.0779015	0.233208624
1956	0.621453408	7.802266427	2.268899429	0.251892688
1957	0.638032733	7.783380092	2.431900976	0.247744247
1958	0.621588917	7.802111622	2.25844	0.232687516
1959	0.751308833	7.65717757	2.289033071	0.217161591
1960	0.730707133	7.679769957	1.95216381	0.215062355
1961	0.73094455	7.679508704	2.641858071	0.250261301
1962	0.772583	7.634011216	2.563263286	0.250083645
1963	0.592776917	7.835190835	2.40906831	0.232406387
1964	0.6642825	7.753698037	2.437466357	0.235333613
1965	0.675538383	7.741052314	2.59530969	0.246991516
1966	0.543452875	7.892596564	2.655950048	0.23895329
1967	0.544736383	7.891090194	2.89131269	0.254309032
1968	0.624232467	7.799093091	3.414683357	0.275466774
1969	0.525981983	7.913168319	2.987694095	0.250035656
1970	0.682791083	7.732929902	3.037411905	0.280776634
1971	0.797943592	7.606608898	3.234689667	0.290196634
1972	0.905050767	7.493360244	3.217173857	0.315466935
1973	0.904193967	7.494250712	2.992960357	0.293741978
1974	0.999696133	7.396462568	3.238730262	0.324408645
1975	0.941517325	7.455684513	3.801592476	0.342284753
1976	1.0498054	7.34629978	3.395676738	0.334059731
1977	1.108949217	7.288061583	3.133160571	0.341877925
1978	1.204276325	7.19630311	2.8805205	0.317575441
1979	0.980157967	7.416231633	3.087329929	0.316526785
1980	1.236535417	7.165817152	3.490029905	0.330544011
1981	1.18172285	7.217784046	3.713751	0.368381258
