Year	O2debt
1850	0.504526
1851	0.548195
1852	0.42549
1853	0.761114
1854	0.678577
1855	0.678152
1856	0.513936
1857	0.6621
1858	0.551214
1859	0.596403
1860	0.643914
1861	0.762512
1862	0.494953
1863	0.570679
1864	0.621116
1865	0.610048
1866	0.514961
1867	0.412037
1868	0.548984
1869	0.646651
1870	0.773404
1871	0.802158
1872	0.691294
1873	0.677821
1874	0.474499
1875	0.531913
1876	0.580794
1877	0.547915
1878	0.851404
1879	0.599987
1880	0.506455
1881	0.489263
1882	0.659611
1883	0.64794
1884	0.469602
1885	0.751721
1886	0.555317
1887	0.700698
1888	0.602825
1889	0.561851
1890	0.710954
1891	0.738582
1892	0.659642
1893	0.662753
1894	0.851989
1895	0.79508
1896	0.782102
1897	0.866758
1898	0.640057
1899	0.515587
1900	0.671844
1901	0.498831
1902	0.597261
1903	0.554093
1904	0.497683
1905	0.455992
1906	0.692466
1907	0.830065
1908	0.671211
1909	0.793585
1910	0.618609
1911	0.689981
1912	0.794944
1913	0.672175
1914	0.603402
1915	0.863582
1916	0.617411
1917	0.835036
1918	0.968123
1919	0.770711
1920	0.785108
1921	0.742919
1922	0.735225
1923	0.679975
1924	0.967157
1925	0.834312
1926	0.919248
1927	0.834262
1928	0.920746
1929	0.919753
1930	0.886838
1931	0.755323
1932	0.990778
1933	1.07054
1934	1.06865
1935	1.08287
1936	1.03848
1937	1.04796
1938	0.842302
1939	0.840273
1940	1.15208
1941	0.951966
1942	0.870677
1943	1.08993
1944	0.951121
1945	1.09861
1946	1.14131
1947	1.1117
1948	1.0605
1949	1.05781
1950	1.29978
1951	1.16824
1952	1.33055
1953	1.24521
1954	1.05679
1955	0.997313
1956	0.946916
1957	1.08171
1958	1.14002
1959	1.71847
1960	1.75703
1961	1.49953
1962	1.22684
1963	1.40872
1964	1.51454
1965	1.51173
1966	1.91813
1967	1.43908
1968	1.83886
1969	1.40389
1970	1.58665
1971	1.52726
1972	1.8986
1973	1.49976
1974	2.01009
1975	1.79065
1976	2.10086
1977	2.02903
1978	1.79421
1979	2.05803
1980	2.08559
1981	2.01205
1982	2.39226
1983	2.17149
1984	2.48364
1985	2.3201
1986	2.20317
1987	2.82033
1988	2.38385
1989	2.29928
1990	2.46776
1991	2.20402
1992	2.51195
1993	2.3875
1994	2.18994
1995	2.52008
1996	2.3446
1997	3.12338
1998	2.44719
1999	2.59534
2000	2.57175
2001	2.56958
2002	2.56676
2003	2.40041
2004	2.3496
2005	2.23241
2006	2.22686
2007	2.29629
2008	1.79669
2009	1.9681
2010	2.57875
2011	2.46357
2012	2.26619
2013	2.21218
2014	1.93683
2015	2.38131
2016	1.91664
2017	1.90486
2018	2.52413
2019	2.0138
2020	2.10089
2021	2.40692
2022	1.5575
2023	2.04814
2024	1.851
2025	1.87019
2026	1.9402
2027	2.1624
2028	1.9489
2029	1.84402
2030	2.04818
2031	1.62234
2032	2.41359
2033	1.96527
2034	1.88155
2035	1.63446
2036	1.3333
2037	1.54567
2038	1.7843
2039	1.55497
2040	1.55707
2041	1.0858
2042	1.63665
2043	1.33224
2044	1.51511
2045	1.75676
2046	1.6758
2047	1.39852
2048	1.31659
2049	1.25943
2050	1.52958
2051	1.83269
2052	1.47272
2053	1.5094
2054	1.32275
2055	1.53844
2056	1.47676
2057	1.30496
2058	1.5275
2059	1.27343
2060	1.8509
2061	1.49921
2062	1.37352
2063	1.55662
2064	1.26281
2065	1.20014
2066	1.42894
2067	1.41311
2068	1.42621
2069	1.34741
2070	1.2888
2071	1.46319
2072	1.80935
2073	1.47028
2074	1.63672
2075	1.24792
2076	1.32745
2077	1.53664
2078	1.27941
2079	1.95678
2080	1.2767
2081	1.2599
2082	1.5687
2083	1.23696
2084	1.35141
2085	1.23611
2086	1.15371
2087	1.6122
2088	1.38128
2089	1.53325
2090	1.27728
2091	1.32299
2092	1.61079
2093	1.28259
2094	1.18622
2095	1.70434
2096	1.20234
2097	1.57885
2098	1.46984
2099	1.53074
2100	1.20947
2101	1.19617
2102	1.08037
2103	1.41501
2104	1.31355
2105	0.992768
2106	1.29488
2107	0.964938
2108	1.49147
2109	1.23874
2110	1.55728
2111	1.27643
2112	1.1138
2113	1.26745
2114	1.50095
2115	1.29803
2116	1.34853
2117	1.19767
2118	1.26115
2119	1.10987
2120	1.14824
2121	1.2026
2122	1.23235
2123	1.22755
2124	1.25225
2125	1.12853
2126	1.29205
2127	1.30624
2128	0.96283
2129	0.992107
2130	1.19271
2131	1.10366
2132	1.18551
2133	1.36591
2134	1.33927
2135	1.20355
2136	1.14653
2137	1.22501
2138	1.13589
2139	1.38713
2140	1.32766
2141	0.971957
2142	1.09816
2143	1.02695
2144	1.24094
2145	1.12118
