Year	O2debt
1850	0.183417
1851	0.298864
1852	0.366719
1853	0.472542
1854	0.455403
1855	0.432012
1856	0.455091
1857	0.482667
1858	0.494005
1859	0.471143
1860	0.434137
1861	0.524601
1862	0.557989
1863	0.54292
1864	0.512362
1865	0.520881
1866	0.515608
1867	0.510896
1868	0.528301
1869	0.581197
1870	0.533586
1871	0.538696
1872	0.578059
1873	0.543646
1874	0.470365
1875	0.521668
1876	0.585102
1877	0.632578
1878	0.490929
1879	0.434689
1880	0.51145
1881	0.506396
1882	0.480074
1883	0.532329
1884	0.519359
1885	0.509585
1886	0.512694
1887	0.502005
1888	0.491312
1889	0.484464
1890	0.516061
1891	0.573727
1892	0.569056
1893	0.557516
1894	0.546129
1895	0.517869
1896	0.474515
1897	0.482134
1898	0.469477
1899	0.474563
1900	0.449157
1901	0.536343
1902	0.584167
1903	0.550211
1904	0.594268
1905	0.63319
1906	0.512594
1907	0.468473
1908	0.596262
1909	0.538867
1910	0.579374
1911	0.594303
1912	0.492118
1913	0.534215
1914	0.533591
1915	0.482696
1916	0.463723
1917	0.452198
1918	0.503357
1919	0.490179
1920	0.504319
1921	0.545942
1922	0.561111
1923	0.550048
1924	0.500448
1925	0.62406
1926	0.677001
1927	0.66987
1928	0.684776
1929	0.531369
1930	0.459031
1931	0.406417
1932	0.471551
1933	0.485664
1934	0.597183
1935	0.558899
1936	0.619799
1937	0.576524
1938	0.544287
1939	0.517547
1940	0.52477
1941	0.532073
1942	0.484119
1943	0.479618
1944	0.530503
1945	0.569294
1946	0.593568
1947	0.505617
1948	0.519388
1949	0.4613
1950	0.499025
1951	0.512148
1952	0.620984
1953	0.78587
1954	0.694992
1955	0.664353
1956	0.798365
1957	0.802947
1958	0.817664
1959	0.770766
1960	0.624716
1961	0.705555
1962	0.861288
1963	0.839545
1964	0.792957
1965	0.719682
1966	0.801919
1967	0.770814
1968	0.876259
1969	0.981697
1970	0.84308
1971	0.792794
1972	0.796676
1973	0.73969
1974	0.733072
1975	0.797937
1976	0.783432
1977	0.84431
1978	0.951388
1979	0.945466
1980	0.941671
1981	0.976377
1982	1.05637
1983	1.07538
1984	1.08949
1985	1.14157
1986	1.20352
1987	1.21479
1988	1.22488
1989	1.18101
1990	1.06455
1991	1.00726
1992	0.932488
1993	0.973794
1994	1.06207
1995	0.99807
1996	1.10209
1997	1.13809
1998	1.12865
1999	1.17945
2000	1.21888
2001	1.29597
2002	1.37723
2003	1.32594
2004	1.04696
2005	0.998916
2006	1.03144
2007	0.931573
2008	1.01947
2009	0.987984
2010	1.02357
2011	1.02774
2012	0.996068
2013	1.02084
2014	1.00505
2015	1.00283
2016	1.02569
2017	1.04198
2018	0.98142
2019	0.849813
2020	0.840028
2021	0.852236
2022	0.996227
2023	1.10454
2024	1.07377
2025	0.981615
2026	1.0004
2027	0.915339
2028	0.985801
2029	1.13312
2030	1.13894
2031	1.09748
2032	1.07451
2033	1.10677
2034	1.11507
2035	1.02531
2036	0.882573
2037	0.786485
2038	0.862234
2039	1.03673
2040	1.11353
2041	1.16707
2042	1.20075
2043	1.15379
2044	0.952644
2045	0.904976
2046	0.974241
2047	0.977733
2048	0.84348
2049	0.796156
2050	0.813961
2051	0.850547
2052	0.928674
2053	0.958734
2054	1.00198
2055	1.03215
2056	1.09577
2057	1.00474
2058	0.888466
2059	0.87682
2060	0.812094
2061	0.851804
2062	0.796036
2063	0.806178
2064	0.76645
2065	0.761886
2066	0.711462
2067	0.737514
2068	0.770419
2069	0.858075
2070	0.790806
2071	0.831381
2072	0.718357
2073	0.722243
2074	0.757482
2075	0.842065
2076	0.868152
2077	0.900828
2078	1.00237
2079	1.0178
2080	1.08241
2081	1.06063
2082	0.85215
2083	0.932955
2084	0.955279
2085	0.824625
2086	0.870805
2087	0.96115
2088	1.02398
2089	0.967343
2090	0.879069
2091	0.819756
2092	0.890214
2093	1.01724
2094	1.04782
2095	0.955214
2096	0.890113
2097	0.945976
2098	1.00179
2099	0.938449
2100	0.959198
2101	0.890986
2102	0.829598
2103	0.810588
2104	0.754442
2105	0.848569
2106	0.849592
2107	0.942525
2108	0.865687
2109	0.809557
2110	0.632882
2111	0.751246
2112	0.732686
2113	0.911484
2114	1.03882
2115	1.02545
2116	0.967251
2117	0.994995
2118	0.99615
2119	0.980431
2120	0.809502
2121	0.749457
2122	0.73039
2123	0.73361
2124	0.792405
2125	1.01996
2126	1.06476
2127	0.925546
2128	0.809437
2129	0.763798
2130	0.682343
2131	0.736478
2132	0.737494
2133	0.824601
2134	0.892827
2135	0.942516
2136	1.00933
2137	0.922498
2138	0.792644
2139	0.780541
2140	0.820386
2141	0.741114
2142	0.831767
2143	0.842698
2144	0.875294
2145	0.779373
2146	0.660969
2147	0.70203
2148	0.732309
2149	0.698565
2150	0.79185
2151	0.914194
2152	0.871983
2153	0.7771
2154	0.811856
2155	0.660185
2156	0.791743
2157	0.843687
2158	0.715239
2159	0.758237
2160	0.687619
2161	0.75442
2162	0.821057
2163	0.776642
2164	0.677689
2165	0.611761
2166	0.71615
2167	0.784568
2168	0.792752
2169	0.780079
2170	0.757414
2171	0.776936
2172	0.835439
2173	0.776625
2174	0.748098
2175	0.816846
2176	0.812166
2177	0.914392
2178	0.913127
2179	0.871843
2180	0.924336
2181	0.88315
2182	0.827457
2183	0.76376
2184	0.66906
2185	0.837195
2186	0.895493
2187	0.943584
2188	0.828421
2189	0.791507
2190	0.806689
2191	0.827148
2192	0.851663
2193	0.817688
2194	0.887508
2195	0.819273
2196	0.83808
2197	0.862085
2198	0.795085
2199	0.728678
2200	0.732664
