Year	O2debt
1850	2.93706
1851	2.77166
1852	3.22609
1853	2.96417
1854	2.64291
1855	3.18029
1856	2.93536
1857	3.03353
1858	2.47859
1859	2.90396
1860	3.54277
1861	2.70568
1862	2.91559
1863	2.48511
1864	2.76287
1865	3.24979
1866	3.49803
1867	3.1712
1868	3.07595
1869	2.70376
1870	3.59654
1871	3.50389
1872	3.20974
1873	2.9448
1874	3.14413
1875	3.30513
1876	2.20427
1877	3.3342
1878	3.92015
1879	3.54225
1880	2.70993
1881	2.87106
1882	2.64426
1883	2.63377
1884	3.10114
1885	2.93382
1886	3.08262
1887	2.71331
1888	3.6837
1889	3.16766
1890	2.83901
1891	3.02789
1892	3.04394
1893	3.29289
1894	3.21738
1895	2.82856
1896	2.89293
1897	2.46485
1898	2.50862
1899	3.70836
1900	3.77643
1901	3.03297
1902	3.30633
1903	2.83544
1904	2.93199
1905	2.77916
1906	2.65665
1907	2.53877
1908	3.12288
1909	3.26762
1910	3.45883
1911	2.69272
1912	3.04128
1913	3.2888
1914	3.01286
1915	2.97888
1916	2.98247
1917	3.8656
1918	4.14404
1919	3.55972
1920	2.74518
1921	2.12794
1922	2.80235
1923	3.70454
1924	5.28461
1925	3.95228
1926	3.58053
1927	3.49834
1928	3.34467
1929	3.79706
1930	4.11962
1931	4.30937
1932	3.71574
1933	3.39968
1934	2.85707
1935	3.04641
1936	4.73019
1937	4.13591
1938	3.29848
1939	3.85307
1940	3.9175
1941	4.29825
1942	3.45526
1943	3.07133
1944	3.52638
1945	3.97883
1946	3.15083
1947	3.29564
1948	3.75697
1949	3.83355
1950	3.38535
1951	4.9066
1952	4.61542
1953	4.80779
1954	4.7865
1955	5.43622
1956	3.42431
1957	4.04108
1958	5.31407
1959	4.32099
1960	3.9832
1961	3.94772
1962	5.82049
1963	6.73072
1964	5.64813
1965	4.80479
1966	5.1981
1967	4.45562
1968	5.39929
1969	3.77161
1970	5.06606
1971	7.43881
1972	5.8112
1973	5.72966
1974	5.82875
1975	9.00827
1976	5.61614
1977	6.11569
1978	8.53113
1979	9.12117
1980	8.43566
1981	9.87744
1982	11.6138
1983	9.4184
1984	6.48442
1985	7.39752
1986	7.87174
1987	7.57101
1988	9.19243
1989	7.80787
1990	8.31069
1991	6.98029
1992	6.6266
1993	7.12635
1994	6.82993
1995	7.20685
1996	7.22872
1997	7.5115
1998	10.0596
1999	10.7212
2000	11.31
2001	14.1459
2002	11.1158
2003	5.83308
2004	8.59265
2005	10.8995
2006	9.22685
2007	7.07048
2008	7.29901
2009	7.51192
2010	8.04123
2011	6.85431
2012	6.79988
2013	6.82152
2014	7.00756
2015	6.14361
2016	7.77603
2017	6.98904
2018	10.326
2019	10.1885
2020	9.25528
2021	6.6641
2022	6.19752
2023	6.76015
2024	7.05902
2025	5.90668
2026	5.38201
2027	6.70746
2028	5.82674
2029	5.84507
2030	6.2173
2031	6.4171
2032	6.14592
2033	6.37871
2034	5.77831
2035	6.35883
2036	6.87289
2037	5.77164
2038	7.28624
2039	7.88188
2040	5.89414
2041	5.20137
2042	5.16883
2043	4.74604
2044	6.35817
2045	8.30362
2046	7.75511
2047	4.98719
2048	4.12141
2049	4.89666
2050	4.00077
2051	4.15347
2052	4.65153
2053	5.69647
2054	5.81585
2055	4.28139
2056	5.13086
2057	4.69417
2058	5.06786
2059	5.44124
2060	5.74002
2061	5.09703
2062	5.0399
2063	5.3065
2064	4.86268
2065	5.26126
2066	5.84979
2067	5.09986
2068	5.16873
2069	3.85541
2070	5.3452
2071	4.73251
2072	5.14818
2073	5.05469
2074	4.83891
2075	4.78276
2076	4.62303
2077	4.5213
2078	5.18285
2079	5.33
2080	4.2108
2081	4.86337
2082	5.18657
2083	5.60775
2084	5.76147
2085	4.17852
2086	4.93719
2087	5.86496
2088	4.53793
2089	4.83885
2090	4.99034
2091	5.9992
2092	4.8235
2093	3.96255
2094	4.84008
2095	5.11989
2096	5.00387
2097	5.41413
2098	4.69723
2099	4.03039
2100	4.051
2101	4.6977
2102	4.12218
2103	4.0284
2104	5.64933
2105	4.09771
2106	4.12609
2107	4.34797
2108	5.08636
2109	3.61845
2110	4.30132
2111	4.64875
2112	4.56906
2113	4.47499
2114	4.8271
2115	5.11984
2116	4.06943
2117	4.60563
2118	5.4208
2119	5.78807
2120	4.16881
2121	4.04045
2122	3.85062
2123	3.61264
2124	4.44835
2125	4.58578
2126	3.4005
2127	3.92623
2128	3.84068
2129	4.55889
2130	4.4771
2131	4.73572
2132	4.69161
2133	4.21394
2134	3.60568
2135	4.99825
2136	5.17015
2137	4.28875
2138	3.45923
2139	3.88047
2140	4.57633
2141	4.85798
2142	4.97824
2143	4.09658
2144	4.72776
2145	5.6171
2146	5.27609
2147	4.1803
2148	3.75605
2149	4.99789
2150	4.6736
2151	4.31209
2152	3.7695
2153	3.47064
2154	4.408
2155	4.13227
2156	3.63899
2157	5.04436
2158	5.42467
2159	5.41201
2160	3.97525
2161	4.0997
2162	4.6157
2163	3.93092
2164	4.8551
2165	3.92895
2166	4.07289
2167	4.41603
2168	3.98808
2169	4.24905
2170	5.85615
2171	4.34421
2172	4.43358
2173	4.29633
2174	4.07916
2175	3.89933
2176	4.04557
2177	3.86231
2178	4.26279
2179	5.14014
2180	4.83946
2181	4.37712
2182	3.51216
2183	3.81872
2184	3.33313
2185	4.36353
2186	4.94732
2187	3.40625
2188	4.81164
2189	5.94298
2190	5.00387
2191	4.03999
2192	3.55919
2193	4.26831
2194	3.76562
2195	4.06065
2196	4.46297
2197	4.56454
2198	4.27596
2199	4.36777
2200	4.30579
