Year	O2debt
1850	0.758278
1851	0.895153
1852	0.95187
1853	0.965773
1854	1.06992
1855	1.13519
1856	1.19871
1857	1.26853
1858	1.23511
1859	1.24602
1860	1.27385
1861	1.38243
1862	1.42872
1863	1.42521
1864	1.34067
1865	1.25656
1866	1.20216
1867	1.19196
1868	1.17551
1869	1.15501
1870	1.22751
1871	1.38358
1872	1.40846
1873	1.37561
1874	1.31326
1875	1.31153
1876	1.31437
1877	1.39218
1878	1.30471
1879	1.31101
1880	1.3002
1881	1.27224
1882	1.20968
1883	1.15038
1884	1.13115
1885	1.14341
1886	1.15701
1887	1.17446
1888	1.19332
1889	1.19255
1890	1.22488
1891	1.21834
1892	1.24409
1893	1.29645
1894	1.31416
1895	1.32394
1896	1.32403
1897	1.30673
1898	1.31437
1899	1.32298
1900	1.24329
1901	1.23472
1902	1.26396
1903	1.28369
1904	1.25085
1905	1.23605
1906	1.1781
1907	1.22858
1908	1.2991
1909	1.30539
1910	1.33216
1911	1.35279
1912	1.35098
1913	1.31666
1914	1.26959
1915	1.20368
1916	1.15545
1917	1.21129
1918	1.28881
1919	1.35791
1920	1.34399
1921	1.32025
1922	1.30651
1923	1.28858
1924	1.37608
1925	1.43749
1926	1.44861
1927	1.44633
1928	1.48604
1929	1.52889
1930	1.49268
1931	1.51066
1932	1.44884
1933	1.52844
1934	1.53679
1935	1.57518
1936	1.62947
1937	1.49416
1938	1.45312
1939	1.35761
1940	1.38089
1941	1.48749
1942	1.54433
1943	1.34142
1944	1.23757
1945	1.2334
1946	1.28123
1947	1.39554
1948	1.47346
1949	1.36382
1950	1.33831
1951	0.910561
1952	1.06457
1953	1.28311
1954	1.32052
1955	1.37296
1956	1.46294
1957	1.57421
1958	1.69888
1959	1.77058
1960	1.76979
1961	1.80105
1962	1.87084
1963	1.96478
1964	1.99874
1965	2.01074
1966	2.07778
1967	2.15936
1968	2.2303
1969	2.33
1970	2.43878
1971	2.37487
1972	2.15973
1973	2.0627
1974	1.99171
1975	2.01951
1976	1.95976
1977	1.98047
1978	2.09275
1979	2.30359
1980	2.37977
1981	2.51602
1982	2.79976
1983	2.83498
1984	2.68333
1985	2.75985
1986	2.98604
1987	3.10522
1988	3.17919
1989	3.16026
1990	3.18088
1991	3.20145
1992	2.98729
1993	2.76515
1994	2.70066
1995	2.64036
1996	2.89092
1997	2.95424
1998	2.83749
1999	2.97872
2000	2.99131
2001	3.11042
2002	3.22951
2003	3.26319
2004	3.26963
2005	3.06175
2006	3.01455
2007	2.89827
2008	2.85032
2009	2.92227
2010	3.14507
2011	3.3711
2012	3.4853
2013	3.58579
2014	3.67037
2015	3.82708
2016	3.84902
2017	3.63784
2018	3.51269
2019	3.29638
2020	3.23391
2021	3.07939
2022	2.95096
2023	2.90047
2024	2.87914
2025	2.78134
2026	2.5852
2027	2.43613
2028	1.32717
2029	1.71009
2030	1.98734
2031	2.23417
2032	2.25841
2033	2.435
2034	2.65305
2035	2.72058
2036	2.6537
2037	2.67081
2038	2.70825
2039	2.8121
2040	2.9088
2041	2.59471
2042	2.47128
2043	2.46466
2044	2.42094
2045	2.58742
2046	2.86146
2047	2.99307
2048	3.00914
2049	2.96684
2050	3.01121
2051	3.12565
2052	3.08495
2053	3.25292
2054	3.26345
2055	3.17429
2056	3.09868
2057	2.89108
2058	2.68953
2059	2.4386
2060	2.25489
2061	2.2334
2062	2.28092
2063	2.38497
2064	2.43584
2065	2.2961
2066	1.37313
2067	1.62972
2068	1.76142
2069	1.96291
2070	2.04727
2071	2.18962
2072	2.13738
2073	2.14573
2074	2.24006
2075	2.36127
2076	2.29899
2077	2.33018
2078	2.31509
2079	2.40489
2080	2.4265
2081	2.4148
2082	2.4282
2083	2.41548
2084	2.45299
2085	2.468
2086	2.42345
2087	2.5327
2088	2.62576
2089	2.73201
2090	2.72993
2091	2.6711
2092	2.6012
2093	2.58244
2094	2.51197
2095	2.40955
2096	2.36931
2097	2.36852
2098	2.4354
2099	2.45652
2100	2.39337
2101	2.41913
2102	2.4013
2103	2.47554
2104	2.4861
2105	2.47518
2106	2.26577
2107	2.31235
2108	2.25095
2109	2.28144
2110	2.35054
2111	2.33938
2112	1.13425
2113	1.39899
2114	1.63051
2115	1.72012
2116	1.69003
2117	1.3575
2118	1.64088
2119	1.79003
2120	1.81682
2121	1.89266
2122	1.9008
2123	1.9444
2124	2.03942
2125	2.06494
2126	2.08825
2127	2.08681
2128	2.08602
2129	2.08178
2130	2.07059
2131	2.19662
2132	2.25378
2133	2.34837
2134	2.40644
2135	2.45622
2136	2.45873
2137	2.42788
2138	2.52195
2139	2.53174
2140	2.51159
2141	2.40612
2142	2.33654
2143	2.3833
2144	2.38544
2145	2.21481
2146	2.067
2147	1.97781
2148	2.07502
2149	2.02504
2150	2.17283
2151	2.31988
2152	2.31743
2153	2.27065
2154	2.25345
2155	2.29027
2156	2.26314
2157	2.18519
2158	2.14292
2159	2.17143
2160	2.1176
2161	2.16169
2162	2.17534
2163	2.2208
2164	2.0791
2165	2.02707
2166	2.13049
2167	2.17396
2168	2.15636
2169	2.04964
2170	2.04073
2171	2.07993
2172	2.31907
2173	2.19719
2174	1.17491
2175	1.44435
2176	1.65229
2177	1.93583
2178	2.00368
2179	2.15143
2180	2.36238
2181	2.42282
2182	2.46256
2183	2.55228
2184	1.19657
2185	1.52095
2186	1.69335
2187	1.75786
2188	1.78108
2189	1.85929
2190	1.90484
2191	1.93362
2192	2.05421
2193	2.19179
2194	2.12539
2195	2.07256
2196	2.09916
2197	2.13591
2198	2.13212
2199	2.14459
2200	2.21946
