Year	O2debt
1850	1.03054
1851	0.929051
1852	0.283932
1853	0.499301
1854	0.820741
1855	1.26089
1856	0.969477
1857	0.282477
1858	0.328628
1859	0.502305
1860	1.21812
1861	0.632858
1862	0.961895
1863	0.450776
1864	0.420971
1865	0.863082
1866	0.217766
1867	0.514404
1868	0.465613
1869	0.791297
1870	0.904341
1871	1.74952
1872	0.551756
1873	0.483848
1874	0.349585
1875	0.874825
1876	1.14764
1877	1.46662
1878	0.307682
1879	0.825032
1880	0.50445
1881	1.03326
1882	0.342569
1883	0.661901
1884	0.320556
1885	0.447436
1886	0.574766
1887	0.323926
1888	1.25239
1889	1.11423
1890	0.414143
1891	0.749465
1892	0.777813
1893	0.605226
1894	0.30267
1895	1.00716
1896	0.699273
1897	0.357875
1898	0.958178
1899	0.395452
1900	0.80592
1901	0.522856
1902	0.534907
1903	0.669952
1904	0.33871
1905	0.319709
1906	0.459274
1907	0.589269
1908	0.693348
1909	0.766404
1910	0.275008
1911	0.539194
1912	0.511494
1913	0.25553
1914	0.320063
1915	0.497321
1916	0.586766
1917	0.900451
1918	0.685624
1919	0.786236
1920	0.475145
1921	0.354796
1922	0.878108
1923	0.88513
1924	1.33587
1925	0.257346
1926	0.902265
1927	0.565347
1928	0.768483
1929	0.842657
1930	0.573483
1931	0.883259
1932	0.790742
1933	0.592174
1934	0.683221
1935	0.482105
1936	0.767426
1937	0.51195
1938	0.413475
1939	0.547772
1940	1.35739
1941	1.38598
1942	1.45533
1943	0.703341
1944	0.54612
1945	1.036
1946	0.45203
1947	1.46399
1948	0.801282
1949	0.481101
1950	0.856723
1951	0.904908
1952	0.758506
1953	0.882862
1954	0.733886
1955	1.05333
1956	1.56903
1957	0.990272
1958	1.57047
1959	0.840161
1960	1.21196
1961	0.437703
1962	1.48572
1963	2.3596
1964	1.06115
1965	1.94859
1966	2.31231
1967	1.36052
1968	1.42906
1969	1.66291
1970	2.67055
1971	1.34551
1972	1.1431
1973	1.42766
1974	1.19052
1975	1.14138
1976	2.01016
1977	2.56897
1978	2.02867
1979	2.94801
1980	1.81482
1981	2.99284
1982	3.35802
1983	2.81572
1984	2.28253
1985	2.5473
1986	3.46074
1987	3.88638
1988	2.13214
1989	1.87314
1990	2.94432
1991	2.79105
1992	2.72417
1993	2.65708
1994	3.29501
1995	2.88162
1996	4.15915
1997	2.35684
1998	2.95043
1999	3.06441
2000	3.17146
2001	2.98382
2002	1.78342
2003	2.83476
2004	2.61111
2005	1.69297
2006	2.66211
2007	2.25033
2008	3.44766
2009	3.23139
2010	3.09294
2011	2.16756
2012	2.5574
2013	2.7929
2014	2.93861
2015	2.6149
2016	2.57605
2017	3.07107
2018	2.90234
2019	2.58255
2020	2.5341
2021	2.25716
2022	3.25025
2023	1.56727
2024	2.03813
2025	2.35521
2026	1.75293
2027	3.39769
2028	1.79364
2029	2.00636
2030	1.96318
2031	2.21699
2032	3.50934
2033	2.13638
2034	3.08396
2035	1.74417
2036	2.17732
2037	2.18265
2038	3.08554
2039	2.28102
2040	1.90388
2041	1.3918
2042	2.68743
2043	1.7546
2044	2.11422
2045	1.52276
2046	1.61757
2047	1.58431
2048	2.98153
2049	1.7421
2050	2.27808
2051	2.82064
2052	2.86893
2053	1.58378
2054	1.31147
2055	2.2401
2056	1.75651
2057	1.41277
2058	1.81468
2059	1.87585
2060	1.97145
2061	1.46908
2062	1.61868
2063	2.34444
2064	1.52624
2065	1.36989
2066	2.48125
2067	1.33901
2068	1.92676
2069	2.21116
2070	2.00713
2071	1.62332
2072	1.67376
2073	1.28038
2074	1.42513
2075	1.32997
2076	1.13786
2077	1.66202
2078	1.80664
2079	1.77078
2080	1.47095
2081	1.88412
2082	2.38423
2083	1.61147
2084	1.79501
2085	1.61376
2086	1.10227
2087	1.80498
2088	1.90148
2089	1.7075
2090	1.71051
2091	1.71291
2092	1.34226
2093	1.77763
2094	2.34958
2095	1.68122
2096	1.41748
2097	1.68621
2098	1.27322
2099	1.24161
2100	1.38567
2101	1.43066
2102	2.17529
2103	1.70092
2104	1.3655
2105	1.14364
2106	1.68508
2107	1.56332
2108	1.21563
2109	1.16848
2110	1.88581
2111	1.51211
2112	1.57407
2113	1.58199
2114	1.29377
2115	1.05387
2116	1.63142
2117	2.53107
2118	1.21117
2119	1.67839
2120	1.73656
2121	1.53864
2122	1.49724
2123	1.69565
2124	1.06696
2125	1.6859
2126	1.08385
2127	1.62187
2128	1.12704
2129	1.65961
2130	1.27206
2131	1.51386
2132	1.4187
2133	1.75035
2134	1.86658
2135	1.1055
2136	1.46022
2137	1.24752
2138	2.30271
2139	1.57265
2140	1.42816
2141	1.88366
2142	0.908145
2143	1.74727
2144	1.32555
2145	1.18675
2146	2.17255
2147	0.965485
2148	1.57832
2149	1.14154
2150	1.75818
2151	1.41351
2152	1.2582
2153	1.27837
2154	1.82791
2155	1.21959
2156	2.72686
2157	1.22426
2158	2.13766
2159	1.63608
2160	2.78153
2161	1.96339
2162	1.22922
2163	1.46079
2164	1.23977
2165	0.849192
2166	1.32577
2167	1.20881
2168	1.33195
2169	1.18314
2170	0.968189
2171	1.60976
2172	2.55201
2173	2.18884
2174	1.33247
2175	1.4193
2176	1.0644
2177	1.88548
2178	2.19471
2179	1.52111
2180	1.68898
2181	1.24197
2182	1.42791
2183	1.55018
2184	1.894
2185	1.25136
2186	1.38462
2187	1.056
2188	1.44038
2189	1.38072
2190	1.43227
2191	1.01659
2192	1.69384
2193	0.943677
2194	0.904635
2195	1.76397
2196	1.03936
2197	0.932277
2198	2.45282
2199	1.38877
2200	1.90615
