Year	O2debt
1850	0.504526
1851	0.548195
1852	0.42549
1853	0.761114
1854	0.678577
1855	0.678152
1856	0.513936
1857	0.6621
1858	0.551214
1859	0.596403
1860	0.643914
1861	0.762512
1862	0.494953
1863	0.570679
1864	0.621116
1865	0.610048
1866	0.514961
1867	0.412037
1868	0.548984
1869	0.646651
1870	0.773404
1871	0.802158
1872	0.691294
1873	0.677821
1874	0.474499
1875	0.531913
1876	0.580794
1877	0.547915
1878	0.851404
1879	0.599987
1880	0.506455
1881	0.489263
1882	0.659611
1883	0.64794
1884	0.469602
1885	0.751721
1886	0.555317
1887	0.700698
1888	0.602825
1889	0.561851
1890	0.710954
1891	0.738582
1892	0.659642
1893	0.662753
1894	0.851989
1895	0.79508
1896	0.782102
1897	0.866758
1898	0.640057
1899	0.515587
1900	0.671844
1901	0.498831
1902	0.597261
1903	0.554093
1904	0.497683
1905	0.455992
1906	0.692466
1907	0.830065
1908	0.671211
1909	0.793585
1910	0.618609
1911	0.689981
1912	0.794944
1913	0.672175
1914	0.603402
1915	0.863582
1916	0.617411
1917	0.835036
1918	0.968123
1919	0.770711
1920	0.785108
1921	0.742919
1922	0.735225
1923	0.679975
1924	0.967157
1925	0.834312
1926	0.919248
1927	0.834262
1928	0.920746
1929	0.919753
1930	0.886838
1931	0.755323
1932	0.990778
1933	1.07054
1934	1.06865
1935	1.08287
1936	1.03848
1937	1.04796
1938	0.842302
1939	0.840273
1940	1.15208
1941	0.951966
1942	0.870677
1943	1.08993
1944	0.951121
1945	1.09861
1946	1.14131
1947	1.1117
1948	1.0605
1949	1.05781
1950	1.29978
1951	1.16824
1952	1.33055
1953	1.24521
1954	1.05679
1955	0.997313
1956	0.946916
1957	1.08171
1958	1.14002
1959	1.71847
1960	1.75703
1961	1.49953
1962	1.22684
1963	1.40872
1964	1.51454
1965	1.51173
1966	1.91813
1967	1.43908
1968	1.83886
1969	1.40389
1970	1.58665
1971	1.52726
1972	1.8986
1973	1.49976
1974	2.01009
1975	1.79065
1976	2.10086
1977	2.02903
1978	1.79421
1979	2.05803
1980	2.08559
1981	2.01205
1982	2.39226
1983	2.17149
1984	2.48364
1985	2.3201
1986	2.20317
1987	2.82033
1988	2.38385
1989	2.29928
1990	2.46776
1991	2.20402
1992	2.51195
1993	2.3875
1994	2.18994
1995	2.52008
1996	2.3446
1997	3.12338
1998	2.44719
1999	2.59534
2000	2.57175
2001	2.56958
2002	2.56676
2003	2.40041
2004	2.3496
2005	2.23241
2006	2.22686
2007	2.31633
2008	1.83403
2009	2.0312
2010	2.67112
2011	2.58928
2012	2.40318
2013	2.36599
2014	2.09658
2015	2.60245
2016	2.10092
2017	2.11167
2018	2.80977
2019	2.25788
2020	2.39129
2021	2.76877
2022	1.83531
2023	2.38511
2024	2.18237
2025	2.22031
2026	2.29575
2027	2.58567
2028	2.31311
2029	2.2642
2030	2.49558
2031	2.06436
2032	3.06871
2033	2.47976
2034	2.38227
2035	2.07524
2036	1.70205
2037	1.98319
2038	2.3022
2039	2.03476
2040	2.02146
2041	1.4358
2042	2.17132
2043	1.79082
2044	2.04759
2045	2.41097
2046	2.29295
2047	1.92864
2048	1.92011
2049	1.79862
2050	2.21612
2051	2.59356
2052	2.17549
2053	2.16913
2054	1.91779
2055	2.18199
2056	2.08451
2057	1.8464
2058	2.3248
2059	1.88613
2060	2.67731
2061	2.21669
2062	2.03943
2063	2.2413
2064	1.861
2065	1.77361
2066	2.13725
2067	2.11435
2068	2.17387
2069	2.02784
2070	1.94538
2071	2.13681
2072	2.71861
2073	2.22173
2074	2.47237
2075	1.92362
2076	2.01686
2077	2.28477
2078	1.99542
2079	2.94317
2080	2.04218
2081	1.99585
2082	2.39731
2083	1.9668
2084	2.07628
2085	1.94536
2086	1.80827
2087	2.57189
2088	2.15759
2089	2.46215
2090	2.08968
2091	2.12527
2092	2.53838
2093	1.98478
2094	1.87006
2095	2.668
2096	1.981
2097	2.46896
2098	2.36944
2099	2.44509
2100	1.9807
2101	2.03223
2102	1.81362
2103	2.31588
2104	2.22617
2105	1.62087
2106	2.1601
2107	1.62677
2108	2.47877
2109	2.08009
2110	2.56038
2111	2.05794
2112	1.86026
2113	2.06866
2114	2.38571
2115	2.10872
2116	2.18332
2117	2.02059
2118	2.14564
2119	1.89119
2120	2.02125
2121	2.01641
2122	2.0347
2123	2.08002
2124	2.18278
2125	1.97599
2126	2.18536
2127	2.2391
2128	1.7381
2129	1.77693
2130	2.0085
2131	1.90177
2132	2.03522
2133	2.35703
2134	2.3039
2135	2.11012
2136	1.96077
2137	2.09164
2138	1.99284
2139	2.46069
2140	2.38016
2141	1.85405
2142	1.98363
2143	1.88953
2144	2.26302
2145	2.0477
