Year	O2debt
1850	0.183417
1851	0.298864
1852	0.366719
1853	0.472542
1854	0.455403
1855	0.432012
1856	0.455091
1857	0.482667
1858	0.494005
1859	0.471143
1860	0.434137
1861	0.524601
1862	0.557989
1863	0.54292
1864	0.512362
1865	0.520881
1866	0.515608
1867	0.510896
1868	0.528301
1869	0.581197
1870	0.533586
1871	0.538696
1872	0.578059
1873	0.543646
1874	0.470365
1875	0.521668
1876	0.585102
1877	0.632578
1878	0.490929
1879	0.434689
1880	0.51145
1881	0.506396
1882	0.480074
1883	0.532329
1884	0.519359
1885	0.509585
1886	0.512694
1887	0.502005
1888	0.491312
1889	0.484464
1890	0.516061
1891	0.573727
1892	0.569056
1893	0.557516
1894	0.546129
1895	0.517869
1896	0.474515
1897	0.482134
1898	0.469477
1899	0.474563
1900	0.449157
1901	0.536343
1902	0.584167
1903	0.550211
1904	0.594268
1905	0.63319
1906	0.512594
1907	0.468473
1908	0.596262
1909	0.538867
1910	0.579374
1911	0.594303
1912	0.492118
1913	0.534215
1914	0.533591
1915	0.482696
1916	0.463723
1917	0.452198
1918	0.503357
1919	0.490179
1920	0.504319
1921	0.545942
1922	0.561111
1923	0.550048
1924	0.500448
1925	0.62406
1926	0.677001
1927	0.66987
1928	0.684776
1929	0.531369
1930	0.459031
1931	0.406417
1932	0.471551
1933	0.485664
1934	0.597183
1935	0.558899
1936	0.619799
1937	0.576524
1938	0.544287
1939	0.517547
1940	0.52477
1941	0.532073
1942	0.484119
1943	0.479618
1944	0.530503
1945	0.569294
1946	0.593568
1947	0.505617
1948	0.519388
1949	0.4613
1950	0.499025
1951	0.512148
1952	0.620984
1953	0.78587
1954	0.694992
1955	0.664353
1956	0.798365
1957	0.802947
1958	0.817664
1959	0.770766
1960	0.624716
1961	0.705555
1962	0.861288
1963	0.839545
1964	0.792957
1965	0.719682
1966	0.801919
1967	0.770814
1968	0.876259
1969	0.981697
1970	0.84308
1971	0.792794
1972	0.796676
1973	0.73969
1974	0.733072
1975	0.797937
1976	0.783432
1977	0.84431
1978	0.951388
1979	0.945466
1980	0.941671
1981	0.976377
1982	1.05637
1983	1.07538
1984	1.08949
1985	1.14157
1986	1.20352
1987	1.21479
1988	1.22488
1989	1.18101
1990	1.06455
1991	1.00726
1992	0.932488
1993	0.973794
1994	1.06207
1995	0.99807
1996	1.10209
1997	1.13809
1998	1.12865
1999	1.17945
2000	1.21888
2001	1.29597
2002	1.37723
2003	1.32594
2004	1.04696
2005	0.998916
2006	1.03144
2007	0.931573
2008	1.01947
2009	0.987927
2010	1.02349
2011	1.02762
2012	0.995924
2013	1.02069
2014	1.00492
2015	1.00272
2016	1.02569
2017	1.0424
2018	0.982234
2019	0.851099
2020	0.842175
2021	0.855166
2022	1.00093
2023	1.11121
2024	1.08222
2025	0.990873
2026	1.01118
2027	0.927594
2028	1.00032
2029	1.1521
2030	1.16163
2031	1.12226
2032	1.10263
2033	1.13814
2034	1.14931
2035	1.06358
2036	0.921112
2037	0.825802
2038	0.904749
2039	1.08854
2040	1.17165
2041	1.22824
2042	1.26376
2043	1.21757
2044	1.01448
2045	0.971952
2046	1.04544
2047	1.04729
2048	0.908644
2049	0.853
2050	0.87211
2051	0.911511
2052	0.99502
2053	1.03232
2054	1.08058
2055	1.11753
2056	1.19036
2057	1.09529
2058	0.972177
2059	0.959607
2060	0.894437
2061	0.939547
2062	0.887723
2063	0.90323
2064	0.870421
2065	0.862842
2066	0.812781
2067	0.844008
2068	0.87824
2069	0.965396
2070	0.89076
2071	0.933634
2072	0.815083
2073	0.81768
2074	0.855253
2075	0.943079
2076	0.970712
2077	1.01179
2078	1.1184
2079	1.13557
2080	1.20127
2081	1.17459
2082	0.949663
2083	1.03986
2084	1.06617
2085	0.925206
2086	0.975169
2087	1.06679
2088	1.13427
2089	1.07227
2090	0.980061
2091	0.925959
2092	1.00315
2093	1.13325
2094	1.17047
2095	1.07883
2096	1.00484
2097	1.06466
2098	1.12204
2099	1.05029
2100	1.07584
2101	1.00206
2102	0.945018
2103	0.92741
2104	0.871402
2105	0.961159
2106	0.967632
2107	1.06954
2108	0.992586
2109	0.938789
2110	0.756767
2111	0.885969
2112	0.864595
2113	1.05916
2114	1.20364
2115	1.18883
2116	1.11872
2117	1.1433
2118	1.1387
2119	1.11705
2120	0.925564
2121	0.862759
2122	0.843528
2123	0.844539
2124	0.903619
2125	1.15087
2126	1.19887
2127	1.0525
2128	0.933905
2129	0.89131
2130	0.805612
2131	0.866511
2132	0.865298
2133	0.954396
2134	1.0325
2135	1.08734
2136	1.15944
2137	1.06186
2138	0.920057
2139	0.913141
2140	0.956068
2141	0.871892
2142	0.973379
2143	0.988171
2144	1.019
2145	0.911431
2146	0.784599
2147	0.829083
2148	0.867201
2149	0.836523
2150	0.944241
2151	1.0811
2152	1.03665
2153	0.937122
2154	0.979497
2155	0.811869
2156	0.954819
2157	1.0136
2158	0.87741
2159	0.928681
2160	0.846498
2161	0.915075
2162	0.985173
2163	0.940963
2164	0.831671
2165	0.75695
2166	0.876179
2167	0.94579
2168	0.949268
2169	0.939222
2170	0.930895
2171	0.939244
2172	0.99896
2173	0.936229
2174	0.912198
2175	0.986618
2176	0.975643
2177	1.09531
2178	1.08958
2179	1.05252
2180	1.11453
2181	1.06521
2182	0.992438
2183	0.919622
2184	0.820782
2185	1.01247
2186	1.07491
2187	1.1253
2188	0.992511
2189	0.947894
2190	0.962322
2191	0.97986
2192	1.004
2193	0.96563
2194	1.03617
2195	0.956583
2196	0.982237
2197	1.00055
2198	0.937498
2199	0.867862
2200	0.875634
