Year	O2debt
1850	2.93706
1851	2.77166
1852	3.22609
1853	2.96417
1854	2.64291
1855	3.18029
1856	2.93536
1857	3.03353
1858	2.47859
1859	2.90396
1860	3.54277
1861	2.70568
1862	2.91559
1863	2.48511
1864	2.76287
1865	3.24979
1866	3.49803
1867	3.1712
1868	3.07595
1869	2.70376
1870	3.59654
1871	3.50389
1872	3.20974
1873	2.9448
1874	3.14413
1875	3.30513
1876	2.20427
1877	3.3342
1878	3.92015
1879	3.54225
1880	2.70993
1881	2.87106
1882	2.64426
1883	2.63377
1884	3.10114
1885	2.93382
1886	3.08262
1887	2.71331
1888	3.6837
1889	3.16766
1890	2.83901
1891	3.02789
1892	3.04394
1893	3.29289
1894	3.21738
1895	2.82856
1896	2.89293
1897	2.46485
1898	2.50862
1899	3.70836
1900	3.77643
1901	3.03297
1902	3.30633
1903	2.83544
1904	2.93199
1905	2.77916
1906	2.65665
1907	2.53877
1908	3.12288
1909	3.26762
1910	3.45883
1911	2.69272
1912	3.04128
1913	3.2888
1914	3.01286
1915	2.97888
1916	2.98247
1917	3.8656
1918	4.14404
1919	3.55972
1920	2.74518
1921	2.12794
1922	2.80235
1923	3.70454
1924	5.28461
1925	3.95228
1926	3.58053
1927	3.49834
1928	3.34467
1929	3.79706
1930	4.11962
1931	4.30937
1932	3.71574
1933	3.39968
1934	2.85707
1935	3.04641
1936	4.73019
1937	4.13591
1938	3.29848
1939	3.85307
1940	3.9175
1941	4.29825
1942	3.45526
1943	3.07133
1944	3.52638
1945	3.97883
1946	3.15083
1947	3.29564
1948	3.75697
1949	3.83355
1950	3.38535
1951	4.9066
1952	4.61542
1953	4.80779
1954	4.7865
1955	5.43622
1956	3.42431
1957	4.04108
1958	5.31407
1959	4.32099
1960	3.9832
1961	3.94772
1962	5.82049
1963	6.73072
1964	5.64813
1965	4.80479
1966	5.1981
1967	4.45562
1968	5.39929
1969	3.77161
1970	5.06606
1971	7.43881
1972	5.8112
1973	5.72966
1974	5.82875
1975	9.00827
1976	5.61614
1977	6.11569
1978	8.53113
1979	9.12117
1980	8.43566
1981	9.87744
1982	11.6138
1983	9.4184
1984	6.48442
1985	7.39752
1986	7.87174
1987	7.57101
1988	9.19243
1989	7.80787
1990	8.31069
1991	6.98029
1992	6.6266
1993	7.12635
1994	6.82993
1995	7.20685
1996	7.22872
1997	7.5115
1998	10.0596
1999	10.7212
2000	11.31
2001	14.1459
2002	11.1158
2003	5.83308
2004	8.59265
2005	10.8995
2006	9.22685
2007	7.10224
2008	7.40707
2009	7.69922
2010	8.33359
2011	7.16565
2012	7.16336
2013	7.27236
2014	7.49525
2015	6.66549
2016	8.5515
2017	7.76808
2018	11.6283
2019	11.526
2020	10.4915
2021	7.64616
2022	7.20108
2023	8.10797
2024	8.45791
2025	7.08612
2026	6.38701
2027	7.9675
2028	7.089
2029	7.00663
2030	7.64014
2031	7.90391
2032	7.71363
2033	8.02966
2034	7.24353
2035	7.85853
2036	8.93269
2037	7.5949
2038	9.38927
2039	10.5551
2040	7.87461
2041	6.69573
2042	6.77467
2043	6.18623
2044	8.6639
2045	11.7971
2046	11.0995
2047	7.29861
2048	5.58573
2049	6.55589
2050	5.3763
2051	5.67995
2052	6.36859
2053	7.84587
2054	8.35981
2055	6.0571
2056	7.14579
2057	6.44475
2058	6.89167
2059	7.55277
2060	8.10283
2061	7.3158
2062	7.34438
2063	7.56811
2064	6.87487
2065	7.51783
2066	8.43659
2067	7.54069
2068	7.4243
2069	5.51059
2070	7.71171
2071	6.8562
2072	7.48237
2073	7.63327
2074	7.01981
2075	6.984
2076	6.75205
2077	6.68445
2078	7.64582
2079	8.34131
2080	6.29868
2081	7.18564
2082	7.64303
2083	8.23993
2084	9.06977
2085	6.38918
2086	7.3908
2087	8.84687
2088	6.95522
2089	7.3146
2090	7.80524
2091	9.9982
2092	8.10089
2093	6.17411
2094	7.46977
2095	8.16746
2096	8.04282
2097	8.59265
2098	7.7322
2099	6.32655
2100	6.27399
2101	7.23481
2102	6.34286
2103	6.26789
2104	8.88071
2105	6.59563
2106	6.448
2107	6.73402
2108	7.87211
2109	5.74797
2110	6.76318
2111	7.30729
2112	7.24833
2113	7.1572
2114	8.04959
2115	8.71202
2116	6.67167
2117	7.34103
2118	9.11388
2119	10.0175
2120	6.83215
2121	6.49589
2122	6.09257
2123	5.7249
2124	7.08404
2125	7.32825
2126	5.4197
2127	6.31503
2128	6.10924
2129	7.20219
2130	7.35484
2131	7.5905
2132	7.60456
2133	6.94196
2134	5.81003
2135	7.98491
2136	8.70051
2137	7.33719
2138	5.66076
2139	6.31254
2140	7.44602
2141	7.8902
2142	8.23197
2143	6.6694
2144	7.77557
2145	9.51615
2146	9.51873
2147	7.1893
2148	6.26179
2149	8.30421
2150	8.03913
2151	7.32181
2152	6.28521
2153	5.74283
2154	7.23842
2155	6.7524
2156	5.91685
2157	8.08918
2158	9.20514
2159	9.44898
2160	6.7987
2161	6.67961
2162	7.37911
2163	6.35965
2164	7.91734
2165	6.30959
2166	6.52998
2167	7.01168
2168	6.35176
2169	6.84645
2170	9.66014
2171	7.35948
2172	7.23104
2173	6.89096
2174	6.62876
2175	6.52132
2176	6.66022
2177	6.38018
2178	6.88527
2179	8.62415
2180	8.55191
2181	7.59121
2182	5.79863
2183	6.22579
2184	5.44963
2185	7.16363
2186	7.94797
2187	5.55455
2188	7.75031
2189	10.0711
2190	8.92713
2191	6.72719
2192	5.81893
2193	6.92149
2194	6.06161
2195	6.51995
2196	7.32262
2197	7.71232
2198	7.1578
2199	7.19626
2200	7.04911
