Year	O2debt
1850	0.758278
1851	0.895153
1852	0.95187
1853	0.965773
1854	1.06992
1855	1.13519
1856	1.19871
1857	1.26853
1858	1.23511
1859	1.24602
1860	1.27385
1861	1.38243
1862	1.42872
1863	1.42521
1864	1.34067
1865	1.25656
1866	1.20216
1867	1.19196
1868	1.17551
1869	1.15501
1870	1.22751
1871	1.38358
1872	1.40846
1873	1.37561
1874	1.31326
1875	1.31153
1876	1.31437
1877	1.39218
1878	1.30471
1879	1.31101
1880	1.3002
1881	1.27224
1882	1.20968
1883	1.15038
1884	1.13115
1885	1.14341
1886	1.15701
1887	1.17446
1888	1.19332
1889	1.19255
1890	1.22488
1891	1.21834
1892	1.24409
1893	1.29645
1894	1.31416
1895	1.32394
1896	1.32403
1897	1.30673
1898	1.31437
1899	1.32298
1900	1.24329
1901	1.23472
1902	1.26396
1903	1.28369
1904	1.25085
1905	1.23605
1906	1.1781
1907	1.22858
1908	1.2991
1909	1.30539
1910	1.33216
1911	1.35279
1912	1.35098
1913	1.31666
1914	1.26959
1915	1.20368
1916	1.15545
1917	1.21129
1918	1.28881
1919	1.35791
1920	1.34399
1921	1.32025
1922	1.30651
1923	1.28858
1924	1.37608
1925	1.43749
1926	1.44861
1927	1.44633
1928	1.48604
1929	1.52889
1930	1.49268
1931	1.51066
1932	1.44884
1933	1.52844
1934	1.53679
1935	1.57518
1936	1.62947
1937	1.49416
1938	1.45312
1939	1.35761
1940	1.38089
1941	1.48749
1942	1.54433
1943	1.34142
1944	1.23757
1945	1.2334
1946	1.28123
1947	1.39554
1948	1.47346
1949	1.36382
1950	1.33831
1951	0.910561
1952	1.06457
1953	1.28311
1954	1.32052
1955	1.37296
1956	1.46294
1957	1.57421
1958	1.69888
1959	1.77058
1960	1.76979
1961	1.80105
1962	1.87084
1963	1.96478
1964	1.99874
1965	2.01074
1966	2.07778
1967	2.15936
1968	2.2303
1969	2.33
1970	2.43878
1971	2.37487
1972	2.15973
1973	2.0627
1974	1.99171
1975	2.01951
1976	1.95976
1977	1.98047
1978	2.09275
1979	2.30359
1980	2.37977
1981	2.51602
1982	2.79976
1983	2.83498
1984	2.68333
1985	2.75985
1986	2.98604
1987	3.10522
1988	3.17919
1989	3.16026
1990	3.18088
1991	3.20145
1992	2.98729
1993	2.76515
1994	2.70066
1995	2.64036
1996	2.89092
1997	2.95424
1998	2.83749
1999	2.97872
2000	2.99131
2001	3.11042
2002	3.22951
2003	3.26319
2004	3.26963
2005	3.06175
2006	3.01455
2007	2.89772
2008	2.85095
2009	2.92532
2010	3.15065
2011	3.38007
2012	3.49814
2013	3.60492
2014	3.69739
2015	3.85991
2016	3.88861
2017	3.6848
2018	3.56783
2019	3.35671
2020	3.30351
2021	3.15178
2022	3.03341
2023	2.9961
2024	2.99261
2025	2.90135
2026	2.70583
2027	2.56152
2028	1.41823
2029	1.81734
2030	2.1102
2031	2.36057
2032	2.38703
2033	2.5746
2034	2.81534
2035	2.90073
2036	2.82975
2037	2.84306
2038	2.89183
2039	3.01155
2040	3.12095
2041	2.78826
2042	2.67227
2043	2.66689
2044	2.64258
2045	2.83917
2046	3.15227
2047	3.31146
2048	3.34099
2049	3.28013
2050	3.32485
2051	3.43985
2052	3.39357
2053	3.57698
2054	3.63405
2055	3.55961
2056	3.48312
2057	3.24129
2058	3.00393
2059	2.73194
2060	2.52298
2061	2.53136
2062	2.58841
2063	2.72276
2064	2.79519
2065	2.62652
2066	1.58818
2067	1.88813
2068	2.03777
2069	2.28011
2070	2.37913
2071	2.55588
2072	2.49267
2073	2.50569
2074	2.62102
2075	2.76814
2076	2.69499
2077	2.74651
2078	2.73413
2079	2.83204
2080	2.86522
2081	2.85737
2082	2.86273
2083	2.8536
2084	2.91444
2085	2.92298
2086	2.87349
2087	3.01506
2088	3.1419
2089	3.26553
2090	3.2415
2091	3.15623
2092	3.09546
2093	3.06241
2094	2.9818
2095	2.87888
2096	2.84619
2097	2.84778
2098	2.94842
2099	2.96411
2100	2.89135
2101	2.9457
2102	2.95114
2103	3.00451
2104	2.99595
2105	2.95316
2106	2.68684
2107	2.74217
2108	2.69664
2109	2.76144
2110	2.84601
2111	2.85821
2112	1.39732
2113	1.72818
2114	2.02372
2115	2.15274
2116	2.12136
2117	1.69592
2118	2.0417
2119	2.24466
2120	2.26514
2121	2.36191
2122	2.3797
2123	2.41081
2124	2.50047
2125	2.55433
2126	2.60514
2127	2.60164
2128	2.61802
2129	2.60584
2130	2.56608
2131	2.74007
2132	2.80287
2133	2.92912
2134	2.98982
2135	3.03831
2136	3.07218
2137	3.06718
2138	3.18606
2139	3.18016
2140	3.15233
2141	2.99416
2142	2.9236
2143	3.01309
2144	3.03133
2145	2.82803
2146	2.6276
2147	2.49456
2148	2.57775
2149	2.48748
2150	2.68281
2151	2.86237
2152	2.88373
2153	2.85526
2154	2.85284
2155	2.86423
2156	2.82425
2157	2.74376
2158	2.72927
2159	2.75597
2160	2.66897
2161	2.70035
2162	2.711
2163	2.77137
2164	2.62812
2165	2.59131
2166	2.72106
2167	2.79158
2168	2.78583
2169	2.6217
2170	2.6098
2171	2.63249
2172	2.90935
2173	2.78622
2174	1.46324
2175	1.77196
2176	1.99111
2177	2.32538
2178	2.44915
2179	2.6311
2180	2.87563
2181	2.94596
2182	3.00039
2183	3.10746
2184	1.47631
2185	1.88641
2186	2.09392
2187	2.19264
2188	2.2422
2189	2.35237
2190	2.40768
2191	2.45712
2192	2.61119
2193	2.79385
2194	2.72966
2195	2.6377
2196	2.68953
2197	2.70738
2198	2.6887
2199	2.69167
2200	2.76804
