Year	O2debt
1850	1.03054
1851	0.929051
1852	0.283932
1853	0.499301
1854	0.820741
1855	1.26089
1856	0.969477
1857	0.282477
1858	0.328628
1859	0.502305
1860	1.21812
1861	0.632858
1862	0.961895
1863	0.450776
1864	0.420971
1865	0.863082
1866	0.217766
1867	0.514404
1868	0.465613
1869	0.791297
1870	0.904341
1871	1.74952
1872	0.551756
1873	0.483848
1874	0.349585
1875	0.874825
1876	1.14764
1877	1.46662
1878	0.307682
1879	0.825032
1880	0.50445
1881	1.03326
1882	0.342569
1883	0.661901
1884	0.320556
1885	0.447436
1886	0.574766
1887	0.323926
1888	1.25239
1889	1.11423
1890	0.414143
1891	0.749465
1892	0.777813
1893	0.605226
1894	0.30267
1895	1.00716
1896	0.699273
1897	0.357875
1898	0.958178
1899	0.395452
1900	0.80592
1901	0.522856
1902	0.534907
1903	0.669952
1904	0.33871
1905	0.319709
1906	0.459274
1907	0.589269
1908	0.693348
1909	0.766404
1910	0.275008
1911	0.539194
1912	0.511494
1913	0.25553
1914	0.320063
1915	0.497321
1916	0.586766
1917	0.900451
1918	0.685624
1919	0.786236
1920	0.475145
1921	0.354796
1922	0.878108
1923	0.88513
1924	1.33587
1925	0.257346
1926	0.902265
1927	0.565347
1928	0.768483
1929	0.842657
1930	0.573483
1931	0.883259
1932	0.790742
1933	0.592174
1934	0.683221
1935	0.482105
1936	0.767426
1937	0.51195
1938	0.413475
1939	0.547772
1940	1.35739
1941	1.38598
1942	1.45533
1943	0.703341
1944	0.54612
1945	1.036
1946	0.45203
1947	1.46399
1948	0.801282
1949	0.481101
1950	0.856723
1951	0.904908
1952	0.758506
1953	0.882862
1954	0.733886
1955	1.05333
1956	1.56903
1957	0.990272
1958	1.57047
1959	0.840161
1960	1.21196
1961	0.437703
1962	1.48572
1963	2.3596
1964	1.06115
1965	1.94859
1966	2.31231
1967	1.36052
1968	1.42906
1969	1.66291
1970	2.67055
1971	1.34551
1972	1.1431
1973	1.42766
1974	1.19052
1975	1.14138
1976	2.01016
1977	2.56897
1978	2.02867
1979	2.94801
1980	1.81482
1981	2.99284
1982	3.35802
1983	2.81572
1984	2.28253
1985	2.5473
1986	3.46074
1987	3.88638
1988	2.13214
1989	1.87314
1990	2.94432
1991	2.79105
1992	2.72417
1993	2.65708
1994	3.29501
1995	2.88162
1996	4.15915
1997	2.35684
1998	2.95043
1999	3.06441
2000	3.17146
2001	2.98382
2002	1.78342
2003	2.83476
2004	2.61111
2005	1.69297
2006	2.66211
2007	2.25484
2008	3.45944
2009	3.25006
2010	3.11685
2011	2.18925
2012	2.59794
2013	2.8469
2014	2.98979
2015	2.68364
2016	2.64705
2017	3.14072
2018	2.98811
2019	2.66936
2020	2.61733
2021	2.38978
2022	3.38894
2023	1.69838
2024	2.21205
2025	2.48297
2026	1.89461
2027	3.60439
2028	1.97666
2029	2.15825
2030	2.17602
2031	2.38154
2032	3.77443
2033	2.38494
2034	3.32462
2035	1.9352
2036	2.35979
2037	2.39128
2038	3.35912
2039	2.49075
2040	2.11881
2041	1.61684
2042	2.93544
2043	1.91511
2044	2.34145
2045	1.70413
2046	1.78603
2047	1.76073
2048	3.26913
2049	1.94358
2050	2.50023
2051	3.12985
2052	3.17397
2053	1.75129
2054	1.48879
2055	2.50764
2056	1.97312
2057	1.56289
2058	2.08471
2059	2.17393
2060	2.30671
2061	1.76665
2062	1.8705
2063	2.67615
2064	1.76811
2065	1.54953
2066	2.86414
2067	1.57754
2068	2.24544
2069	2.55672
2070	2.34117
2071	1.94099
2072	1.94905
2073	1.5127
2074	1.70355
2075	1.58852
2076	1.35565
2077	1.98917
2078	2.16163
2079	2.10567
2080	1.77392
2081	2.22322
2082	2.78482
2083	1.94659
2084	2.20265
2085	1.93511
2086	1.35079
2087	2.1589
2088	2.27585
2089	2.08763
2090	2.09866
2091	2.08841
2092	1.71739
2093	2.16032
2094	2.87009
2095	2.09682
2096	1.79386
2097	2.11816
2098	1.58395
2099	1.54615
2100	1.75847
2101	1.80637
2102	2.70815
2103	2.11194
2104	1.7348
2105	1.49817
2106	2.1984
2107	1.97743
2108	1.52591
2109	1.50342
2110	2.35588
2111	1.93993
2112	2.00852
2113	1.9909
2114	1.62963
2115	1.38741
2116	2.08341
2117	3.12102
2118	1.5677
2119	2.16247
2120	2.25475
2121	1.96106
2122	1.96716
2123	2.21373
2124	1.39807
2125	2.22905
2126	1.44246
2127	2.0764
2128	1.5312
2129	2.17856
2130	1.74347
2131	1.97259
2132	1.86293
2133	2.27704
2134	2.44803
2135	1.43747
2136	1.9287
2137	1.65834
2138	2.89095
2139	2.09199
2140	1.87858
2141	2.42462
2142	1.19132
2143	2.2766
2144	1.75516
2145	1.63495
2146	2.81251
2147	1.32375
2148	2.05526
2149	1.48935
2150	2.29308
2151	1.92912
2152	1.7145
2153	1.69419
2154	2.42009
2155	1.70977
2156	3.50301
2157	1.68636
2158	2.88258
2159	2.22038
2160	3.57666
2161	2.62064
2162	1.6918
2163	1.93469
2164	1.70639
2165	1.21874
2166	1.74467
2167	1.66363
2168	1.83809
2169	1.60913
2170	1.30737
2171	2.15974
2172	3.28307
2173	2.89309
2174	1.84397
2175	1.86948
2176	1.47557
2177	2.45467
2178	2.95067
2179	2.05084
2180	2.26606
2181	1.7139
2182	1.93081
2183	2.06509
2184	2.60606
2185	1.80448
2186	1.84181
2187	1.47664
2188	1.9421
2189	2.01152
2190	1.9925
2191	1.46377
2192	2.35366
2193	1.35647
2194	1.2997
2195	2.41271
2196	1.47087
2197	1.30834
2198	3.33597
2199	1.97932
2200	2.5906
