Year	Chla	Secchi	DIN	PO4
1850	0.384060658	8.373510609	2.124231143	0.246677581
1851	0.330270208	8.446499603	2.00888869	0.220218935
1852	0.282899458	8.51198046	1.904428429	0.212606774
1853	0.353576942	8.414692521	1.884258524	0.220064022
1854	0.34053075	8.432462893	1.689520429	0.19372572
1855	0.331908208	8.444255208	1.966067	0.234863505
1856	0.246541692	8.562950934	1.689627048	0.207409516
1857	0.407776658	8.341803554	1.918127881	0.232494978
1858	0.262906117	8.539937136	1.895024762	0.213763441
1859	0.321555967	8.458462537	1.598077929	0.204753688
1860	0.289653058	8.502578593	1.793424619	0.214904194
1861	0.269393425	8.530846086	2.01954869	0.228246312
1862	0.261347392	8.542124248	1.647503214	0.203461441
1863	0.40579665	8.344439577	1.887530833	0.234541613
1864	0.382844408	8.375144519	1.87833369	0.233575602
1865	0.343838483	8.427949186	1.715983333	0.203251892
1866	0.312226658	8.471311782	1.974400357	0.231373613
1867	0.22829765	8.588737473	1.680628524	0.208360634
1868	0.314593533	8.468047807	1.698696024	0.213794419
1869	0.350095375	8.419426312	1.797581405	0.22074972
1870	0.379764817	8.379285064	1.74056581	0.209526108
1871	0.2845556	8.509672917	1.851562929	0.206718022
1872	0.257668192	8.5472909	1.766513476	0.202210817
1873	0.280827633	8.514868988	1.694784143	0.200790194
1874	0.355134558	8.41257668	1.945584238	0.233723968
1875	0.312527658	8.470896542	1.668390762	0.206404065
1876	0.310666067	8.473465384	1.714747095	0.21256228
1877	0.260228208	8.543695278	1.631583595	0.192108022
1878	0.364772333	8.399512549	1.758795286	0.215983398
1879	0.279300408	8.516999514	1.521629452	0.188278645
1880	0.29060605	8.501253641	1.700625167	0.201991011
1881	0.290139325	8.501902479	1.804578619	0.218745172
1882	0.3555153	8.412059676	1.72681819	0.22301643
1883	0.297130458	8.492194338	1.812357786	0.210726892
1884	0.304440908	8.482067936	1.936814714	0.221242108
1885	0.337737808	8.436278442	1.874786143	0.230956871
1886	0.415848067	8.331078944	1.821286024	0.231344151
1887	0.340029608	8.433147231	1.909526548	0.220795237
1888	0.279279058	8.517029306	1.77997769	0.219419344
1889	0.3741626	8.386829868	1.888218476	0.235587
1890	0.37587375	8.384523652	1.968276905	0.230758054
1891	0.331898	8.444269191	1.991939952	0.230203656
1892	0.36113	8.404444174	1.916502595	0.231625785
1893	0.295389558	8.494609628	1.881509476	0.221087892
1894	0.360188267	8.405720366	2.059080976	0.240598591
1895	0.307919558	8.477258448	1.846308095	0.22386257
1896	0.29366715	8.497000694	1.761122762	0.216478796
1897	0.283787175	8.510743423	1.6708395	0.202161032
1898	0.343363533	8.428596957	1.809089786	0.218112312
1899	0.2991891	8.489340102	1.817962643	0.217070624
1900	0.328510933	8.448911674	1.75351519	0.219705968
1901	0.273021467	8.52577013	1.667879143	0.207361892
1902	0.2784068	8.518246627	1.774370571	0.216224204
1903	0.386106992	8.37076329	1.446527048	0.203498935
1904	0.3501246	8.41938655	1.751691214	0.229211871
1905	0.452035733	8.283409853	2.019365405	0.239704903
1906	0.470661742	8.259137067	1.951962643	0.237713602
1907	0.397751375	8.355171297	1.882757738	0.218312312
1908	0.377500083	8.38233315	1.772798905	0.202220581
1909	0.33133205	8.445044509	2.058727048	0.242553022
1910	0.292615983	8.498460631	1.857962	0.220378151
1911	0.36188285	8.403424276	1.958593786	0.231166215
1912	0.342783117	8.429388727	2.038350071	0.24347128
1913	0.428604925	8.314197469	1.779672381	0.233651409
1914	0.367775217	8.395451855	2.235652	0.255871301
1915	0.386337058	8.370454548	1.914973024	0.24896672
1916	0.454860233	8.279717613	1.721001405	0.232734118
1917	0.403181217	8.347924667	1.839614619	0.237086043
1918	0.402271042	8.349138315	1.997151643	0.250838602
1919	0.317113067	8.464576356	1.648311214	0.214749785
1920	0.384886833	8.372401161	1.799927738	0.238650108
1921	0.384109425	8.373445111	1.754601952	0.220761667
1922	0.456890175	8.277066565	1.887956476	0.252843667
1923	0.4282782	8.314628782	2.162353738	0.272044968
1924	0.364811125	8.399460063	2.235963548	0.266319538
1925	0.303690975	8.483105547	2.100501452	0.237194204
1926	0.428531133	8.314294877	2.159431548	0.255016581
1927	0.310183242	8.474131921	2.186558071	0.250360366
1928	0.352466392	8.416201832	1.891587762	0.227234204
1929	0.389552917	8.366141836	2.060249833	0.24610771
1930	0.434047425	8.307020879	2.179462667	0.260681968
1931	0.494664683	8.22811844	2.444835143	0.278906602
1932	0.409169833	8.339950011	2.566288786	0.289110183
1933	0.469613258	8.260498696	2.386261476	0.265837355
1934	0.398527967	8.354133927	2.410879619	0.258820645
1935	0.553930708	8.152770971	2.545521214	0.284384194
1936	0.373192808	8.388137584	2.416234143	0.263044731
1937	0.3964443	8.356917991	2.271405976	0.265107355
1938	0.429253883	8.313340936	2.295046548	0.257193871
1939	0.472961767	8.256152072	2.453612929	0.283516226
1940	0.312020917	8.471595635	2.42301819	0.272660376
1941	0.442829042	8.295473505	2.352812548	0.28319443
1942	0.386613442	8.370083686	2.202953619	0.276026753
1943	0.672526167	8.007102959	2.26026331	0.292505516
1944	0.550117225	8.157566749	2.360147143	0.288926699
1945	0.497211808	8.22484399	2.463787571	0.30063457
1946	0.47451985	8.25413151	2.601392	0.301259387
1947	0.473126617	8.255938232	2.185291667	0.266055957
1948	0.583851917	8.115388754	2.361107738	0.295093785
1949	0.676013625	8.002918541	2.432929595	0.324562613
1950	0.540913217	8.169171044	2.400060548	0.290686591
1951	0.34785205	8.42247978	2.63690531	0.287512473
1952	0.664425008	8.016844424	2.635254024	0.326148204
1953	0.33353565	8.442026618	2.547141929	0.27309071
1954	0.551429783	8.15591529	2.434676667	0.305837473
1955	0.451771833	8.283755037	2.59307619	0.329638516
1956	0.382628983	8.375434001	2.680425595	0.309615591
1957	0.495242883	8.227374848	3.066398738	0.336701484
1958	0.361008958	8.404608178	2.550975	0.296548366
1959	0.388012217	8.368207364	3.073309452	0.309178527
1960	0.45459995	8.280057688	2.84225619	0.328593065
1961	0.500280025	8.220904004	3.162266619	0.32034514
1962	0.684122192	7.993210741	3.318619071	0.367846796
1963	0.371480492	8.390447741	3.350063571	0.341522796
1964	0.466502167	8.264542271	3.562154214	0.344693269
1965	0.556607508	8.14940893	3.015383667	0.332080538
1966	0.396455325	8.356903254	3.409579357	0.330074656
1967	0.378800975	8.380581966	3.166674786	0.329776602
1968	0.404588333	8.34604923	3.651429738	0.360091301
1969	0.247933233	8.56098956	3.270825833	0.306978075
1970	0.422645242	8.32207359	3.431744119	0.37375857
1971	0.543832217	8.165486284	3.944674429	0.428044935
1972	0.685853233	7.991142126	4.059359071	0.457724011
1973	0.61328785	8.079033526	3.697248595	0.413905559
1974	0.678175225	8.000327714	3.785519238	0.44423472
1975	0.407522325	8.34214204	4.005573833	0.422330935
1976	1.065087975	7.567574104	4.071443119	0.483681366
1977	0.695593325	7.979527648	4.203638905	0.484569387
1978	0.75407325	7.910673119	3.634462333	0.446363011
1979	0.521326867	8.194004844	3.600726095	0.43600529
1980	0.524502242	8.189965783	3.826250143	0.442542129
1981	0.759237325	7.904664062	4.285435976	0.496090065
1982	0.609467833	8.083728203	4.678715476	0.478639129
1983	1.3077463	7.323121821	4.702991857	0.569428323
1984	0.944800967	7.69594144	5.015221381	0.613327398
1985	0.869300483	7.779221503	3.941224167	0.516611
1986	1.0468542	7.586706644	3.99540581	0.574697484
1987	1.395204242	7.239290125	4.127949452	0.644804871
1988	1.205201025	7.424203916	4.172079714	0.610067699
1989	1.653346625	7.003415382	3.600952119	0.637997151
1990	1.963541417	6.739916768	3.927085762	0.632623344
1991	1.480427025	7.159580122	2.695571643	0.583610043
1992	2.695968742	6.185562744	3.180816643	0.695846441
1993	2.2512091	6.512007823	3.61066319	0.686240172
1994	1.32196295	7.309349568	3.329619857	0.549358935
1995	1.819763983	6.859570864	4.0661775	0.660838978
1996	1.082239142	7.549680341	4.139160429	0.569780086
1997	1.527103725	7.116711649	4.145478667	0.623760172
1998	2.088886217	6.638818081	4.216357857	0.65703314
1999	1.688009283	6.972954941	4.290362214	0.609922828
2000	2.3797459	6.41465373	4.210266595	0.670549441
2001	1.379117483	7.254551975	3.340711214	0.523876753
2002	1.395074508	7.239412926	3.763502167	0.605621581
2003	1.996717567	6.712876139	3.930227333	0.660627892
2004	1.99643675	6.713104156	3.638043262	0.706137065
2005	2.630624033	6.231760365	3.666488071	0.774069903
2006	2.152061567	6.5889307	3.359447738	0.700489699
2007	1.859976475	6.825691015	4.70754519	0.75053272
2008	0.78824515	7.871119493	3.444147262	0.659905495
2009	2.285613342	6.485693627	2.297558667	0.67939229
2010	2.186373525	6.56212381	3.165423881	0.677856258
2011	1.798108842	6.877953341	2.894889786	0.627720376
2012	2.552989833	6.28739867	3.248852762	0.680121892
2013	2.537334625	6.298719763	2.392895238	0.620198828
2014	1.983996525	6.723220125	2.542241667	0.589035989
2015	1.696282	6.965724952	2.500180286	0.562418022
2016	2.06104185	6.661028991	2.017836071	0.515721613
2017	2.245433983	6.516443727	3.147167429	0.680439032
2018	2.064966458	6.657890011	3.007706119	0.712511495
2019	2.390772533	6.406421814	3.071404619	0.730294882
2020	1.749622875	6.919468647	3.040455619	0.635000129
2021	1.749038667	6.919971916	3.429551905	0.637202151
2022	2.190641542	6.558803267	3.431995048	0.661438247
2023	1.962448542	6.740811063	2.804677786	0.632633441
2024	2.1786877	6.568111165	3.486424595	0.654069333
2025	1.9354034	6.763014624	3.871303738	0.792679376
2026	2.416157917	6.387540333	3.243475429	0.724169011
2027	2.328371675	6.453253177	2.327811786	0.652710828
2028	1.78893015	6.885774357	2.619854238	0.551262011
2029	1.530671275	7.113457467	2.937103071	0.572425333
2030	0.618429	8.072726099	2.82621869	0.600813376
2031	2.247749292	6.514664671	2.991790929	0.703343452
2032	1.963914225	6.739611752	3.306158476	0.641130022
2033	1.662215917	6.995595511	2.690698214	0.478236172
2034	1.64871875	7.00750279	2.556220929	0.473167484
2035	1.569260875	7.078456111	3.462698286	0.554192247
2036	0.153882458	8.694947812	3.269556595	0.609484108
2037	2.089747625	6.638133154	2.424316762	0.703637742
2038	1.909290833	6.784586399	2.051402429	0.586573677
2039	2.156641083	6.585341276	3.013218786	0.621047366
2040	1.975938708	6.729787957	3.281213024	0.658527828
2041	2.305907917	6.470260214	2.559694881	0.644932108
2042	1.908838283	6.784961425	3.615708143	0.682106194
2043	1.630167525	7.023936756	3.878314024	0.631936839
2044	1.593346592	7.056791718	3.451788881	0.591827656
2045	1.674648442	6.984663983	2.886025833	0.53666571
2046	1.2402026	7.389351212	4.169975262	0.562794613
2047	1.913434075	6.78115478	3.460249524	0.599185462
2048	0.31921435	8.461683583	2.573065905	0.618674097
2049	2.0947178	6.634183812	2.457673976	0.766737538
2050	2.018052283	6.695595631	2.89972431	0.663146129
2051	2.160147967	6.582595007	3.074883857	0.655323946
2052	2.172365942	6.573043374	2.619650095	0.592718419
2053	1.844549642	6.838649527	3.178383357	0.609440161
2054	2.230029025	6.528303043	2.809147619	0.596711935
2055	1.922519842	6.773641265	2.921989619	0.586924731
2056	0.933190883	7.708607461	3.37311769	0.613891946
2057	0.195245108	8.63575427	3.107020167	0.693046925
2058	2.6517974	6.216728729	1.95111969	0.796354333
2059	1.371754067	7.261561213	2.109709429	0.692877075
2060	2.267552525	6.499483692	3.505902143	0.745200355
2061	1.955169358	6.746773384	3.07420881	0.577468634
2062	1.870593608	6.816800506	3.233568381	0.542384194
2063	1.508619292	7.133622846	3.562319786	0.553871366
2064	1.111758667	7.519112423	3.389032381	0.576008258
2065	1.475717483	7.163935892	3.073787524	0.635799946
2066	2.033035317	6.683509978	3.448934738	0.647952602
2067	0.839346783	7.812873636	4.300187643	0.597504032
2068	2.265090275	6.501367773	3.138607286	0.636715484
2069	1.554263608	7.092015917	2.905713714	0.528819581
2070	1.6476334	7.008462095	3.508727071	0.588543968
2071	1.865784375	6.820824829	3.507255548	0.621084935
2072	1.54639135	7.099155412	3.545822476	0.578618226
2073	1.313492658	7.31754818	3.830023357	0.547708645
2074	1.483181992	7.157034717	3.838599524	0.57188914
2075	1.263642275	7.366216427	3.962965429	0.544513462
2076	1.2737788	7.356261926	3.240271429	0.51061371
2077	1.230820792	7.398656836	2.871869071	0.462082204
2078	1.292884017	7.337581148	3.894321071	0.54985057
2079	1.464378883	7.174445977	4.070719357	0.581060753
2080	1.651827742	7.004756344	4.113915833	0.540435548
