Year	O2debt
1850	5.24918
1851	5.32102
1852	5.20627
1853	5.27101
1854	5.44043
1855	5.29033
1856	5.33812
1857	5.29596
1858	5.53965
1859	5.22068
1860	5.08566
1861	5.34711
1862	5.43066
1863	5.18843
1864	4.9724
1865	4.97452
1866	4.98001
1867	4.99142
1868	4.92637
1869	5.09567
1870	5.08736
1871	5.38524
1872	5.49875
1873	5.6921
1874	5.47658
1875	5.44687
1876	5.59726
1877	5.45052
1878	5.36794
1879	5.56908
1880	5.6731
1881	5.77465
1882	5.66736
1883	5.67619
1884	5.54782
1885	5.80174
1886	5.64842
1887	5.67033
1888	5.60238
1889	5.4699
1890	5.46737
1891	5.52553
1892	5.43444
1893	5.38804
1894	5.2879
1895	5.35342
1896	5.33179
1897	5.46388
1898	5.52887
1899	5.3251
1900	5.45141
1901	5.67037
1902	5.6519
1903	5.46301
1904	5.55741
1905	5.4641
1906	5.3182
1907	5.50045
1908	5.40539
1909	5.42168
1910	5.51742
1911	5.64616
1912	5.83708
1913	5.7341
1914	5.65891
1915	5.90028
1916	5.7203
1917	5.69759
1918	5.6294
1919	5.87035
1920	5.96808
1921	5.96019
1922	5.73611
1923	5.61917
1924	5.78133
1925	5.94926
1926	5.97912
1927	6.07977
1928	6.17391
1929	6.22766
1930	6.14562
1931	5.99422
1932	5.97741
1933	6.11491
1934	6.0792
1935	6.04091
1936	6.05552
1937	6.19359
1938	6.32859
1939	6.35769
1940	6.71969
1941	6.73822
1942	6.88403
1943	6.95755
1944	6.98975
1945	6.86508
1946	6.93053
1947	7.04041
1948	7.09403
1949	6.96031
1950	7.19254
1951	7.20404
1952	7.32024
1953	7.29212
1954	7.3223
1955	7.31238
1956	7.66133
1957	7.59327
1958	7.56327
1959	7.74658
1960	7.98686
1961	8.04824
1962	7.91159
1963	8.1716
1964	8.36969
1965	8.57114
1966	8.61898
1967	8.71996
1968	8.71958
1969	9.16584
1970	9.11254
1971	9.08983
1972	9.3032
1973	9.18409
1974	9.07031
1975	9.41069
1976	9.60683
1977	9.33172
1978	9.09427
1979	9.44026
1980	9.90949
1981	10.0121
1982	10.5717
1983	11.4406
1984	11.7142
1985	11.5997
1986	11.5621
1987	11.5997
1988	11.5765
1989	11.681
1990	11.6697
1991	11.9667
1992	11.0556
1993	10.0265
1994	9.93924
1995	9.6583
1996	10.1652
1997	10.2341
1998	10.2136
1999	10.6204
2000	10.7958
2001	11.6742
2002	12.3835
2003	12.494
2004	11.5304
2005	11.3289
2006	11.8672
2007	12.2471
2008	12.0452
2009	12.074
2010	12.4139
2011	12.6812
2012	12.6972
2013	12.458
2014	12.5578
2015	12.8526
2016	12.7949
2017	13.0491
2018	13.2904
2019	13.5552
2020	13.6487
2021	13.5205
2022	12.9305
2023	12.6003
2024	12.2888
2025	12.3856
2026	12.0261
2027	11.4956
2028	11.5212
2029	10.8816
2030	10.7046
2031	10.4036
2032	10.4991
2033	10.72
2034	10.9118
2035	10.8651
2036	10.8998
2037	11.3076
2038	11.5111
2039	11.7495
2040	12.1123
2041	10.8985
2042	10.1696
2043	9.8355
2044	9.86473
2045	10.3322
2046	11.255
2047	12.179
2048	12.2876
2049	11.9075
2050	11.7777
2051	11.646
2052	11.3236
2053	11.2084
2054	11.4552
2055	11.8778
2056	12.258
2057	12.0873
2058	11.1673
2059	10.7905
2060	10.7474
2061	11.1562
2062	10.8434
2063	10.8129
2064	10.8914
2065	10.2413
2066	10.1786
2067	10.2289
2068	10.2764
2069	10.521
2070	9.71812
2071	9.44835
2072	9.26589
2073	9.43608
2074	9.56459
2075	9.58025
2076	9.60642
2077	9.83323
2078	9.86327
2079	10.0615
2080	9.67155
2081	9.5867
2082	9.92198
2083	9.93281
2084	10.0727
2085	10.195
2086	10.0976
2087	10.0733
2088	10.4339
2089	10.3403
2090	10.1442
2091	10.1391
2092	10.7387
2093	10.9453
2094	10.6453
2095	10.2929
2096	10.4623
2097	10.5765
2098	10.9738
2099	11.1152
2100	10.6614
2101	10.2656
2102	10.1457
2103	9.99114
2104	10.2028
2105	10.4878
2106	9.97708
2107	9.77756
2108	9.49161
2109	9.82351
2110	9.35485
2111	9.67518
2112	9.71448
2113	9.23787
2114	9.58944
2115	9.89121
2116	10.3273
2117	10.5501
2118	10.5108
2119	10.778
2120	10.9245
2121	10.8854
2122	10.2384
2123	10.3115
2124	10.0463
2125	10.1305
2126	10.4371
2127	10.262
2128	10.2092
2129	9.93221
2130	10.1741
2131	10.6544
2132	10.6362
2133	10.9482
2134	11.2733
2135	10.997
2136	10.7709
2137	10.9943
2138	11.2829
2139	10.9214
2140	10.9134
2141	10.78
2142	11.0276
2143	11.4598
2144	10.9566
2145	10.8012
2146	11.0673
2147	11.0239
2148	11.2318
2149	11.0957
2150	11.4043
2151	11.2812
2152	11.2689
2153	11.1349
2154	10.4915
2155	10.541
2156	11.1285
2157	11.2234
2158	11.0786
2159	11.2513
2160	11.3639
2161	10.8145
2162	11.0837
2163	11.1974
2164	10.6143
2165	10.5219
2166	10.4447
2167	10.0874
2168	10.0411
2169	9.92676
2170	9.96079
2171	10.2683
2172	10.607
2173	9.97174
2174	9.65313
2175	9.71488
2176	8.91109
2177	9.22183
2178	9.4184
2179	9.72217
2180	10.0422
2181	10.2298
2182	10.4358
2183	10.198
2184	10.0393
2185	9.94421
2186	10.0799
2187	10.6207
2188	10.1744
2189	10.2882
2190	10.5354
2191	10.5305
2192	10.226
2193	10.1476
2194	9.95273
2195	9.75984
2196	9.88799
2197	9.86495
2198	10.1045
2199	10.0762
2200	10.1829
